code_postal,n,lat,long
G1C0L7,1,NA,NA
G1C0L8,1,NA,NA
G1C0N8,4,NA,NA
G1C0P1,1,NA,NA
G1C0P3,4,NA,NA
G1C0P8,1,NA,NA
G1C1A7,2,NA,NA
G1C1C2,1,NA,NA
G1C1E1,1,NA,NA
G1C1E9,3,NA,NA
G1C1H5,1,NA,NA
G1C1M1,1,NA,NA
G1C1M3,1,NA,NA
G1C1M8,1,NA,NA
G1C1N1,1,NA,NA
G1C1N7,2,NA,NA
G1C1N8,1,NA,NA
G1C1P1,3,NA,NA
G1C1P9,1,NA,NA
G1C1R4,2,NA,NA
G1C1R5,2,NA,NA
G1C1Y4,1,NA,NA
G1C2B1,2,NA,NA
G1C2C2,4,NA,NA
G1C2L1,2,NA,NA
G1C2N2,1,NA,NA
G1C2P8,1,NA,NA
G1C2R6,1,NA,NA
G1C2T4,1,NA,NA
G1C2T9,4,NA,NA
G1C2V2,2,NA,NA
G1C2V4,3,NA,NA
G1C2V8,1,NA,NA
G1C2W9,1,NA,NA
G1C2X2,1,NA,NA
G1C2Y3,1,NA,NA
G1C2Z9,1,NA,NA
G1C3A1,1,NA,NA
G1C3A4,2,NA,NA
G1C3B5,1,NA,NA
G1C3C7,1,NA,NA
G1C3C8,1,NA,NA
G1C3H9,3,NA,NA
G1C3J7,1,NA,NA
G1C3L8,1,NA,NA
G1C3M3,2,NA,NA
G1C3N7,2,NA,NA
G1C3P9,1,46.8812495,-71.2020948
G1C3R4,2,NA,NA
G1C3S4,1,NA,NA
G1C3S7,2,NA,NA
G1C3S8,2,NA,NA
G1C3S9,2,NA,NA
G1C3T3,2,NA,NA
G1C3V3,1,NA,NA
G1C3V6,1,NA,NA
G1C3W8,2,NA,NA
G1C3Z6,1,NA,NA
G1C4B3,2,NA,NA
G1C4B5,1,NA,NA
G1C4B9,4,NA,NA
G1C4C1,2,NA,NA
G1C4E8,3,NA,NA
G1C4E9,1,NA,NA
G1C4G5,1,NA,NA
G1C4H7,2,NA,NA
G1C4L1,2,NA,NA
G1C4L8,1,NA,NA
G1C4M4,2,NA,NA
G1C4P1,1,NA,NA
G1C4P5,2,NA,NA
G1C4P8,2,NA,NA
G1C4P9,2,NA,NA
G1C4R6,1,NA,NA
G1C4V1,1,NA,NA
G1C4V8,1,NA,NA
G1C4X3,1,NA,NA
G1C4X7,1,NA,NA
G1C4Y1,1,NA,NA
G1C4Y3,2,NA,NA
G1C4Z5,2,NA,NA
G1C4Z6,1,NA,NA
G1C5B7,1,NA,NA
G1C5C6,3,NA,NA
G1C5E4,1,NA,NA
G1C5H7,1,NA,NA
G1C5J1,1,NA,NA
G1C5K5,1,NA,NA
G1C5L2,1,NA,NA
G1C5L3,3,NA,NA
G1C5L4,2,NA,NA
G1C5L7,2,NA,NA
G1C5M7,3,NA,NA
G1C5N1,1,NA,NA
G1C5P2,1,NA,NA
G1C5S1,1,NA,NA
G1C5S2,1,NA,NA
G1C5S4,1,NA,NA
G1C5T1,1,NA,NA
G1C5T5,2,NA,NA
G1C5V5,1,NA,NA
G1C5V6,2,NA,NA
G1C5W9,2,NA,NA
G1C5X6,1,NA,NA
G1C5Y8,2,46.8936592,-71.2089859
G1C5Z3,4,NA,NA
G1C6B7,3,NA,NA
G1C6C1,1,NA,NA
G1C6C7,2,NA,NA
G1C6G5,2,NA,NA
G1C6G9,2,NA,NA
G1C6H1,2,NA,NA
G1C6H2,2,NA,NA
G1C6H6,1,NA,NA
G1C6J2,1,NA,NA
G1C6J6,1,NA,NA
G1C6J8,1,NA,NA
G1C6K1,1,NA,NA
G1C6K5,1,NA,NA
G1C6L1,1,NA,NA
G1C6L3,1,NA,NA
G1C6M6,3,NA,NA
G1C6N3,4,NA,NA
G1C6P3,2,NA,NA
G1C6R1,2,NA,NA
G1C6R2,2,NA,NA
G1C6R6,2,NA,NA
G1C6S1,4,NA,NA
G1C6T3,2,NA,NA
G1C6V2,1,NA,NA
G1C6W1,1,NA,NA
G1C6W8,1,NA,NA
G1C6W9,1,NA,NA
G1C6X4,2,NA,NA
G1C6X9,1,NA,NA
G1C6Z5,1,NA,NA
G1C7A7,2,NA,NA
G1C7A9,3,NA,NA
G1C7B4,1,NA,NA
G1C7C1,1,NA,NA
G1C7C3,1,NA,NA
G1C7C4,1,NA,NA
G1C7C7,1,NA,NA
G1C7C8,1,NA,NA
G1C7G3,2,NA,NA
G1C7G5,1,NA,NA
G1C7H1,1,NA,NA
G1C7H5,2,NA,NA
G1C7H6,2,NA,NA
G1C7H7,1,NA,NA
G1C7H8,1,NA,NA
G1C7J3,1,NA,NA
G1C7J4,4,NA,NA
G1C7J5,1,NA,NA
G1C7J9,3,NA,NA
G1C7K3,1,NA,NA
G1C7K4,1,NA,NA
G1C7K5,1,NA,NA
G1C7K8,1,NA,NA
G1C7K9,3,NA,NA
G1C7L3,3,NA,NA
G1C7L4,1,NA,NA
G1C7L9,1,NA,NA
G1C7M1,4,NA,NA
G1C7M3,1,NA,NA
G1C7M6,4,NA,NA
G1C7M7,1,NA,NA
G1C7N3,3,NA,NA
G1C7N4,2,NA,NA
G1C7N9,2,NA,NA
G1C7P4,1,NA,NA
G1C7P8,4,NA,NA
G1C7R7,3,NA,NA
G1C7T6,2,NA,NA
G1C7W4,1,NA,NA
G1C7W6,1,NA,NA
G1C7W8,1,NA,NA
G1C7W9,1,NA,NA
G1C7X2,2,NA,NA
G1C7X3,2,NA,NA
G1C7Y1,5,NA,NA
G1C7Y4,2,NA,NA
G1C7Y5,1,NA,NA
G1C7Y9,1,NA,NA
G1C7Z4,2,NA,NA
G1C7Z8,3,NA,NA
G1C8A1,1,NA,NA
G1C8A2,1,NA,NA
G1C8A8,3,NA,NA
G1C8A9,1,NA,NA
G1C8B1,2,NA,NA
G1C8C7,1,NA,NA
G1C8E3,1,NA,NA
G1C8E6,1,NA,NA
G1C8G2,1,NA,NA
G1C8G6,1,NA,NA
G1C8H3,3,NA,NA
G1C8J5,1,NA,NA
G1C8J6,2,NA,NA
G1C8J8,1,NA,NA
G1C8K2,1,NA,NA
