meme_adresse,SM13,mailing_address_region,statut1,n
FALSE,134,Outside Canada,Personne physique,1
FALSE,135,Montreal,Personne morale,14
FALSE,135,Montreal,Personne physique,61
FALSE,135,Rest of Quebec,Personne morale,4
FALSE,135,Rest of Quebec,Personne physique,8
FALSE,135,Rest of Canada,Personne morale,1
FALSE,135,Rest of Canada,Personne physique,4
FALSE,135,Outside Canada,Personne morale,1
FALSE,135,Outside Canada,Personne physique,1
FALSE,136,Montreal,Personne morale,134
FALSE,136,Montreal,Personne physique,681
FALSE,136,Rest of Quebec,Personne morale,7
FALSE,136,Rest of Quebec,Personne physique,74
FALSE,136,Rest of Canada,Personne morale,38
FALSE,136,Rest of Canada,Personne physique,35
FALSE,136,Outside Canada,Personne physique,16
FALSE,137,Montreal,Personne morale,21
FALSE,137,Montreal,Personne physique,186
FALSE,137,Rest of Quebec,Personne morale,4
FALSE,137,Rest of Quebec,Personne physique,9
FALSE,137,Rest of Canada,Personne morale,1
FALSE,137,Rest of Canada,Personne physique,6
FALSE,137,Outside Canada,Personne physique,6
FALSE,138,Montreal,Personne morale,123
FALSE,138,Montreal,Personne physique,262
FALSE,138,Rest of Quebec,Personne morale,3
FALSE,138,Rest of Quebec,Personne physique,8
FALSE,138,Rest of Canada,Personne physique,10
FALSE,138,Outside Canada,Personne morale,2
FALSE,138,Outside Canada,Personne physique,15
FALSE,139,Montreal,Personne morale,11
FALSE,139,Montreal,Personne physique,63
FALSE,139,Rest of Quebec,Personne morale,3
FALSE,139,Rest of Quebec,Personne physique,4
FALSE,139,Rest of Canada,Personne morale,1
FALSE,139,Rest of Canada,Personne physique,4
FALSE,139,Outside Canada,Personne physique,5
FALSE,140,Montreal,Personne morale,6
FALSE,140,Montreal,Personne physique,51
FALSE,140,Rest of Quebec,Personne morale,1
FALSE,140,Rest of Quebec,Personne physique,10
FALSE,140,Rest of Canada,Personne physique,2
FALSE,141,Montreal,Personne morale,1
FALSE,141,Montreal,Personne physique,16
FALSE,141,Rest of Quebec,Personne morale,1
FALSE,141,Rest of Quebec,Personne physique,3
FALSE,141,Rest of Canada,Personne physique,2
FALSE,141,Outside Canada,Personne physique,1
FALSE,NA,Montreal,Personne morale,29
FALSE,NA,Montreal,Personne physique,178
FALSE,NA,Rest of Quebec,Personne morale,68
FALSE,NA,Rest of Quebec,Personne physique,25
FALSE,NA,Rest of Canada,Personne morale,2
FALSE,NA,Rest of Canada,Personne physique,5
FALSE,NA,Outside Canada,Personne physique,8
