datetime,kWh,code_kWh,temperature,code_temperature,date,hour,month,week
2018-08-06T08:00:00Z,0.16,R,24,R,2018-08-06,8,2018-08-01,2018-08-05
2018-08-06T07:00:00Z,0.69,R,22,R,2018-08-06,7,2018-08-01,2018-08-05
2018-08-06T06:00:00Z,0.18,R,21,R,2018-08-06,6,2018-08-01,2018-08-05
2018-08-06T05:00:00Z,0.71,R,21,R,2018-08-06,5,2018-08-01,2018-08-05
2018-08-06T04:00:00Z,0.18,R,20,R,2018-08-06,4,2018-08-01,2018-08-05
2018-08-06T03:00:00Z,0.68,R,19,R,2018-08-06,3,2018-08-01,2018-08-05
2018-08-06T02:00:00Z,0.17,R,19,R,2018-08-06,2,2018-08-01,2018-08-05
2018-08-06T01:00:00Z,0.7,R,20,R,2018-08-06,1,2018-08-01,2018-08-05
2018-08-06T00:00:00Z,0.17,R,21,R,2018-08-06,0,2018-08-01,2018-08-05
2018-08-05T23:00:00Z,0.69,R,22,R,2018-08-05,23,2018-08-01,2018-08-05
2018-08-05T22:00:00Z,0.18,R,22,R,2018-08-05,22,2018-08-01,2018-08-05
2018-08-05T21:00:00Z,0.72,R,22,R,2018-08-05,21,2018-08-01,2018-08-05
2018-08-05T20:00:00Z,0.17,R,22,R,2018-08-05,20,2018-08-01,2018-08-05
2018-08-05T19:00:00Z,0.7,R,23,R,2018-08-05,19,2018-08-01,2018-08-05
2018-08-05T18:00:00Z,0.17,R,25,R,2018-08-05,18,2018-08-01,2018-08-05
2018-08-05T17:00:00Z,0.68,R,26,R,2018-08-05,17,2018-08-01,2018-08-05
2018-08-05T16:00:00Z,0.16,R,28,R,2018-08-05,16,2018-08-01,2018-08-05
2018-08-05T15:00:00Z,0.69,R,28,R,2018-08-05,15,2018-08-01,2018-08-05
2018-08-05T14:00:00Z,0.19,R,28,R,2018-08-05,14,2018-08-01,2018-08-05
2018-08-05T13:00:00Z,0.69,R,27,R,2018-08-05,13,2018-08-01,2018-08-05
2018-08-05T12:00:00Z,0.17,R,27,R,2018-08-05,12,2018-08-01,2018-08-05
2018-08-05T11:00:00Z,0.66,R,25,R,2018-08-05,11,2018-08-01,2018-08-05
2018-08-05T10:00:00Z,0.17,R,24,R,2018-08-05,10,2018-08-01,2018-08-05
2018-08-05T09:00:00Z,0.69,R,23,R,2018-08-05,9,2018-08-01,2018-08-05
2018-08-05T08:00:00Z,0.33,R,22,R,2018-08-05,8,2018-08-01,2018-08-05
2018-08-05T07:00:00Z,0.51,R,21,R,2018-08-05,7,2018-08-01,2018-08-05
2018-08-05T06:00:00Z,0.68,R,19,R,2018-08-05,6,2018-08-01,2018-08-05
2018-08-05T05:00:00Z,0.17,R,18,R,2018-08-05,5,2018-08-01,2018-08-05
2018-08-05T04:00:00Z,0.69,R,17,R,2018-08-05,4,2018-08-01,2018-08-05
2018-08-05T03:00:00Z,0.18,R,16,R,2018-08-05,3,2018-08-01,2018-08-05
2018-08-05T02:00:00Z,0.7,R,17,R,2018-08-05,2,2018-08-01,2018-08-05
2018-08-05T01:00:00Z,0.24,R,17,R,2018-08-05,1,2018-08-01,2018-08-05
2018-08-05T00:00:00Z,0.67,R,17,R,2018-08-05,0,2018-08-01,2018-08-05
2018-08-04T23:00:00Z,0.17,R,17,R,2018-08-04,23,2018-08-01,2018-07-29
2018-08-04T22:00:00Z,0.68,R,17,R,2018-08-04,22,2018-08-01,2018-07-29
2018-08-04T21:00:00Z,0.17,R,18,R,2018-08-04,21,2018-08-01,2018-07-29
2018-08-04T20:00:00Z,0.69,R,18,R,2018-08-04,20,2018-08-01,2018-07-29
