Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Abou-Khalil Alice C.A.Q.-É.F.L.;Beddad Ouerdia Nacera P.Q.;El-Harrache Omar N.P.D.Q.;Kabbaj Fatine P.V.Q./G.P.Q.;Keramarios Nick P.C.Q./C.P.Q.;Moulla Rabah Q.S.;Ouellette Guy P.L.Q./Q.L.P.;B.V.;B.R.
460;Chomedey;2018-10-01;G;Laval, v;34;;126;413;95;18;0;3;2;14;77;209;2
460;Chomedey;2018-10-01;G;Laval, v;35;;127;353;77;25;0;2;1;14;73;192;4
460;Chomedey;2018-10-01;G;Laval, v;35;;128;377;78;18;0;2;0;8;72;178;8
460;Chomedey;2018-10-01;G;Laval, v;35;;129;354;61;13;0;0;3;2;81;160;3
460;Chomedey;2018-10-01;G;Laval, v;35;;130A;234;54;14;0;2;2;10;47;129;3
460;Chomedey;2018-10-01;G;Laval, v;35;;130B;232;76;24;0;2;2;8;62;174;1
460;Chomedey;2018-10-01;G;Laval, v;36;;131;373;79;19;0;2;1;5;56;162;4
460;Chomedey;2018-10-01;G;Laval, v;36;;132;361;60;8;1;2;6;7;64;148;8
460;Chomedey;2018-10-01;G;Laval, v;36;;133;374;42;9;0;5;10;7;63;136;5
460;Chomedey;2018-10-01;G;Laval, v;36;;134;357;54;21;0;1;3;17;50;146;2
