Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Bergevin Caroline P.V.Q./G.P.Q.;Blanchard Benoit P.C.Q./C.P.Q.;Charron Simon Q.S.;Constantin Marc-André P.Q.;Giguère Alain N.P.D.Q.;Habel Jean P.L.Q./Q.L.P.;Louis-Charles Valérie C.I.N.Q.;Skeete Christopher C.A.Q.-É.F.L.;B.V.;B.R.;
470;Sainte-Rose;2018-10-01;G;Laval, v;55;;69;389;8;4;16;27;2;70;0;74;201;0;
470;Sainte-Rose;2018-10-01;G;Laval, v;55;;70A;217;3;0;18;11;2;36;0;60;130;0;
470;Sainte-Rose;2018-10-01;G;Laval, v;55;;70B;249;3;0;17;9;0;43;0;53;125;0;
470;Sainte-Rose;2018-10-01;G;Laval, v;55;;71;390;5;3;28;23;0;78;3;68;208;7;
470;Sainte-Rose;2018-10-01;G;Laval, v;55;;72;377;5;3;26;29;5;60;0;70;198;5;
470;Sainte-Rose;2018-10-01;G;Laval, v;55;;73;381;2;1;24;44;1;52;0;107;231;4;
470;Sainte-Rose;2018-10-01;G;Laval, v;55;;74;383;6;1;19;22;3;101;0;82;234;3;
470;Sainte-Rose;2018-10-01;G;Laval, v;55;;75;414;2;6;24;25;2;89;1;76;225;2;
470;Sainte-Rose;2018-10-01;G;Laval, v;55;;76;373;8;0;35;28;3;58;0;82;214;1;
470;Sainte-Rose;2018-10-01;G;Laval, v;55;;77;389;7;2;17;24;2;71;0;88;211;3;
470;Sainte-Rose;2018-10-01;G;Laval, v;55;;78;392;10;3;27;25;1;73;2;54;195;1;
470;Sainte-Rose;2018-10-01;G;Laval, v;55;;79;388;6;0;37;31;0;60;0;75;209;2;
470;Sainte-Rose;2018-10-01;G;Laval, v;55;;80;374;2;2;18;36;1;42;0;96;197;1;
470;Sainte-Rose;2018-10-01;G;Laval, v;55;;81;379;9;1;29;25;0;71;1;72;208;1;
470;Sainte-Rose;2018-10-01;G;Laval, v;55;;82;382;2;4;42;39;0;68;0;59;214;1;
470;Sainte-Rose;2018-10-01;G;Laval, v;55;;83;391;6;1;32;34;2;59;1;98;233;1;
470;Sainte-Rose;2018-10-01;G;Laval, v;55;;84;390;8;2;20;28;2;64;1;107;232;2;
470;Sainte-Rose;2018-10-01;G;Laval, v;55;;85;385;10;1;31;29;2;52;1;90;216;4;
470;Sainte-Rose;2018-10-01;G;Laval, v;56;;86;410;3;2;33;44;6;70;0;72;230;4;
470;Sainte-Rose;2018-10-01;G;Laval, v;56;;87;388;4;2;45;46;2;44;0;102;245;1;
470;Sainte-Rose;2018-10-01;G;Laval, v;56;;88;404;4;3;36;23;0;64;0;114;244;1;
470;Sainte-Rose;2018-10-01;G;Laval, v;56;;89;391;5;2;27;31;1;69;1;93;229;3;
470;Sainte-Rose;2018-10-01;G;Laval, v;56;;90;375;11;3;30;37;3;46;0;96;226;6;
470;Sainte-Rose;2018-10-01;G;Laval, v;56;;91;396;1;0;34;27;1;41;0;79;183;8;
470;Sainte-Rose;2018-10-01;G;Laval, v;56;;92;391;6;2;38;52;2;41;1;81;223;2;
470;Sainte-Rose;2018-10-01;G;Laval, v;56;;93;396;4;0;33;30;0;65;2;68;202;2;
470;Sainte-Rose;2018-10-01;G;Laval, v;57;;94;383;4;5;25;16;2;59;0;48;159;3;
470;Sainte-Rose;2018-10-01;G;Laval, v;57;;95;383;9;4;31;27;0;55;0;90;216;2;
470;Sainte-Rose;2018-10-01;G;Laval, v;57;;96;377;12;0;37;34;1;43;0;59;186;2;
470;Sainte-Rose;2018-10-01;G;Laval, v;57;;97;372;5;3;43;30;3;50;1;62;197;5;
470;Sainte-Rose;2018-10-01;G;Laval, v;57;;98;399;6;2;18;26;8;72;0;70;202;5;
470;Sainte-Rose;2018-10-01;G;Laval, v;57;;99;390;8;8;55;28;1;55;1;78;234;2;
470;Sainte-Rose;2018-10-01;G;Laval, v;57;;100;391;3;3;31;23;1;98;2;79;240;3;
470;Sainte-Rose;2018-10-01;G;Laval, v;57;;101;401;8;1;16;12;1;107;1;47;193;0;
470;Sainte-Rose;2018-10-01;G;Laval, v;57;;102;408;4;6;24;16;3;134;1;49;237;3;
470;Sainte-Rose;2018-10-01;G;Laval, v;57;;103;398;4;4;15;8;0;127;3;44;205;4;
470;Sainte-Rose;2018-10-01;G;Laval, v;57;;104;401;8;1;29;25;1;96;1;79;240;5;
470;Sainte-Rose;2018-10-01;G;Laval, v;57;;105;406;5;1;27;33;1;75;1;88;231;5;
470;Sainte-Rose;2018-10-01;G;Laval, v;57;;106;409;2;7;40;35;3;82;1;80;250;4;
470;Sainte-Rose;2018-10-01;G;Laval, v;58;;107;379;5;3;25;42;1;66;1;55;198;1;
470;Sainte-Rose;2018-10-01;G;Laval, v;58;;108;373;7;1;36;32;0;43;0;80;199;5;
470;Sainte-Rose;2018-10-01;G;Laval, v;58;;109;362;14;6;28;31;3;40;0;59;181;3;
470;Sainte-Rose;2018-10-01;G;Laval, v;58;;110;363;9;0;36;26;3;55;1;76;206;5;
470;Sainte-Rose;2018-10-01;G;Laval, v;58;;111;372;3;1;16;30;1;72;0;72;195;3;
470;Sainte-Rose;2018-10-01;G;Laval, v;58;;112;389;9;1;46;40;1;45;1;84;227;9;
470;Sainte-Rose;2018-10-01;G;Laval, v;58;;113;315;3;0;18;24;0;23;0;44;112;2;
470;Sainte-Rose;2018-10-01;G;Laval, v;58;;114;369;6;1;21;35;4;58;0;70;195;3;
470;Sainte-Rose;2018-10-01;G;Laval, v;59;;115;372;5;0;36;27;0;47;1;58;174;3;
470;Sainte-Rose;2018-10-01;G;Laval, v;59;;116;380;11;1;33;35;0;66;0;45;191;2;
470;Sainte-Rose;2018-10-01;G;Laval, v;59;;117;387;2;3;32;34;1;51;1;58;182;5;
470;Sainte-Rose;2018-10-01;G;Laval, v;59;;118;379;10;2;36;41;2;41;0;60;192;2;
470;Sainte-Rose;2018-10-01;G;Laval, v;60;;119;359;7;1;47;37;2;27;0;55;176;4;
470;Sainte-Rose;2018-10-01;G;Laval, v;60;;120;386;9;1;43;23;3;30;1;67;177;2;
470;Sainte-Rose;2018-10-01;G;Laval, v;60;;121;387;5;3;37;26;1;30;0;74;176;9;
470;Sainte-Rose;2018-10-01;G;Laval, v;61;;122;377;10;3;45;52;3;28;0;83;224;6;
470;Sainte-Rose;2018-10-01;G;Laval, v;61;;123;376;8;4;48;53;0;31;1;88;233;1;
470;Sainte-Rose;2018-10-01;G;Laval, v;61;;124;361;7;2;49;44;1;26;0;85;214;8;
