Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Bélanger Lucie P.Q.;Dansereau Nathalie C.A.Q.-É.F.L.;Ftouh Souhail P.C.Q./C.P.Q.;Gagnon David-Roger N.P.D.Q.;Gudmundsson Kathleen Q.S.;Hoffman Rachel P.M.L.Q.;Nichols Cynthia Ind;Walcott Chad P.V.Q./G.P.Q.;Weil Kathleen P.L.Q./Q.L.P.;B.V.;B.R.;
324;Notre-Dame-de-Grâce;2018-10-01;G;Montréal, v;110;Regr. BVO-32;502;30;0;0;0;0;0;0;0;0;0;0;0;
324;Notre-Dame-de-Grâce;2018-10-01;G;Montréal, v;118;Regr. BVO-85;503;107;0;0;0;0;0;0;0;0;0;0;0;
324;Notre-Dame-de-Grâce;2018-10-01;G;Montréal, v;121;Regr. BVO-99;504;170;0;0;0;0;0;0;0;0;0;0;0;
324;Notre-Dame-de-Grâce;2018-10-01;G;Montréal, v;121;Regr. BVO-100;505;77;0;0;0;0;0;0;0;0;0;0;0;
324;Notre-Dame-de-Grâce;2018-10-01;G;Montréal, v;121;Regr. BVO-98;506;91;0;0;0;0;0;0;0;0;0;0;0;
324;Notre-Dame-de-Grâce;2018-10-01;G;Montréal, v;123;Regr. BVO-121;507;78;0;0;0;0;0;0;0;0;0;0;0;
324;Notre-Dame-de-Grâce;2018-10-01;G;BVA1: SV no 1 à 6;;;;0;0;9;6;1;7;1;2;7;164;197;2;
324;Notre-Dame-de-Grâce;2018-10-01;G;BVA2: SV no 7 à 12;;;;0;2;6;4;0;12;0;0;5;131;160;0;
324;Notre-Dame-de-Grâce;2018-10-01;G;BVA3: SV no 13 à 18;;;;0;8;12;0;2;10;0;0;8;151;191;3;
324;Notre-Dame-de-Grâce;2018-10-01;G;BVA4: SV no 19 à 24;;;;0;5;13;0;2;16;0;0;9;139;184;4;
324;Notre-Dame-de-Grâce;2018-10-01;G;BVA5: SV no 25 à 29;;;;0;6;9;2;3;9;0;1;5;63;98;2;
324;Notre-Dame-de-Grâce;2018-10-01;G;BVA6: SV no 30 à 34;;;;0;2;8;0;1;14;0;0;1;48;74;0;
324;Notre-Dame-de-Grâce;2018-10-01;G;BVA7: SV no 40 à 45;;;;0;15;27;4;5;14;0;2;11;140;218;1;
324;Notre-Dame-de-Grâce;2018-10-01;G;BVA8: SV no 46 à 51;;;;0;9;10;0;5;10;0;1;6;71;112;1;
324;Notre-Dame-de-Grâce;2018-10-01;G;BVA9: SV no 52 à 54, 65 à 67;;;;0;23;19;2;13;27;0;2;16;164;266;3;
324;Notre-Dame-de-Grâce;2018-10-01;G;BVA10: SV no 35 à 39, 55;;;;0;4;10;1;4;21;0;0;10;107;157;1;
324;Notre-Dame-de-Grâce;2018-10-01;G;BVA11: SV no 56 à 59, 64, 106;;;;0;10;15;1;4;22;0;0;11;79;142;0;
324;Notre-Dame-de-Grâce;2018-10-01;G;BVA12: SV no 107 à 112;;;;0;18;16;3;0;14;0;1;4;159;215;0;
324;Notre-Dame-de-Grâce;2018-10-01;G;BVA13: SV no 113 à 118;;;;0;3;8;0;4;7;0;0;4;77;103;2;
324;Notre-Dame-de-Grâce;2018-10-01;G;BVA14: SV no 119 à 123;;;;0;3;10;1;6;9;0;1;2;83;115;2;
324;Notre-Dame-de-Grâce;2018-10-01;G;BVA15: SV no 60 à 63, 68 à 69;;;;0;26;24;1;3;37;0;0;13;105;209;0;
324;Notre-Dame-de-Grâce;2018-10-01;G;BVA16: SV no 70 à 75;;;;0;9;2;0;1;16;0;0;3;33;64;0;
324;Notre-Dame-de-Grâce;2018-10-01;G;BVA17: SV no 76 à 81;;;;0;2;7;2;1;10;1;1;4;43;71;0;
324;Notre-Dame-de-Grâce;2018-10-01;G;BVA18: SV no 82 à 87;;;;0;7;10;1;4;8;0;0;13;122;165;2;
324;Notre-Dame-de-Grâce;2018-10-01;G;BVA19: SV no 88 à 93;;;;0;23;13;2;4;16;2;0;7;61;128;2;
324;Notre-Dame-de-Grâce;2018-10-01;G;BVA20: SV no 94 à 99;;;;0;10;19;4;8;37;0;0;14;132;224;1;
324;Notre-Dame-de-Grâce;2018-10-01;G;BVA21: SV no 100 à 105;;;;0;33;24;1;3;20;0;1;12;122;216;4;
324;Notre-Dame-de-Grâce;2018-10-01;G;Vote en installation d'hébergement;;;;0;17;28;5;7;14;2;3;6;236;318;16;
324;Notre-Dame-de-Grâce;2018-10-01;G;Vote itinérant et au domicile de l'électeur;;;;0;3;4;0;1;2;1;0;3;23;37;3;
324;Notre-Dame-de-Grâce;2018-10-01;G;Vote au bureau du directeur du scrutin;;;;0;105;149;22;47;237;5;12;104;1115;1796;14;
324;Notre-Dame-de-Grâce;2018-10-01;G;Vote hors circonscription;;;;0;24;25;3;9;150;3;0;34;159;407;6;
324;Notre-Dame-de-Grâce;2018-10-01;G;Vote hors Québec;;Regr. VHC-1;;43;0;0;0;0;0;0;0;0;0;0;0;
324;Notre-Dame-de-Grâce;2018-10-01;G;Vote des détenus;;Regr. VHC-1;;0;0;0;0;0;0;0;0;0;0;0;0;
324;Notre-Dame-de-Grâce;2018-10-01;G;Total de la circonscription;;;;48076;1460;2142;405;708;3166;82;151;1785;16843;26742;249;
324;Notre-Dame-de-Grâce;2018-10-01;G;Majorité en faveur de Kathleen Weil : 13677
