Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Ayala Paulina N.P.D.Q.;Chénier Stéphane P.M.L.Q.;Cormier Sonya C.A.Q.-É.F.L.;Dubois Karl P.V.Q./G.P.Q.;Laperrière Coralie B.P.;La Rosa Agata P.L.Q./Q.L.P.;Liendo Alexandra P.C.Q./C.P.Q.;Lisée Jean-François P.Q.;Marissal Vincent Q.S.;Raymond-Poirier Catherine P.N.;B.V.;B.R.;
356;Rosemont;2018-10-01;G;Montréal, v;324;;127;393;4;0;38;1;0;29;1;40;45;0;158;4;
356;Rosemont;2018-10-01;G;Montréal, v;325;;128;369;2;0;39;6;0;44;0;81;55;0;227;2;
356;Rosemont;2018-10-01;G;Montréal, v;325;;129;274;1;0;46;2;0;52;1;42;26;0;170;4;
356;Rosemont;2018-10-01;G;Montréal, v;325;;130;296;0;0;50;3;2;38;0;76;40;1;210;4;
356;Rosemont;2018-10-01;G;Montréal, v;325;;131;285;1;0;47;0;1;45;1;57;29;0;181;0;
356;Rosemont;2018-10-01;G;Montréal, v;325;;132;273;1;0;56;1;0;31;2;53;32;1;177;9;
356;Rosemont;2018-10-01;G;Montréal, v;325;;133;367;0;0;41;5;0;49;1;50;34;2;182;2;
356;Rosemont;2018-10-01;G;Montréal, v;325;;134;338;0;0;43;2;0;32;1;72;36;1;187;1;
356;Rosemont;2018-10-01;G;Montréal, v;325;;135;358;0;0;39;7;0;36;1;50;31;2;166;0;
356;Rosemont;2018-10-01;G;Montréal, v;325;;136;385;3;0;34;2;3;32;0;86;46;3;209;3;
356;Rosemont;2018-10-01;G;Montréal, v;325;;137;361;3;0;39;0;0;46;1;77;44;0;210;1;
356;Rosemont;2018-10-01;G;Montréal, v;308;Regr. BVO-2;500;456;0;0;0;0;0;0;0;0;0;0;0;0;
356;Rosemont;2018-10-01;G;Montréal, v;308;Regr. BVO-8;501;445;0;0;0;0;0;0;0;0;0;0;0;0;
