Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Belleau Mona N.P.D.Q.;Gagnon Jonathan P.Q.;Isufi Sabir P.V.Q./G.P.Q.;Lajoie Francis Q.S.;Lévesque Sylvain C.A.Q.-É.F.L.;Pouliot Adrien P.C.Q./C.P.Q.;Tremblay Véronyque P.L.Q./Q.L.P.;B.V.;B.R.
754;Chauveau;2018-10-01;G;Québec, v;115;;20;383;6;22;3;20;104;13;29;197;7
754;Chauveau;2018-10-01;G;Québec, v;115;;21;405;4;25;4;23;81;14;38;189;6
754;Chauveau;2018-10-01;G;Québec, v;115;;22;412;0;25;3;20;116;21;41;226;5
754;Chauveau;2018-10-01;G;Québec, v;115;;23;403;1;16;3;22;90;12;43;187;3
754;Chauveau;2018-10-01;G;Québec, v;115;;24;382;2;22;5;32;79;12;27;179;3
754;Chauveau;2018-10-01;G;Québec, v;115;;25;417;1;19;6;11;80;16;33;166;2
754;Chauveau;2018-10-01;G;Québec, v;116;;26;385;7;19;3;26;79;17;34;185;2
754;Chauveau;2018-10-01;G;Québec, v;116;;27;370;1;29;3;16;83;20;42;194;4
754;Chauveau;2018-10-01;G;Québec, v;116;;28;380;3;15;2;25;63;8;53;169;1
754;Chauveau;2018-10-01;G;Québec, v;116;;29;379;3;21;3;27;65;8;31;158;5
754;Chauveau;2018-10-01;G;Québec, v;117;;30;382;2;16;4;10;66;11;19;128;2
754;Chauveau;2018-10-01;G;Québec, v;117;;31;355;1;28;1;12;76;8;25;151;3
754;Chauveau;2018-10-01;G;Québec, v;117;;32;345;0;9;0;6;79;15;39;148;2
754;Chauveau;2018-10-01;G;Québec, v;117;;33;372;5;23;4;25;74;14;21;166;7
754;Chauveau;2018-10-01;G;Québec, v;117;;34;368;0;9;2;16;66;7;49;149;2
754;Chauveau;2018-10-01;G;Québec, v;118;;35;346;1;11;1;15;92;37;42;199;1
754;Chauveau;2018-10-01;G;Québec, v;118;;36;346;0;14;2;25;72;18;19;150;4
754;Chauveau;2018-10-01;G;Québec, v;118;;37;336;0;13;3;11;46;21;25;119;1
754;Chauveau;2018-10-01;G;Québec, v;118;;38;343;3;16;5;7;68;17;41;157;4
754;Chauveau;2018-10-01;G;Québec, v;118;;39;361;5;14;7;18;86;8;48;186;2
754;Chauveau;2018-10-01;G;Québec, v;119;;40;374;2;13;4;16;90;15;27;167;6
754;Chauveau;2018-10-01;G;Québec, v;119;;41;381;4;16;0;20;72;20;34;166;0
754;Chauveau;2018-10-01;G;Québec, v;119;;42;368;0;16;0;22;78;21;47;184;2
754;Chauveau;2018-10-01;G;Québec, v;119;;43;372;0;11;4;14;92;19;34;174;5
754;Chauveau;2018-10-01;G;Québec, v;119;;44;369;2;23;2;21;113;21;38;220;0
754;Chauveau;2018-10-01;G;Québec, v;119;;45;352;1;19;0;17;99;19;40;195;2
754;Chauveau;2018-10-01;G;Québec, v;120;;46;382;4;13;3;13;117;20;28;198;7
754;Chauveau;2018-10-01;G;Québec, v;120;;47;381;1;17;4;23;117;26;46;234;7
754;Chauveau;2018-10-01;G;Québec, v;120;;48;393;2;23;5;21;110;24;45;230;4
754;Chauveau;2018-10-01;G;Québec, v;120;;49;362;1;10;5;13;102;19;31;181;9
754;Chauveau;2018-10-01;G;Québec, v;120;;50;389;0;28;3;26;108;27;28;220;4
754;Chauveau;2018-10-01;G;Québec, v;120;;51;380;1;7;2;24;112;32;30;208;2
754;Chauveau;2018-10-01;G;Québec, v;120;;52;392;2;25;2;19;87;20;37;192;2
