Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Boivin Guy É.A.;Dorion Catherine Q.S.;Duguay Roger N.P.D.Q.;Grégoire Élisabeth P.V.Q./G.P.Q.;Lavallée Diane P.Q.;Lavoie Christian C.P.Q.;Pouliot Nicolas P.N.;Solomykina Svetlana C.A.Q.-É.F.L.;Tanlet Florent P.L.Q./Q.L.P.;B.V.;B.R.;
730;Taschereau;2018-10-01;G;Québec, v;46;;48;352;0;56;0;2;50;0;1;24;35;168;0;
730;Taschereau;2018-10-01;G;Québec, v;46;;49;349;1;42;0;2;30;0;0;41;35;151;0;
730;Taschereau;2018-10-01;G;Québec, v;47;;50;397;0;34;1;1;34;0;0;37;46;153;1;
730;Taschereau;2018-10-01;G;Québec, v;47;;51;402;0;37;0;1;56;0;0;37;57;188;0;
730;Taschereau;2018-10-01;G;Québec, v;47;;52;360;0;26;0;0;22;0;1;39;46;134;1;
730;Taschereau;2018-10-01;G;Québec, v;47;;53;411;0;30;1;1;31;0;0;46;57;166;1;
730;Taschereau;2018-10-01;G;Québec, v;47;;54;365;1;36;0;7;44;0;0;43;53;184;1;
730;Taschereau;2018-10-01;G;Québec, v;47;;55;395;1;42;2;2;40;0;0;41;53;181;0;
730;Taschereau;2018-10-01;G;Québec, v;48;;56;356;0;90;1;2;27;0;1;23;23;167;1;
730;Taschereau;2018-10-01;G;Québec, v;48;;57;380;0;49;2;2;44;2;0;30;37;166;1;
730;Taschereau;2018-10-01;G;Québec, v;48;;58;375;0;36;0;1;48;0;3;60;65;213;1;
730;Taschereau;2018-10-01;G;Québec, v;48;;59;367;0;72;1;6;42;1;0;32;41;195;2;
730;Taschereau;2018-10-01;G;Québec, v;48;;60;385;0;35;0;3;35;1;0;30;46;150;5;
730;Taschereau;2018-10-01;G;Québec, v;48;;61;389;0;90;1;2;27;1;0;35;40;196;2;
730;Taschereau;2018-10-01;G;Québec, v;48;;62;365;2;48;0;3;32;40;3;40;47;215;1;
730;Taschereau;2018-10-01;G;Québec, v;48;;63;380;1;99;3;3;34;0;5;25;31;201;4;
730;Taschereau;2018-10-01;G;Québec, v;49;;64;339;0;76;2;4;14;1;0;30;21;148;2;
730;Taschereau;2018-10-01;G;Québec, v;49;;65;379;0;76;0;7;49;0;1;43;38;214;1;
730;Taschereau;2018-10-01;G;Québec, v;49;;66;331;0;68;0;4;28;0;0;24;23;147;1;
730;Taschereau;2018-10-01;G;Québec, v;49;;67;373;3;88;2;2;49;1;1;23;23;192;2;
730;Taschereau;2018-10-01;G;Québec, v;49;;68;336;1;73;4;6;29;0;0;17;16;146;2;
730;Taschereau;2018-10-01;G;Québec, v;49;;69;357;0;80;1;3;27;0;2;9;19;141;5;
730;Taschereau;2018-10-01;G;Québec, v;49;;70;343;0;83;1;4;24;0;2;18;14;146;5;
730;Taschereau;2018-10-01;G;Québec, v;49;;71;320;0;89;0;1;22;0;0;12;10;134;1;
730;Taschereau;2018-10-01;G;Québec, v;50;;72;368;0;120;0;1;23;0;0;18;16;178;1;
730;Taschereau;2018-10-01;G;Québec, v;50;;73;381;0;132;0;1;21;1;0;16;8;179;1;
730;Taschereau;2018-10-01;G;Québec, v;50;;74;357;1;98;4;4;26;0;0;19;22;174;2;
730;Taschereau;2018-10-01;G;Québec, v;50;;75;362;1;75;1;7;24;1;0;26;16;151;1;
730;Taschereau;2018-10-01;G;Québec, v;50;;76;383;1;97;0;2;47;0;0;26;22;195;1;
730;Taschereau;2018-10-01;G;Québec, v;50;;77;371;1;70;2;3;26;0;1;26;23;152;0;
730;Taschereau;2018-10-01;G;Québec, v;50;;78;380;0;111;1;2;38;0;2;22;20;196;2;
730;Taschereau;2018-10-01;G;Québec, v;51;;79;353;0;96;1;6;15;1;4;30;19;172;1;
730;Taschereau;2018-10-01;G;Québec, v;51;;80;370;0;105;0;3;15;0;0;33;7;163;4;
730;Taschereau;2018-10-01;G;Québec, v;51;;81;345;0;92;1;5;9;1;2;37;19;166;1;
730;Taschereau;2018-10-01;G;Québec, v;51;;82;352;1;69;1;1;10;0;1;27;19;129;3;
