Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Bouffard-Savoie Nicolas É.A.;Bourdon Gertrude P.L.Q./Q.L.P.;Côté Raymond N.P.D.Q.;Deblois Anne P.C.Q./C.P.Q.;Deschênes Marie-Pierre C.P.Q.;Gamache Christiane C.A.Q.-É.F.L.;Moreau Claude P.M.L.Q.;Paradis-Bellefeuille Alex P.V.Q./G.P.Q.;Verreault-Lemieux Charles P.N.;Vignola Claire P.Q.;Zanetti Sol Q.S.;B.V.;B.R.;
736;Jean-Lesage;2018-10-01;G;Québec, v;77;;120;398;0;29;0;8;1;127;1;4;2;19;35;226;3;
736;Jean-Lesage;2018-10-01;G;Québec, v;77;;121;375;0;31;7;5;0;96;0;3;2;19;30;193;1;
736;Jean-Lesage;2018-10-01;G;Québec, v;77;;122;334;1;28;0;0;0;2;0;0;0;1;1;33;0;
736;Jean-Lesage;2018-10-01;G;Québec, v;77;;123;382;0;43;4;8;0;112;0;3;1;18;37;226;0;
736;Jean-Lesage;2018-10-01;G;Québec, v;62;Regr. BVO-15;500;148;0;0;0;0;0;0;0;0;0;0;0;0;0;
736;Jean-Lesage;2018-10-01;G;Québec, v;62;Regr. BVO-21;501;103;0;0;0;0;0;0;0;0;0;0;0;0;0;
736;Jean-Lesage;2018-10-01;G;Québec, v;62;Regr. BVO-23;502;37;0;0;0;0;0;0;0;0;0;0;0;0;0;
736;Jean-Lesage;2018-10-01;G;Québec, v;62;Regr. BVO-28;503;23;0;0;0;0;0;0;0;0;0;0;0;0;0;
736;Jean-Lesage;2018-10-01;G;Québec, v;67;Regr. BVO-57;504;88;0;0;0;0;0;0;0;0;0;0;0;0;0;
736;Jean-Lesage;2018-10-01;G;Québec, v;67;Regr. BVO-58;505;62;0;0;0;0;0;0;0;0;0;0;0;0;0;
736;Jean-Lesage;2018-10-01;G;Québec, v;71;Regr. BVO-79;506;144;0;0;0;0;0;0;0;0;0;0;0;0;0;
736;Jean-Lesage;2018-10-01;G;Québec, v;71;Regr. BVO-81;507;103;0;0;0;0;0;0;0;0;0;0;0;0;0;
736;Jean-Lesage;2018-10-01;G;Québec, v;71;Regr. BVO-82;508;68;0;0;0;0;0;0;0;0;0;0;0;0;0;
736;Jean-Lesage;2018-10-01;G;Québec, v;74;Regr. BVO-97;509;68;0;0;0;0;0;0;0;0;0;0;0;0;0;
