Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Asselin Mario C.A.Q.-É.F.L.;Côté Carl Ind;Dallaire David C.P.Q.;Duquette William P.Q.;Fortin Alain P.C.Q./C.P.Q.;Huot Patrick P.L.Q./Q.L.P.;Poliquin Carl-André P.N.;Raymond Samuel P.V.Q./G.P.Q.;Voisine Monique Q.S.;B.V.;B.R.;
726;Vanier-Les Rivières;2018-10-01;G;Québec, v;104;;54;342;116;3;0;15;10;51;0;1;11;207;3;
726;Vanier-Les Rivières;2018-10-01;G;Québec, v;104;;55;346;102;1;0;15;9;44;0;3;18;192;2;
726;Vanier-Les Rivières;2018-10-01;G;Québec, v;104;;56;340;89;1;1;21;6;65;1;1;27;212;3;
726;Vanier-Les Rivières;2018-10-01;G;Québec, v;104;;57;348;79;4;0;18;6;38;0;1;16;162;5;
726;Vanier-Les Rivières;2018-10-01;G;Québec, v;104;;58;350;72;1;3;19;4;37;5;6;31;178;3;
726;Vanier-Les Rivières;2018-10-01;G;Québec, v;104;;59;345;94;2;0;16;9;67;2;1;10;201;6;
726;Vanier-Les Rivières;2018-10-01;G;Québec, v;104;;60;358;117;1;1;15;1;44;2;4;14;199;3;
726;Vanier-Les Rivières;2018-10-01;G;Québec, v;104;;61;356;64;1;1;11;6;43;1;2;15;144;1;
726;Vanier-Les Rivières;2018-10-01;G;Québec, v;104;;62;362;75;0;0;9;7;55;1;0;33;180;4;
726;Vanier-Les Rivières;2018-10-01;G;Québec, v;104;;63;348;92;2;1;23;6;38;0;4;31;197;2;
726;Vanier-Les Rivières;2018-10-01;G;Québec, v;104;;64;371;79;5;3;18;5;49;0;6;25;190;3;
726;Vanier-Les Rivières;2018-10-01;G;Québec, v;104;;65;355;101;4;2;21;6;49;3;5;17;208;0;
726;Vanier-Les Rivières;2018-10-01;G;Québec, v;105;;66;392;70;1;1;8;4;28;0;6;26;144;5;
726;Vanier-Les Rivières;2018-10-01;G;Québec, v;105;;67;384;117;1;0;11;8;35;0;2;20;194;1;
726;Vanier-Les Rivières;2018-10-01;G;Québec, v;105;;68;395;86;0;2;11;12;30;5;5;30;181;3;
726;Vanier-Les Rivières;2018-10-01;G;Québec, v;105;;69;406;69;1;2;22;9;52;4;8;38;205;3;
726;Vanier-Les Rivières;2018-10-01;G;Québec, v;105;;70;404;74;1;1;20;6;31;5;8;34;180;6;
726;Vanier-Les Rivières;2018-10-01;G;Québec, v;105;;71;376;75;4;2;10;11;32;2;4;39;179;2;
726;Vanier-Les Rivières;2018-10-01;G;Québec, v;105;;72;413;85;0;1;20;13;25;2;9;40;195;4;
726;Vanier-Les Rivières;2018-10-01;G;Québec, v;105;;73;393;98;2;1;18;10;44;0;12;21;206;7;
726;Vanier-Les Rivières;2018-10-01;G;Québec, v;105;;74;397;98;2;0;19;10;47;1;6;29;212;7;
726;Vanier-Les Rivières;2018-10-01;G;Québec, v;105;;75;409;123;0;0;21;19;48;1;11;30;253;5;
726;Vanier-Les Rivières;2018-10-01;G;Québec, v;105;;76;385;84;0;4;19;7;43;2;9;31;199;7;
726;Vanier-Les Rivières;2018-10-01;G;Québec, v;106;;77;409;90;2;0;21;7;54;1;7;22;204;2;
726;Vanier-Les Rivières;2018-10-01;G;Québec, v;106;;78;398;96;2;1;18;7;32;0;5;28;189;5;
726;Vanier-Les Rivières;2018-10-01;G;Québec, v;106;;79;402;74;1;0;17;6;40;2;9;34;183;3;
726;Vanier-Les Rivières;2018-10-01;G;Québec, v;106;;80;413;115;1;1;29;9;57;4;3;21;240;2;
726;Vanier-Les Rivières;2018-10-01;G;Québec, v;106;;81;402;90;3;0;33;11;46;3;9;35;230;6;
726;Vanier-Les Rivières;2018-10-01;G;Québec, v;106;;82;406;89;2;2;13;9;45;2;2;25;189;2;
726;Vanier-Les Rivières;2018-10-01;G;Québec, v;106;;83;395;118;3;4;18;17;35;2;3;36;236;5;
726;Vanier-Les Rivières;2018-10-01;G;Québec, v;106;;84;416;68;3;2;18;6;40;0;8;37;182;4;
726;Vanier-Les Rivières;2018-10-01;G;Québec, v;106;;85;396;98;2;2;26;10;37;0;3;23;201;2;
726;Vanier-Les Rivières;2018-10-01;G;Québec, v;106;;86;395;109;2;2;35;8;49;2;1;26;234;6;
726;Vanier-Les Rivières;2018-10-01;G;Québec, v;106;;87;399;108;5;4;17;8;30;0;5;30;207;7;
726;Vanier-Les Rivières;2018-10-01;G;Québec, v;106;;88;403;82;4;4;30;18;37;1;12;41;229;4;
726;Vanier-Les Rivières;2018-10-01;G;Québec, v;107;;89;397;81;0;1;26;11;46;4;3;36;208;5;
726;Vanier-Les Rivières;2018-10-01;G;Québec, v;107;;90;395;113;0;1;22;6;64;1;2;24;233;9;
