Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Allaire Simon C.A.Q.-É.F.L.;Beaulieu Richard Jonathan Ind;Bélanger Alain C.P.Q.;Morin Nicole P.Q.;Piotte Simon Q.S.;Plante Marc H. P.L.Q./Q.L.P.;Rousseau Maxime P.C.Q./C.P.Q.;St-Yves Amélie P.V.Q./G.P.Q.;B.V.;B.R.;
666;Maskinongé;2018-10-01;G;Trois-Rivières, v;1;;90;364;108;0;1;31;27;25;3;2;197;5;
666;Maskinongé;2018-10-01;G;Trois-Rivières, v;1;;91;367;98;2;3;33;14;28;5;5;188;3;
666;Maskinongé;2018-10-01;G;Trois-Rivières, v;1;;92;382;66;0;1;23;30;35;2;7;164;8;
666;Maskinongé;2018-10-01;G;Trois-Rivières, v;1;;93;368;72;0;0;30;29;27;2;6;166;4;
666;Maskinongé;2018-10-01;G;Trois-Rivières, v;1;;94;378;58;0;1;34;19;42;1;0;155;4;
666;Maskinongé;2018-10-01;G;Trois-Rivières, v;1;;95;371;83;1;4;33;26;40;7;4;198;5;
666;Maskinongé;2018-10-01;G;Trois-Rivières, v;1;;96;377;121;0;0;27;11;55;6;3;223;1;
666;Maskinongé;2018-10-01;G;Trois-Rivières, v;1;;97;383;104;4;0;36;45;32;5;3;229;3;
666;Maskinongé;2018-10-01;G;Trois-Rivières, v;1;;98;391;98;6;2;38;21;22;1;4;192;3;
666;Maskinongé;2018-10-01;G;Trois-Rivières, v;1;;99;392;84;3;1;43;23;36;1;4;195;0;
666;Maskinongé;2018-10-01;G;Trois-Rivières, v;1;;100;362;76;0;0;38;24;32;3;6;179;3;
666;Maskinongé;2018-10-01;G;Trois-Rivières, v;2;;101;383;75;1;4;26;23;37;2;9;177;2;
666;Maskinongé;2018-10-01;G;Trois-Rivières, v;2;;102;375;93;0;0;28;23;38;5;4;191;3;
666;Maskinongé;2018-10-01;G;Trois-Rivières, v;2;;103;390;113;5;2;30;24;35;2;5;216;8;
