Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Auger Pierre Michel P.L.Q./Q.L.P.;Dufresne Stéphanie P.V.Q./G.P.Q.;Fortin Pierre-Benoit P.C.Q./C.P.Q.;Gauthier Éric É.A.;Lebel Sonia C.A.Q.-É.F.L.;Leclerc Gaëtan P.Q.;Rouss Anthony B.P.;Roy Cullen Steven Q.S.;B.V.;B.R.
676;Champlain;2018-10-01;G;Trois-Rivières, v;40;;97;405;29;4;4;0;103;36;2;32;210;4
676;Champlain;2018-10-01;G;Trois-Rivières, v;40;;98;399;32;5;3;0;127;23;1;31;222;3
676;Champlain;2018-10-01;G;Trois-Rivières, v;40;;99;403;35;1;4;1;99;22;2;20;184;2
676;Champlain;2018-10-01;G;Trois-Rivières, v;40;;100;415;18;4;5;0;95;19;1;33;175;2
676;Champlain;2018-10-01;G;Trois-Rivières, v;40;;101;424;43;3;5;0;145;25;1;30;252;2
676;Champlain;2018-10-01;G;Trois-Rivières, v;40;;102;397;40;1;0;1;105;16;2;28;193;4
676;Champlain;2018-10-01;G;Trois-Rivières, v;40;;103;405;20;4;5;1;92;23;1;37;183;0
676;Champlain;2018-10-01;G;Hérouxville, p;1;;104;355;30;3;5;0;113;26;3;25;205;3
676;Champlain;2018-10-01;G;Hérouxville, p;1;;105;359;29;3;6;0;112;19;3;23;195;1
676;Champlain;2018-10-01;G;Hérouxville, p;1;;106;377;21;3;8;1;100;36;1;20;190;6
676;Champlain;2018-10-01;G;Saint-Séverin, p;1;;107;333;42;8;3;0;116;16;1;15;201;8
676;Champlain;2018-10-01;G;Saint-Séverin, p;1;;108;323;32;8;9;0;102;31;3;22;207;1
676;Champlain;2018-10-01;G;Saint-Tite, v;1;;109;368;41;6;5;0;92;11;0;22;177;4
676;Champlain;2018-10-01;G;Saint-Tite, v;1;;110;363;32;6;5;0;97;15;0;22;177;3
676;Champlain;2018-10-01;G;Saint-Tite, v;1;;111;373;33;5;5;1;96;21;1;27;189;9
676;Champlain;2018-10-01;G;Saint-Tite, v;1;;112;373;46;3;4;1;92;12;1;13;172;3
676;Champlain;2018-10-01;G;Saint-Tite, v;1;;113;404;27;4;1;1;93;9;1;13;149;5
676;Champlain;2018-10-01;G;Saint-Tite, v;1;;114;366;39;4;5;0;97;14;0;21;180;3
676;Champlain;2018-10-01;G;Saint-Tite, v;1;;115;385;36;3;4;0;93;24;0;15;175;1
676;Champlain;2018-10-01;G;Saint-Tite, v;1;;116;373;23;6;4;1;113;24;0;20;191;0
676;Champlain;2018-10-01;G;Sainte-Thècle, m;1;;117;383;30;2;0;1;98;24;2;22;179;1
676;Champlain;2018-10-01;G;Sainte-Thècle, m;1;;118;395;36;7;3;2;112;19;1;23;203;10
676;Champlain;2018-10-01;G;Sainte-Thècle, m;1;;119;395;30;6;6;2;120;20;1;21;206;4
676;Champlain;2018-10-01;G;Sainte-Thècle, m;1;;120;394;44;2;0;0;106;15;1;15;183;1
676;Champlain;2018-10-01;G;Sainte-Thècle, m;1;;121;414;36;6;7;0;118;25;2;14;208;3
676;Champlain;2018-10-01;G;Saint-Adelphe, p;1;;122;386;58;18;1;0;113;37;1;28;256;6
676;Champlain;2018-10-01;G;Saint-Adelphe, p;1;;123;403;51;23;4;0;134;21;0;20;253;2
676;Champlain;2018-10-01;G;Lac-aux-Sables, p;1;;124;385;25;6;3;1;136;24;1;29;225;2
676;Champlain;2018-10-01;G;Lac-aux-Sables, p;1;;125;367;19;2;5;2;145;24;0;10;207;0
676;Champlain;2018-10-01;G;Lac-aux-Sables, p;1;;126;402;34;5;4;1;143;37;0;17;241;2
676;Champlain;2018-10-01;G;Notre-Dame-de-Montauban, m;1;;127;314;18;2;3;5;102;24;0;21;175;1
676;Champlain;2018-10-01;G;Notre-Dame-de-Montauban, m;1;;128;320;19;2;4;3;103;29;0;25;185;0
676;Champlain;2018-10-01;G;Saint-Maurice, p;1;;129;370;22;3;2;1;128;18;0;26;200;4
676;Champlain;2018-10-01;G;Saint-Maurice, p;1;;130;359;19;6;9;3;118;19;1;14;189;3
676;Champlain;2018-10-01;G;Saint-Maurice, p;1;;131;361;43;2;2;0;120;29;0;27;223;7
676;Champlain;2018-10-01;G;Saint-Maurice, p;1;;132;358;42;4;6;0;130;17;0;31;230;2
676;Champlain;2018-10-01;G;Saint-Maurice, p;1;;133;362;27;9;5;1;102;21;1;30;196;2
676;Champlain;2018-10-01;G;Saint-Maurice, p;1;;134;364;25;2;3;0;156;26;1;28;241;3
676;Champlain;2018-10-01;G;Saint-Maurice, p;1;;135;358;29;5;8;1;127;25;1;26;222;1
676;Champlain;2018-10-01;G;Saint-Luc-de-Vincennes, m;1;;136;226;18;3;0;0;91;22;2;14;150;3
676;Champlain;2018-10-01;G;Saint-Luc-de-Vincennes, m;1;;137;217;32;2;7;0;66;13;0;18;138;5
676;Champlain;2018-10-01;G;Saint-Narcisse, p;1;;138;361;38;8;3;0;121;23;0;21;214;4
676;Champlain;2018-10-01;G;Saint-Narcisse, p;1;;139;360;47;5;5;1;133;28;0;38;257;2
676;Champlain;2018-10-01;G;Saint-Narcisse, p;1;;140;358;42;2;3;0;126;22;0;25;220;7
