Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Bérubé Pascal P.Q.;Boucher Marie-Phare Q.S.;Coulombe Pierre-Luc P.V.Q./G.P.Q.;Fournier Annie P.L.Q./Q.L.P.;Quenum Mathieu C.A.Q.-É.F.L.;Rioux Jocelyn C.P.Q.;Vignola Paul-Émile P.C.Q./C.P.Q.;B.V.;B.R.;
842;Matane-Matapédia;2018-10-01;G;Lac-au-Saumon, m;1;;67;356;144;10;2;19;20;1;0;196;4;
842;Matane-Matapédia;2018-10-01;G;Lac-au-Saumon, m;1;;68;324;100;19;3;9;8;1;2;142;0;
842;Matane-Matapédia;2018-10-01;G;Amqui, v;1;;69;331;100;8;0;9;13;0;0;130;0;
842;Matane-Matapédia;2018-10-01;G;Amqui, v;1;;70;345;107;5;0;10;14;1;1;138;0;
842;Matane-Matapédia;2018-10-01;G;Amqui, v;1;;71;349;109;11;0;12;15;1;1;149;1;
842;Matane-Matapédia;2018-10-01;G;Amqui, v;1;;72;363;137;14;0;14;17;0;1;183;2;
842;Matane-Matapédia;2018-10-01;G;Amqui, v;1;;73;358;137;22;0;10;19;0;0;188;1;
842;Matane-Matapédia;2018-10-01;G;Amqui, v;1;;74;339;113;4;0;11;4;0;0;132;2;
842;Matane-Matapédia;2018-10-01;G;Amqui, v;1;;75;327;91;9;3;15;11;0;0;129;2;
842;Matane-Matapédia;2018-10-01;G;Amqui, v;1;;76;352;100;8;1;13;29;1;0;152;0;
842;Matane-Matapédia;2018-10-01;G;Amqui, v;1;;77;326;103;6;1;8;16;2;0;136;0;
842;Matane-Matapédia;2018-10-01;G;Amqui, v;1;;78;347;117;11;1;14;15;1;0;159;1;
842;Matane-Matapédia;2018-10-01;G;Amqui, v;1;;79;332;103;15;0;11;7;1;0;137;1;
842;Matane-Matapédia;2018-10-01;G;Amqui, v;1;;80;340;80;8;5;11;15;0;0;119;0;
