Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Blais François P.L.Q./Q.L.P.;Germain Élisabeth Q.S.;Julien Jonatan C.A.Q.-É.F.L.;Morin Annie P.Q.;Pelletier Daniel É.A.;Tremblay Valérie P.C.Q./C.P.Q.;B.V.;B.R.
748;Charlesbourg;2018-10-01;G;Québec, v;85;;37;390;33;40;51;22;0;5;151;2
748;Charlesbourg;2018-10-01;G;Québec, v;85;;38;387;44;28;67;37;2;8;186;5
748;Charlesbourg;2018-10-01;G;Québec, v;85;;39;397;34;38;63;16;2;10;163;6
748;Charlesbourg;2018-10-01;G;Québec, v;86;;40;356;48;29;89;36;1;12;215;2
748;Charlesbourg;2018-10-01;G;Québec, v;86;;41;356;32;32;89;17;0;11;181;2
748;Charlesbourg;2018-10-01;G;Québec, v;86;;42;352;41;20;65;19;1;4;150;1
748;Charlesbourg;2018-10-01;G;Québec, v;86;;43;353;56;14;88;30;0;15;203;1
748;Charlesbourg;2018-10-01;G;Québec, v;86;;44;351;53;33;100;35;1;7;229;5
748;Charlesbourg;2018-10-01;G;Québec, v;86;;45;358;47;51;84;23;2;12;219;2
748;Charlesbourg;2018-10-01;G;Québec, v;87;;46;397;25;31;77;21;0;1;155;6
748;Charlesbourg;2018-10-01;G;Québec, v;87;;47;395;35;31;80;22;0;5;173;5
748;Charlesbourg;2018-10-01;G;Québec, v;87;;48;407;35;22;89;21;2;11;180;4
748;Charlesbourg;2018-10-01;G;Québec, v;87;;49;387;39;36;103;27;2;9;216;3
748;Charlesbourg;2018-10-01;G;Québec, v;87;;50;395;32;34;97;26;2;8;199;4
748;Charlesbourg;2018-10-01;G;Québec, v;87;;51;413;41;32;74;26;3;5;181;2
748;Charlesbourg;2018-10-01;G;Québec, v;87;;52;406;36;46;81;28;2;6;199;2
748;Charlesbourg;2018-10-01;G;Québec, v;88;;53;384;21;31;64;18;1;11;146;13
748;Charlesbourg;2018-10-01;G;Québec, v;88;;54;392;49;18;73;16;0;15;171;2
748;Charlesbourg;2018-10-01;G;Québec, v;88;;55;395;59;27;108;31;1;4;230;6
748;Charlesbourg;2018-10-01;G;Québec, v;88;;56;402;48;26;75;18;1;5;173;0
748;Charlesbourg;2018-10-01;G;Québec, v;88;;57;392;61;13;103;29;0;11;217;1
748;Charlesbourg;2018-10-01;G;Québec, v;89;;58;403;28;21;97;15;1;14;176;6
748;Charlesbourg;2018-10-01;G;Québec, v;89;;59;379;34;25;61;14;2;5;141;0
748;Charlesbourg;2018-10-01;G;Québec, v;89;;60;399;37;23;101;22;3;10;196;7
748;Charlesbourg;2018-10-01;G;Québec, v;89;;61;398;35;26;79;25;2;11;178;4
748;Charlesbourg;2018-10-01;G;Québec, v;89;;62;406;34;20;100;19;2;11;186;2
748;Charlesbourg;2018-10-01;G;Québec, v;90;;63;358;34;21;86;18;0;11;170;8
748;Charlesbourg;2018-10-01;G;Québec, v;90;;64;360;18;24;80;22;2;11;157;2
748;Charlesbourg;2018-10-01;G;Québec, v;90;;65;363;32;23;80;12;1;8;156;4
748;Charlesbourg;2018-10-01;G;Québec, v;90;;66;413;29;17;88;29;1;7;171;6
748;Charlesbourg;2018-10-01;G;Québec, v;90;;67;386;42;13;102;20;2;7;186;0
748;Charlesbourg;2018-10-01;G;Québec, v;90;;68;370;31;6;99;15;2;5;158;2
748;Charlesbourg;2018-10-01;G;Québec, v;90;;69;358;19;18;69;17;1;4;128;1
748;Charlesbourg;2018-10-01;G;Québec, v;90;;70;371;18;19;71;14;1;9;132;3
748;Charlesbourg;2018-10-01;G;Québec, v;90;;71;374;26;21;108;24;0;7;186;4
748;Charlesbourg;2018-10-01;G;Québec, v;91;;72;407;45;25;103;39;4;22;238;4
748;Charlesbourg;2018-10-01;G;Québec, v;91;;73;399;39;36;89;34;0;12;210;6
748;Charlesbourg;2018-10-01;G;Québec, v;91;;74;418;35;31;70;30;0;13;179;7
748;Charlesbourg;2018-10-01;G;Québec, v;91;;75;408;40;28;105;30;1;9;213;3
748;Charlesbourg;2018-10-01;G;Québec, v;91;;76;411;31;29;100;30;1;9;200;5
748;Charlesbourg;2018-10-01;G;Québec, v;91;;77;406;19;20;96;25;2;10;172;0
748;Charlesbourg;2018-10-01;G;Québec, v;92;;78;391;33;22;99;20;0;11;185;6
748;Charlesbourg;2018-10-01;G;Québec, v;92;;79;408;32;35;63;11;1;8;150;5
748;Charlesbourg;2018-10-01;G;Québec, v;92;;80;398;33;29;69;25;2;7;165;2
748;Charlesbourg;2018-10-01;G;Québec, v;92;;81;395;30;25;78;23;0;14;170;5
748;Charlesbourg;2018-10-01;G;Québec, v;92;;82;407;32;27;99;19;1;5;183;2
748;Charlesbourg;2018-10-01;G;Québec, v;93;;83;356;25;15;109;27;4;4;184;9
748;Charlesbourg;2018-10-01;G;Québec, v;93;;84;356;36;17;108;16;2;10;189;7
748;Charlesbourg;2018-10-01;G;Québec, v;93;;85;371;52;14;109;24;0;8;207;12
748;Charlesbourg;2018-10-01;G;Québec, v;93;;86;356;21;16;97;20;0;5;159;6
748;Charlesbourg;2018-10-01;G;Québec, v;93;;87;354;21;32;70;15;0;7;145;8
748;Charlesbourg;2018-10-01;G;Québec, v;93;;88;341;44;24;92;21;0;8;189;6
748;Charlesbourg;2018-10-01;G;Québec, v;94;;89;393;45;20;109;35;1;6;216;1
748;Charlesbourg;2018-10-01;G;Québec, v;94;;90;372;34;17;67;32;0;7;157;0
748;Charlesbourg;2018-10-01;G;Québec, v;94;;91;385;34;10;73;17;0;1;135;2
748;Charlesbourg;2018-10-01;G;Québec, v;94;;92;371;37;17;66;19;2;4;145;1
748;Charlesbourg;2018-10-01;G;Québec, v;94;;93;384;25;28;92;26;2;4;177;7
748;Charlesbourg;2018-10-01;G;Québec, v;94;;94;395;39;36;96;21;1;12;205;0
748;Charlesbourg;2018-10-01;G;Québec, v;94;;95;385;45;44;111;43;1;6;250;1
748;Charlesbourg;2018-10-01;G;Québec, v;95;;96;379;46;39;83;15;6;3;192;5
748;Charlesbourg;2018-10-01;G;Québec, v;95;;97;382;38;37;80;17;1;11;184;3
748;Charlesbourg;2018-10-01;G;Québec, v;95;;98;377;38;32;64;35;2;9;180;2
748;Charlesbourg;2018-10-01;G;Québec, v;95;;99;394;39;33;86;30;1;10;199;4
748;Charlesbourg;2018-10-01;G;Québec, v;95;;100;383;47;46;107;25;1;4;230;4
748;Charlesbourg;2018-10-01;G;Québec, v;96;;101;372;33;24;119;23;0;2;201;5
748;Charlesbourg;2018-10-01;G;Québec, v;96;;102;357;38;21;83;32;0;4;178;2
748;Charlesbourg;2018-10-01;G;Québec, v;96;;103;363;23;24;64;13;0;2;126;9
748;Charlesbourg;2018-10-01;G;Québec, v;96;;104;362;30;35;81;25;1;7;179;1
748;Charlesbourg;2018-10-01;G;Québec, v;96;;105;361;34;40;84;32;0;6;196;3
748;Charlesbourg;2018-10-01;G;Québec, v;96;;106;292;37;14;94;19;0;5;169;2
748;Charlesbourg;2018-10-01;G;Québec, v;97;;107;379;31;30;57;14;1;8;141;6
