Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Arel Jacinthe-Eve C.A.Q.-É.F.L.;Audet Marc André N.P.D.Q.;Huet-Côté Sabrina P.V.Q./G.P.Q.;Lefrançois Claude Q.S.;Lessard Annie P.Q.;Ménard Nicole P.L.Q./Q.L.P.;Therrien Linda P.C.Q./C.P.Q.;B.V.;B.R.;
244;Laporte;2018-10-01;G;Saint-Lambert, v;5;;24;367;60;4;11;34;17;79;1;206;2;
244;Laporte;2018-10-01;G;Saint-Lambert, v;5;;25;365;43;5;7;40;39;73;2;209;4;
244;Laporte;2018-10-01;G;Saint-Lambert, v;5;;26;369;41;2;6;25;9;97;2;182;3;
244;Laporte;2018-10-01;G;Saint-Lambert, v;6;;27;338;45;0;10;27;20;82;1;185;1;
244;Laporte;2018-10-01;G;Saint-Lambert, v;6;;28;328;49;0;7;29;32;74;2;193;3;
244;Laporte;2018-10-01;G;Saint-Lambert, v;6;;29;335;43;1;6;35;17;42;2;146;2;
244;Laporte;2018-10-01;G;Saint-Lambert, v;6;;30;337;42;1;5;23;21;60;2;154;0;
244;Laporte;2018-10-01;G;Saint-Lambert, v;6;;31;317;34;2;3;12;15;50;0;116;0;
244;Laporte;2018-10-01;G;Saint-Lambert, v;7;;32;369;43;1;3;16;24;61;5;153;2;
244;Laporte;2018-10-01;G;Saint-Lambert, v;7;;33;396;37;3;5;40;26;62;0;173;2;
244;Laporte;2018-10-01;G;Saint-Lambert, v;7;;34;390;67;2;9;23;38;74;3;216;1;
244;Laporte;2018-10-01;G;Saint-Lambert, v;7;;35;387;49;1;2;37;32;64;1;186;7;
244;Laporte;2018-10-01;G;Saint-Lambert, v;7;;36;380;40;0;10;26;21;70;1;168;3;
244;Laporte;2018-10-01;G;Saint-Lambert, v;7;;37;389;68;8;9;29;27;99;0;240;3;
244;Laporte;2018-10-01;G;Saint-Lambert, v;7;;38;386;67;2;14;24;21;104;2;234;3;
244;Laporte;2018-10-01;G;Saint-Lambert, v;8;;39;382;58;1;7;31;9;85;1;192;2;
244;Laporte;2018-10-01;G;Saint-Lambert, v;8;;40;389;57;2;5;11;20;70;6;171;2;
244;Laporte;2018-10-01;G;Saint-Lambert, v;8;;41;373;44;2;4;20;25;90;2;187;1;
244;Laporte;2018-10-01;G;Saint-Lambert, v;8;;42;376;46;5;10;36;50;96;5;248;1;
244;Laporte;2018-10-01;G;Saint-Lambert, v;8;;43;395;55;2;8;21;14;68;6;174;1;
244;Laporte;2018-10-01;G;Saint-Lambert, v;8;;44;378;44;4;2;28;5;84;5;172;0;
244;Laporte;2018-10-01;G;Longueuil, v;1;;45;306;35;4;4;37;18;9;0;107;2;
244;Laporte;2018-10-01;G;Longueuil, v;1;;46;318;59;2;1;25;23;22;0;132;4;
244;Laporte;2018-10-01;G;Longueuil, v;1;;47;308;49;2;3;24;23;25;0;126;1;
244;Laporte;2018-10-01;G;Longueuil, v;1;;48;328;46;1;6;37;41;16;3;150;2;
244;Laporte;2018-10-01;G;Longueuil, v;2;;49;366;60;1;8;32;25;35;2;163;1;
244;Laporte;2018-10-01;G;Longueuil, v;2;;50;365;53;3;6;49;31;26;3;171;5;
244;Laporte;2018-10-01;G;Longueuil, v;2;;51;353;57;1;5;43;38;36;1;181;6;
244;Laporte;2018-10-01;G;Longueuil, v;2;;52;341;63;2;0;34;31;20;1;151;9;
244;Laporte;2018-10-01;G;Longueuil, v;2;;53;378;49;4;8;54;19;21;0;155;6;
244;Laporte;2018-10-01;G;Longueuil, v;2;;54;358;35;3;5;44;25;31;1;144;4;
244;Laporte;2018-10-01;G;Longueuil, v;2;;55;372;53;2;9;27;26;32;0;149;3;
244;Laporte;2018-10-01;G;Longueuil, v;3;;56;376;40;2;11;43;12;67;4;179;3;
244;Laporte;2018-10-01;G;Longueuil, v;3;;57;373;58;3;12;43;27;50;1;194;2;
244;Laporte;2018-10-01;G;Longueuil, v;3;;58;370;32;5;3;28;22;36;0;126;5;
244;Laporte;2018-10-01;G;Longueuil, v;3;;59;370;32;3;9;38;23;50;1;156;4;
244;Laporte;2018-10-01;G;Longueuil, v;4;;60;375;40;1;4;40;9;58;4;156;2;
244;Laporte;2018-10-01;G;Longueuil, v;4;;61;396;44;6;3;39;21;54;5;172;3;
244;Laporte;2018-10-01;G;Longueuil, v;4;;62;400;32;2;5;13;13;42;1;108;0;
244;Laporte;2018-10-01;G;Longueuil, v;4;;63;374;40;4;1;28;26;89;0;188;1;
244;Laporte;2018-10-01;G;Longueuil, v;4;;64;376;39;2;10;42;18;77;3;191;2;
244;Laporte;2018-10-01;G;Longueuil, v;5;;65;365;42;4;8;25;27;61;2;169;2;
244;Laporte;2018-10-01;G;Longueuil, v;5;;66;364;40;6;3;53;31;64;2;199;1;
244;Laporte;2018-10-01;G;Longueuil, v;5;;67;366;39;5;6;25;20;61;4;160;0;
244;Laporte;2018-10-01;G;Longueuil, v;5;;68;357;44;2;10;43;30;62;2;193;4;
244;Laporte;2018-10-01;G;Longueuil, v;6;;69;321;28;1;8;25;21;72;4;159;0;
244;Laporte;2018-10-01;G;Longueuil, v;6;;70;327;47;0;8;24;5;59;3;146;1;
244;Laporte;2018-10-01;G;Longueuil, v;6;;71;328;23;6;7;13;13;117;1;180;1;
244;Laporte;2018-10-01;G;Longueuil, v;6;;72;307;26;6;6;23;9;96;3;169;0;
244;Laporte;2018-10-01;G;Longueuil, v;7;;73;368;36;4;3;27;14;70;6;160;4;
244;Laporte;2018-10-01;G;Longueuil, v;7;;74;351;34;1;9;30;15;94;2;185;4;
244;Laporte;2018-10-01;G;Longueuil, v;7;;75;362;31;1;7;46;14;96;1;196;4;
244;Laporte;2018-10-01;G;Longueuil, v;7;;76;363;33;6;6;30;17;81;2;175;3;
244;Laporte;2018-10-01;G;Longueuil, v;8;;77;370;60;3;2;41;24;29;2;161;2;
244;Laporte;2018-10-01;G;Longueuil, v;8;;78;374;56;2;7;16;20;30;0;131;7;
244;Laporte;2018-10-01;G;Longueuil, v;8;;79;380;49;2;4;21;15;38;2;131;3;
244;Laporte;2018-10-01;G;Longueuil, v;8;;80;360;40;4;3;25;23;23;3;121;0;
244;Laporte;2018-10-01;G;Longueuil, v;8;;81;355;50;1;3;28;18;29;1;130;4;
244;Laporte;2018-10-01;G;Longueuil, v;8;;82;386;46;3;3;28;24;17;3;124;7;
244;Laporte;2018-10-01;G;Longueuil, v;9;;83;368;48;1;6;25;27;20;1;128;3;
244;Laporte;2018-10-01;G;Longueuil, v;9;;84;381;70;4;2;37;39;25;0;177;4;
244;Laporte;2018-10-01;G;Longueuil, v;9;;85;412;62;2;4;37;29;22;0;156;2;
244;Laporte;2018-10-01;G;Longueuil, v;9;;86;373;67;3;2;28;26;22;3;151;2;
244;Laporte;2018-10-01;G;Longueuil, v;9;;87;375;60;2;6;23;26;22;1;140;4;
244;Laporte;2018-10-01;G;Longueuil, v;9;;88;391;71;1;4;36;28;49;2;191;4;
244;Laporte;2018-10-01;G;Longueuil, v;9;;89;396;60;2;8;30;16;12;1;129;6;
244;Laporte;2018-10-01;G;Longueuil, v;10;;90;410;51;1;3;37;31;24;4;151;5;
244;Laporte;2018-10-01;G;Longueuil, v;10;;91;404;55;0;3;26;25;34;2;145;0;
244;Laporte;2018-10-01;G;Longueuil, v;10;;92;402;73;2;7;44;20;26;1;173;4;
244;Laporte;2018-10-01;G;Longueuil, v;10;;93;398;74;0;6;39;32;34;2;187;7;
244;Laporte;2018-10-01;G;Longueuil, v;10;;94;406;65;3;4;23;28;36;0;159;4;
244;Laporte;2018-10-01;G;Longueuil, v;11;;95;340;54;0;9;33;35;24;1;156;1;
244;Laporte;2018-10-01;G;Longueuil, v;11;;96;335;55;1;5;13;22;29;4;129;3;
244;Laporte;2018-10-01;G;Longueuil, v;11;;97;328;51;1;2;41;22;32;2;151;4;
244;Laporte;2018-10-01;G;Longueuil, v;11;;98;336;59;1;5;34;24;40;5;168;4;
244;Laporte;2018-10-01;G;Longueuil, v;11;;99;339;53;1;5;36;30;23;1;149;3;
244;Laporte;2018-10-01;G;Longueuil, v;12;;100;403;73;2;3;29;32;27;1;167;7;
244;Laporte;2018-10-01;G;Longueuil, v;12;;101A;207;33;2;3;15;12;10;3;78;3;
244;Laporte;2018-10-01;G;Longueuil, v;12;;101B;221;41;2;6;17;22;13;1;102;1;
244;Laporte;2018-10-01;G;Longueuil, v;12;;102;424;65;2;3;36;24;29;1;160;2;
244;Laporte;2018-10-01;G;Longueuil, v;12;;103;396;60;0;9;24;24;22;5;144;3;
244;Laporte;2018-10-01;G;Longueuil, v;12;;104;399;80;1;5;39;21;41;2;189;6;
244;Laporte;2018-10-01;G;Longueuil, v;13;;105;392;52;2;6;19;24;46;7;156;4;
244;Laporte;2018-10-01;G;Longueuil, v;13;;106;381;67;2;4;20;43;43;1;180;3;
244;Laporte;2018-10-01;G;Longueuil, v;13;;107;390;74;5;9;37;37;37;2;201;7;
244;Laporte;2018-10-01;G;Longueuil, v;13;;108;390;71;4;2;48;33;55;1;214;5;
244;Laporte;2018-10-01;G;Longueuil, v;13;;109;400;68;2;8;34;29;40;2;183;4;
244;Laporte;2018-10-01;G;Longueuil, v;13;;110;382;64;2;2;32;29;27;5;161;11;
244;Laporte;2018-10-01;G;Longueuil, v;13;;111;391;62;3;3;31;28;56;1;184;4;
244;Laporte;2018-10-01;G;Longueuil, v;14;;112;378;44;3;6;23;10;128;2;216;0;
244;Laporte;2018-10-01;G;Longueuil, v;14;;113;377;43;3;6;27;12;112;4;207;2;
244;Laporte;2018-10-01;G;Longueuil, v;14;;114;374;41;2;12;29;17;94;3;198;3;
244;Laporte;2018-10-01;G;Longueuil, v;14;;115;372;61;2;5;36;13;53;3;173;3;
244;Laporte;2018-10-01;G;Longueuil, v;14;;116;381;52;0;6;29;17;106;4;214;0;
244;Laporte;2018-10-01;G;Longueuil, v;14;;117;369;80;7;4;16;22;57;4;190;4;
244;Laporte;2018-10-01;G;Longueuil, v;14;;118;381;50;4;4;26;16;119;3;222;1;
244;Laporte;2018-10-01;G;Longueuil, v;15;;119;355;37;0;4;23;16;116;5;201;2;
244;Laporte;2018-10-01;G;Longueuil, v;15;;120;358;69;3;2;25;21;71;0;191;7;
244;Laporte;2018-10-01;G;Longueuil, v;15;;121;353;44;4;10;21;11;101;15;206;2;
244;Laporte;2018-10-01;G;Longueuil, v;15;;122;356;60;3;10;31;23;60;5;192;5;
244;Laporte;2018-10-01;G;Longueuil, v;15;;123;349;54;1;11;28;14;82;1;191;2;
244;Laporte;2018-10-01;G;Longueuil, v;15;;124;361;59;4;2;32;18;86;4;205;6;
244;Laporte;2018-10-01;G;Brossard, v;5;;125;403;26;3;2;22;16;109;4;182;1;
