Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Billette Stéphane P.L.Q./Q.L.P.;Haliburton Victoria Mary P.V.Q./G.P.Q.;Hébert Huguette P.Q.;Hodgins-Ravensbergen Aiden Q.S.;Isabelle Claire C.A.Q.-É.F.L.;Orme Charles N.P.D.Q.;Ouellette Jérémie P.C.Q./C.P.Q.;B.V.;B.R.;
216;Huntingdon;2018-10-01;G;Très-Saint-Sacrement, p;1;;41;291;110;3;13;14;39;0;1;180;2;
216;Huntingdon;2018-10-01;G;Très-Saint-Sacrement, p;1;;42;312;113;5;11;26;46;0;5;206;2;
216;Huntingdon;2018-10-01;G;Très-Saint-Sacrement, p;1;;43;309;110;2;13;22;46;2;3;198;0;
216;Huntingdon;2018-10-01;G;Howick, m;1;;44;329;75;3;15;33;68;2;3;199;4;
216;Huntingdon;2018-10-01;G;Howick, m;1;;45;319;92;3;19;17;52;3;4;190;3;
216;Huntingdon;2018-10-01;G;Sainte-Martine, m;1;;46;383;58;3;40;21;87;0;6;215;5;
216;Huntingdon;2018-10-01;G;Sainte-Martine, m;1;;47;383;42;6;34;24;106;1;4;217;5;
216;Huntingdon;2018-10-01;G;Sainte-Martine, m;1;;48;392;34;3;47;44;89;5;0;222;2;
216;Huntingdon;2018-10-01;G;Sainte-Martine, m;1;;49;378;42;4;29;28;94;1;5;203;5;
216;Huntingdon;2018-10-01;G;Sainte-Martine, m;1;;50;386;44;3;34;34;103;1;7;226;7;
216;Huntingdon;2018-10-01;G;Sainte-Martine, m;1;;51;388;46;3;39;32;113;1;2;236;4;
216;Huntingdon;2018-10-01;G;Sainte-Martine, m;1;;52;385;38;0;42;26;89;0;1;196;6;
216;Huntingdon;2018-10-01;G;Sainte-Martine, m;1;;53;385;37;6;21;32;87;2;3;188;3;
216;Huntingdon;2018-10-01;G;Sainte-Martine, m;1;;54;382;26;2;34;34;73;3;2;174;5;
216;Huntingdon;2018-10-01;G;Sainte-Martine, m;1;;55;390;31;5;21;39;104;2;0;202;7;
