Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Bigras-Denis Bernard P.L.Q./Q.L.P.;Boyer Stéphanie P.L.;Côté Patrick P.Q.;Edwards Sherwin P.C.Q./C.P.Q.;Grondin Agnès C.A.Q.-É.F.L.;Lachapelle Céline Q.S.;St-Denis Yves Ind;Thériault Carole P.V.Q./G.P.Q.;Wiseman Louise C.P.Q.;B.V.;B.R.
520;Argenteuil;2018-10-01;G;BVA14: SV no 67 à 68, 77 à 80;;;;0;102;0;41;2;125;37;7;4;1;319;5
520;Argenteuil;2018-10-01;G;BVA15: SV no 81 à 85;;;;0;156;0;37;2;135;43;4;3;2;382;7
520;Argenteuil;2018-10-01;G;BVA16: SV no 86 à 92;;;;0;75;3;47;0;73;34;7;1;0;240;3
520;Argenteuil;2018-10-01;G;BVA17: SV no 99 à 104;;;;0;43;6;93;6;194;46;3;5;2;398;6
520;Argenteuil;2018-10-01;G;BVA18: SV no 105 à 110;;;;0;39;2;79;1;169;23;4;3;1;321;5
520;Argenteuil;2018-10-01;G;BVA19: SV no 111 à 115;;;;0;32;1;71;0;122;29;7;1;1;264;5
520;Argenteuil;2018-10-01;G;BVA20: SV no 116 à 118, 126 à 129;;;;0;30;5;69;3;151;57;3;7;1;326;9
520;Argenteuil;2018-10-01;G;BVA21: SV no 119 à 125;;;;0;24;1;73;4;230;44;8;4;3;391;6
520;Argenteuil;2018-10-01;G;Vote en installation d'hébergement;;;;0;51;1;25;2;25;6;24;3;0;137;5
520;Argenteuil;2018-10-01;G;Vote itinérant et au domicile de l'électeur;;;;0;23;1;29;0;26;6;6;3;0;94;5
520;Argenteuil;2018-10-01;G;Vote au bureau du directeur du scrutin;;;;0;480;16;425;21;820;205;206;33;9;2215;27
520;Argenteuil;2018-10-01;G;Vote dans les établissements d'enseignement;;Regr. BVDS-1;;0;0;0;0;0;0;0;0;0;0;0;0
520;Argenteuil;2018-10-01;G;Vote hors circonscription;;;;0;30;2;50;4;53;110;5;12;1;267;9
520;Argenteuil;2018-10-01;G;Vote hors Québec;;Regr. VHC-1;;19;0;0;0;0;0;0;0;0;0;0;0
520;Argenteuil;2018-10-01;G;Vote des détenus;;Regr. VHC-1;;8;0;0;0;0;0;0;0;0;0;0;0
520;Argenteuil;2018-10-01;G;Total de la circonscription;;;;47351;5306;233;6443;472;11848;3710;1778;552;135;30477;457
520;Argenteuil;2018-10-01;G;Majorité en faveur de Agnès Grondin : 5405;;;;;;;;;;;;;;;
