Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Guindon Gilles C.I.N.Q.;Jannard Camille B. P.V.Q./G.P.Q.;Létourneau Gilles N.P.D.Q.;L'Heureux Guy P.C.Q./C.P.Q.;Picard Christian P.Q.;Roberge Jean-François C.A.Q.-É.F.L.;Vachon Benjamin B.P.;Vigeant Francis Q.S.;Villeneuve François P.L.Q./Q.L.P.;B.V.;B.R.
238;Chambly;2018-10-01;G;BVA4: SV no 22 à 27;;;;0;2;4;2;5;76;211;1;59;63;423;5
238;Chambly;2018-10-01;G;BVA5: SV no 28 à 32;;;;0;1;4;3;2;59;136;0;44;39;288;1
238;Chambly;2018-10-01;G;BVA6: SV no 33 à 38;;;;0;0;1;1;8;59;192;0;29;58;348;2
238;Chambly;2018-10-01;G;BVA7: SV no 39 à 45;;;;0;0;7;0;2;54;215;4;40;43;365;5
238;Chambly;2018-10-01;G;BVA8: SV no 46 à 52;;;;0;0;3;1;1;46;198;0;30;72;351;0
238;Chambly;2018-10-01;G;BVA9: SV no 53 à 58, 84;;;;0;0;0;1;3;98;192;3;42;43;382;0
238;Chambly;2018-10-01;G;BVA10: SV no 59 à 64, 72;;;;0;0;1;2;1;78;202;2;43;71;400;2
238;Chambly;2018-10-01;G;BVA11: SV no 65 à 70, 77;;;;0;0;4;5;1;58;169;0;31;33;301;2
238;Chambly;2018-10-01;G;BVA12: SV no 71, 73 à 76;;;;0;0;2;0;1;40;125;0;19;21;208;3
238;Chambly;2018-10-01;G;BVA13: SV no 78 à 83;;;;0;0;4;2;0;54;169;0;34;39;302;2
238;Chambly;2018-10-01;G;BVA14: SV no 85 à 90;;;;0;1;5;3;1;39;176;1;32;23;281;0
238;Chambly;2018-10-01;G;BVA15: SV no 91 à 97;;;;0;1;5;1;0;44;166;0;26;38;281;2
238;Chambly;2018-10-01;G;BVA16: SV no 98 à 103;;;;0;0;2;0;0;53;153;0;40;51;299;6
238;Chambly;2018-10-01;G;BVA17: SV no 110 à 113;;;;0;0;0;0;1;33;73;0;20;21;148;3
238;Chambly;2018-10-01;G;BVA18: SV no 114 à 118;;;;0;0;1;0;2;27;144;2;25;23;224;2
238;Chambly;2018-10-01;G;BVA19: SV no 119 à 123;;;;0;0;5;1;5;57;200;2;45;48;363;5
238;Chambly;2018-10-01;G;BVA20: SV no 124 à 129;;;;0;0;4;2;1;53;174;1;28;22;285;1
238;Chambly;2018-10-01;G;BVA21: SV no 104 à 109;;;;0;0;2;0;2;42;145;0;30;35;256;6
238;Chambly;2018-10-01;G;Vote en installation d'hébergement;;;;0;11;8;7;15;97;234;1;15;136;524;19
238;Chambly;2018-10-01;G;Vote itinérant et au domicile de l'électeur;;;;0;1;2;0;2;9;13;0;2;11;40;0
238;Chambly;2018-10-01;G;Vote au bureau du directeur du scrutin;;;;0;4;43;3;20;514;1499;4;394;424;2905;33
238;Chambly;2018-10-01;G;Vote hors circonscription;;;;0;0;17;5;2;59;75;2;215;24;399;10
238;Chambly;2018-10-01;G;Vote hors Québec;;Regr. VHC-1;;16;0;0;0;0;0;0;0;0;0;0;0
238;Chambly;2018-10-01;G;Vote des détenus;;Regr. VHC-1;;7;0;0;0;0;0;0;0;0;0;0;0
238;Chambly;2018-10-01;G;Total de la circonscription;;;;50699;66;683;180;309;6564;18940;167;6177;4599;37685;518
238;Chambly;2018-10-01;G;Majorité en faveur de Jean-François Roberge : 12376;;;;;;;;;;;;;;;
