Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Alarie Natacha P.V.Q./G.P.Q.;de Passillé Diane P.L.Q./Q.L.P.;Girault Nadine C.A.Q.-É.F.L.;Jaccoud Mylène Q.S.;Laframboise Kathy P.C.Q./C.P.Q.;Lafrenière Gilbert P.Q.;Martin Benoit P.L.;Pigeon Benoît C.P.Q.;B.V.;B.R.
588;Bertrand;2018-10-01;G;Sainte-Agathe-des-Monts, v;4;;83;349;4;10;53;34;1;43;0;0;145;2
588;Bertrand;2018-10-01;G;Sainte-Agathe-des-Monts, v;4;;84;355;4;10;53;14;1;24;0;0;106;2
588;Bertrand;2018-10-01;G;Sainte-Agathe-des-Monts, v;4;;85;363;3;6;48;30;3;30;0;0;120;2
588;Bertrand;2018-10-01;G;Val-David, vl;1;;86;388;7;13;67;53;0;52;0;2;194;4
588;Bertrand;2018-10-01;G;Val-David, vl;1;;87;376;5;14;52;52;1;41;0;0;165;1
588;Bertrand;2018-10-01;G;Val-David, vl;1;;88;383;7;7;34;84;4;37;0;1;174;4
588;Bertrand;2018-10-01;G;Val-David, vl;1;;89;400;6;16;48;54;2;78;1;0;205;0
588;Bertrand;2018-10-01;G;Val-David, vl;1;;90;369;2;10;47;67;0;35;0;2;163;4
588;Bertrand;2018-10-01;G;Val-David, vl;1;;91;391;11;12;28;84;1;44;1;2;183;1
588;Bertrand;2018-10-01;G;Val-David, vl;1;;92;387;5;17;39;69;0;45;0;1;176;0
588;Bertrand;2018-10-01;G;Val-David, vl;1;;93;381;5;13;32;76;1;59;0;1;187;7
588;Bertrand;2018-10-01;G;Val-David, vl;1;;94;371;7;15;50;67;1;38;0;0;178;4
588;Bertrand;2018-10-01;G;Val-David, vl;1;;95;374;3;19;69;27;0;25;0;5;148;2
588;Bertrand;2018-10-01;G;Val-David, vl;1;;96;384;3;18;76;51;0;45;0;0;193;4
588;Bertrand;2018-10-01;G;Val-Morin, m;1;;97;387;5;11;64;54;2;49;0;1;186;2
588;Bertrand;2018-10-01;G;Val-Morin, m;1;;98;384;5;12;60;51;1;36;0;2;167;4
588;Bertrand;2018-10-01;G;Val-Morin, m;1;;99;380;5;13;59;60;4;44;0;2;187;1
588;Bertrand;2018-10-01;G;Val-Morin, m;1;;100;378;8;22;49;60;3;46;0;0;188;6
588;Bertrand;2018-10-01;G;Val-Morin, m;1;;101;388;3;16;59;63;0;28;1;0;170;2
588;Bertrand;2018-10-01;G;Val-Morin, m;1;;102;389;8;16;40;46;3;46;1;4;164;2
588;Bertrand;2018-10-01;G;Sainte-Adèle, v;1;;103;416;5;33;87;37;3;56;0;0;221;4
588;Bertrand;2018-10-01;G;Sainte-Adèle, v;1;;104;409;6;27;78;32;0;39;1;0;183;4
588;Bertrand;2018-10-01;G;Sainte-Adèle, v;1;;105;416;5;30;78;34;2;27;0;1;177;2
588;Bertrand;2018-10-01;G;Sainte-Adèle, v;1;;106;417;4;29;71;39;1;43;1;3;191;4
588;Bertrand;2018-10-01;G;Sainte-Adèle, v;1;;107;417;6;37;74;43;0;36;0;0;196;1
588;Bertrand;2018-10-01;G;Sainte-Adèle, v;1;;108;392;1;41;67;30;0;53;0;1;193;1
588;Bertrand;2018-10-01;G;Sainte-Adèle, v;1;;109;405;4;36;60;15;1;43;0;1;160;0
588;Bertrand;2018-10-01;G;Sainte-Adèle, v;1;;110;394;4;31;59;30;2;27;0;3;156;0
588;Bertrand;2018-10-01;G;Sainte-Adèle, v;1;;111;401;7;22;63;42;1;32;1;0;168;4
588;Bertrand;2018-10-01;G;Sainte-Adèle, v;1;;112;406;3;11;58;47;1;29;0;0;149;3
588;Bertrand;2018-10-01;G;Sainte-Adèle, v;1;;113;405;3;38;53;36;2;41;1;1;175;3
588;Bertrand;2018-10-01;G;Sainte-Adèle, v;2;;114;384;1;17;64;33;0;42;1;1;159;1
588;Bertrand;2018-10-01;G;Sainte-Adèle, v;2;;115;370;4;21;74;47;0;45;1;0;192;1
588;Bertrand;2018-10-01;G;Sainte-Adèle, v;2;;116;386;4;27;85;42;2;33;0;0;193;0
588;Bertrand;2018-10-01;G;Sainte-Adèle, v;2;;117;394;4;17;54;25;1;26;0;0;127;2
588;Bertrand;2018-10-01;G;Sainte-Adèle, v;2;;118;388;2;18;68;50;0;38;0;1;177;1
588;Bertrand;2018-10-01;G;Sainte-Adèle, v;2;;119;385;4;25;89;31;1;35;0;0;185;6
588;Bertrand;2018-10-01;G;Sainte-Adèle, v;2;;120;401;2;42;77;33;0;42;0;0;196;2
588;Bertrand;2018-10-01;G;Sainte-Adèle, v;2;;121;389;5;30;56;51;1;38;0;1;182;1
588;Bertrand;2018-10-01;G;Sainte-Adèle, v;3;;122;419;7;23;85;29;1;51;1;2;199;4
588;Bertrand;2018-10-01;G;Sainte-Adèle, v;3;;123;411;7;28;70;42;1;62;1;0;211;2
588;Bertrand;2018-10-01;G;Sainte-Adèle, v;3;;124;407;7;9;81;38;3;38;2;0;178;2
588;Bertrand;2018-10-01;G;Sainte-Adèle, v;3;;125;406;6;18;77;45;1;33;2;1;183;1
