Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Berthiaume Jean-Patrick B.P.;Charlebois Lucie P.L.Q./Q.L.P.;D.-Henry Samuelle P.Q.;Jitaru Bianca P.V.Q./G.P.Q.;Larue-Bourdages Maxime Q.S.;Madelein Etienne N.P.D.Q.;Marquis Patrick É.A.;Picard Marilyne C.A.Q.-É.F.L.;Prud'homme Dominik C.P.Q.;Trombino Felice P.C.Q./C.P.Q.;B.V.;B.R.;
220;Soulanges;2018-10-01;G;Saint-Zotique, m;1;;51;374;1;17;25;3;33;3;0;109;1;1;193;5;
220;Soulanges;2018-10-01;G;Saint-Zotique, m;1;;52;374;1;47;25;1;30;3;0;84;1;0;192;4;
220;Soulanges;2018-10-01;G;Saint-Zotique, m;1;;53;362;1;24;35;2;30;3;1;94;3;2;195;5;
220;Soulanges;2018-10-01;G;Saint-Zotique, m;1;;54A;210;1;20;14;3;17;1;0;41;3;0;100;3;
220;Soulanges;2018-10-01;G;Saint-Zotique, m;1;;54B;240;0;14;6;0;5;1;0;49;0;2;77;2;
220;Soulanges;2018-10-01;G;Les Coteaux, m;1;;55;365;1;38;40;2;22;0;0;100;2;2;207;5;
220;Soulanges;2018-10-01;G;Les Coteaux, m;1;;56;363;0;33;17;4;29;5;0;76;0;2;166;3;
220;Soulanges;2018-10-01;G;Les Coteaux, m;1;;57;376;0;26;21;4;29;2;2;100;2;0;186;4;
220;Soulanges;2018-10-01;G;Les Coteaux, m;1;;58;362;2;48;35;4;26;2;1;83;2;1;204;7;
220;Soulanges;2018-10-01;G;Les Coteaux, m;1;;59;376;4;51;47;2;36;3;0;92;1;0;236;2;
220;Soulanges;2018-10-01;G;Les Coteaux, m;1;;60;362;2;53;21;2;25;5;0;99;2;0;209;1;
220;Soulanges;2018-10-01;G;Les Coteaux, m;1;;61;367;1;19;36;8;38;2;0;107;4;1;216;2;
220;Soulanges;2018-10-01;G;Les Coteaux, m;1;;62;355;1;24;34;3;31;2;3;69;2;2;171;4;
220;Soulanges;2018-10-01;G;Les Coteaux, m;1;;63;378;4;24;20;2;30;0;0;86;3;7;176;1;
220;Soulanges;2018-10-01;G;Les Coteaux, m;1;;64;355;2;19;30;2;44;6;0;94;1;2;200;8;
220;Soulanges;2018-10-01;G;Les Coteaux, m;1;;65;369;3;32;25;3;41;2;0;102;2;0;210;5;
220;Soulanges;2018-10-01;G;Coteau-du-Lac, v;1;;66;403;2;26;37;3;31;2;1;86;5;1;194;8;
220;Soulanges;2018-10-01;G;Coteau-du-Lac, v;1;;67;370;0;62;36;2;24;0;0;114;1;0;239;2;
220;Soulanges;2018-10-01;G;Coteau-du-Lac, v;1;;68;396;1;47;32;0;36;0;0;100;1;1;218;2;
220;Soulanges;2018-10-01;G;Coteau-du-Lac, v;1;;69;377;0;51;40;4;39;2;0;110;2;1;249;2;
220;Soulanges;2018-10-01;G;Coteau-du-Lac, v;1;;70;384;3;68;27;4;33;1;0;108;4;0;248;3;
220;Soulanges;2018-10-01;G;Coteau-du-Lac, v;1;;71;383;3;56;26;6;28;1;2;109;0;1;232;3;
220;Soulanges;2018-10-01;G;Coteau-du-Lac, v;1;;72;377;3;43;29;3;30;2;2;103;5;2;222;1;
220;Soulanges;2018-10-01;G;Coteau-du-Lac, v;1;;73;409;1;25;24;1;28;2;2;97;3;3;186;3;
220;Soulanges;2018-10-01;G;Coteau-du-Lac, v;1;;74;393;0;37;41;4;50;2;0;93;6;1;234;4;
220;Soulanges;2018-10-01;G;Coteau-du-Lac, v;1;;75;374;3;42;39;5;49;2;0;115;1;3;259;2;
220;Soulanges;2018-10-01;G;Coteau-du-Lac, v;1;;76;371;0;53;29;1;40;2;1;123;4;1;254;4;
220;Soulanges;2018-10-01;G;Coteau-du-Lac, v;1;;77;378;1;33;41;5;42;1;0;121;4;0;248;1;
220;Soulanges;2018-10-01;G;Coteau-du-Lac, v;1;;78;388;2;41;21;2;21;2;1;116;1;3;210;0;
220;Soulanges;2018-10-01;G;Coteau-du-Lac, v;1;;79;371;1;64;29;3;24;0;0;98;2;3;224;7;
220;Soulanges;2018-10-01;G;Saint-Clet, m;1;;80;343;2;80;29;2;30;3;0;69;3;2;220;10;
220;Soulanges;2018-10-01;G;Saint-Clet, m;1;;81;337;0;27;24;1;35;1;0;117;0;2;207;4;
220;Soulanges;2018-10-01;G;Saint-Clet, m;1;;82;348;0;45;30;6;37;0;0;95;2;1;216;8;
220;Soulanges;2018-10-01;G;Saint-Clet, m;1;;83;343;2;68;30;2;37;2;1;89;4;1;236;8;
220;Soulanges;2018-10-01;G;Les Cèdres, m;1;;84;375;2;32;19;4;27;2;0;100;0;0;186;3;
220;Soulanges;2018-10-01;G;Les Cèdres, m;1;;85;378;0;46;36;4;23;3;0;76;1;1;190;3;
220;Soulanges;2018-10-01;G;Les Cèdres, m;1;;86;373;2;28;17;1;33;0;0;97;0;4;182;1;
220;Soulanges;2018-10-01;G;Les Cèdres, m;1;;87;374;0;43;18;1;33;4;0;131;2;0;232;5;
220;Soulanges;2018-10-01;G;Les Cèdres, m;1;;88;380;0;37;19;1;32;2;0;126;1;2;220;6;
220;Soulanges;2018-10-01;G;Les Cèdres, m;1;;89;377;1;24;33;3;35;4;0;119;4;3;226;1;
220;Soulanges;2018-10-01;G;Les Cèdres, m;1;;90;385;1;39;25;2;33;5;3;103;1;1;213;1;
220;Soulanges;2018-10-01;G;Les Cèdres, m;1;;91;390;0;41;20;6;42;2;1;115;3;1;231;4;
220;Soulanges;2018-10-01;G;Les Cèdres, m;1;;92;385;2;25;16;6;38;1;0;102;3;1;194;5;
220;Soulanges;2018-10-01;G;Les Cèdres, m;1;;93;379;1;41;33;5;39;2;0;74;1;1;197;2;
220;Soulanges;2018-10-01;G;Les Cèdres, m;1;;94;387;0;23;23;7;43;0;1;95;2;1;195;7;
220;Soulanges;2018-10-01;G;Les Cèdres, m;1;;95;383;1;37;29;5;32;1;0;86;4;1;196;7;
220;Soulanges;2018-10-01;G;Les Cèdres, m;1;;96;374;3;35;35;4;38;0;0;82;7;2;206;1;
