Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Blais Marguerite C.A.Q.-É.F.L.;Goyette Naömie P.L.Q./Q.L.P.;Leclerc Michel P.L.;Mayer Lucie Q.S.;Mulcahy Malcolm P.C.Q./C.P.Q.;St-Pierre Plamondon Paul P.Q.;B.V.;B.R.;
582;Prévost;2018-10-01;G;Saint-Sauveur, v;1;;77;402;97;24;0;19;2;14;156;0;
582;Prévost;2018-10-01;G;Saint-Sauveur, v;1;;78;393;81;37;3;12;3;40;176;0;
582;Prévost;2018-10-01;G;Saint-Sauveur, v;2;Regr. BVO-77;79;12;0;0;0;0;0;0;0;0;
582;Prévost;2018-10-01;G;Sainte-Anne-des-Lacs, p;1;;80;373;69;43;3;42;1;49;207;5;
582;Prévost;2018-10-01;G;Sainte-Anne-des-Lacs, p;1;;81;373;55;24;3;40;0;51;173;5;
582;Prévost;2018-10-01;G;Sainte-Anne-des-Lacs, p;1;;82;383;54;28;1;31;2;48;164;7;
582;Prévost;2018-10-01;G;Sainte-Anne-des-Lacs, p;1;;83;380;68;16;1;32;2;45;164;3;
582;Prévost;2018-10-01;G;Sainte-Anne-des-Lacs, p;1;;84;386;61;38;1;23;5;34;162;3;
582;Prévost;2018-10-01;G;Sainte-Anne-des-Lacs, p;1;;85;392;69;28;1;32;4;42;176;7;
582;Prévost;2018-10-01;G;Sainte-Anne-des-Lacs, p;1;;86;382;62;30;0;30;0;58;180;2;
582;Prévost;2018-10-01;G;Sainte-Anne-des-Lacs, p;1;;87;375;67;19;0;24;2;43;155;5;
582;Prévost;2018-10-01;G;Prévost, v;1;;88;374;108;21;3;31;1;58;222;5;
582;Prévost;2018-10-01;G;Prévost, v;1;;89;364;76;15;7;16;5;46;165;1;
582;Prévost;2018-10-01;G;Prévost, v;1;;90;339;73;11;1;29;2;52;168;4;
582;Prévost;2018-10-01;G;Prévost, v;1;;91;356;80;19;1;32;0;50;182;1;
582;Prévost;2018-10-01;G;Prévost, v;1;;92;365;65;18;0;33;2;41;159;6;
582;Prévost;2018-10-01;G;Prévost, v;1;;93;359;73;11;1;40;2;53;180;3;
582;Prévost;2018-10-01;G;Prévost, v;1;;94;352;76;14;1;38;1;51;181;5;
582;Prévost;2018-10-01;G;Prévost, v;2;;95;419;96;16;2;49;1;71;235;2;
582;Prévost;2018-10-01;G;Prévost, v;2;;96;395;78;23;1;37;0;71;210;1;
