Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Fréchette-Bonnier Maya Q.S.;Geraci Antonino P.V.Q./G.P.Q.;Grigoriev Nikolai P.C.Q./C.P.Q.;Héroux Hélène P.M.L.Q.;Jugureanu Marcelina P.L.Q./Q.L.P.;McCann Danielle C.A.Q.-É.F.L.;Therrien Alain P.Q.;B.V.;B.R.;
230;Sanguinet;2018-10-01;G;Saint-Constant, v;6;;77A;238;10;4;3;0;33;53;24;127;1;
230;Sanguinet;2018-10-01;G;Saint-Constant, v;6;;77B;231;18;6;2;0;29;49;32;136;2;
230;Sanguinet;2018-10-01;G;Saint-Constant, v;6;;78A;239;12;5;1;0;43;51;16;128;0;
230;Sanguinet;2018-10-01;G;Saint-Constant, v;6;;78B;264;20;1;4;0;42;60;33;160;1;
230;Sanguinet;2018-10-01;G;Saint-Constant, v;6;;79A;247;12;0;1;0;43;51;25;132;0;
230;Sanguinet;2018-10-01;G;Saint-Constant, v;6;;79B;262;19;4;1;1;28;59;32;144;2;
230;Sanguinet;2018-10-01;G;Saint-Constant, v;6;;80;395;18;6;1;2;32;90;71;220;4;
230;Sanguinet;2018-10-01;G;Saint-Constant, v;6;;81;383;22;2;2;0;22;61;65;174;6;
230;Sanguinet;2018-10-01;G;Saint-Constant, v;6;;82;383;36;1;2;0;20;98;45;202;4;
230;Sanguinet;2018-10-01;G;Saint-Constant, v;6;;83;400;42;3;3;0;23;86;50;207;4;
230;Sanguinet;2018-10-01;G;Saint-Constant, v;6;;84;392;25;1;6;0;18;81;65;196;0;
230;Sanguinet;2018-10-01;G;Saint-Constant, v;6;;85;388;26;2;3;2;36;87;56;212;8;
230;Sanguinet;2018-10-01;G;Saint-Constant, v;6;;86;398;33;6;6;0;25;88;68;226;3;
230;Sanguinet;2018-10-01;G;Saint-Mathieu, m;1;;87;338;26;5;2;0;25;85;34;177;9;
230;Sanguinet;2018-10-01;G;Saint-Mathieu, m;1;;88;357;27;2;2;0;21;74;35;161;6;
230;Sanguinet;2018-10-01;G;Saint-Mathieu, m;1;;89;375;29;3;3;0;15;105;44;199;6;
230;Sanguinet;2018-10-01;G;Saint-Mathieu, m;1;;90;355;29;4;1;0;23;109;35;201;4;
230;Sanguinet;2018-10-01;G;Saint-Mathieu, m;1;;91;359;20;4;0;0;29;99;50;202;4;
230;Sanguinet;2018-10-01;G;Saint-Rémi, v;1;;92;381;28;3;6;1;17;91;40;186;5;
230;Sanguinet;2018-10-01;G;Saint-Rémi, v;1;;93;403;32;1;6;0;17;106;46;208;3;
