Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Brunelle Claude P.M.L.Q.;Campeau Richard C.A.Q.-É.F.L.;Girard Vincent P.L.Q./Q.L.P.;Hassell-Crépeau Marieke P.V.Q./G.P.Q.;Kotto Maka P.Q.;Lessard Marlène Q.S.;Roy Dany C.P.Q.;B.V.;B.R.
370;Bourget;2018-10-01;G;Montréal, v;353;;79;419;0;49;15;5;67;47;1;184;2
370;Bourget;2018-10-01;G;Montréal, v;353;;80;405;2;66;27;9;65;58;1;228;2
370;Bourget;2018-10-01;G;Montréal, v;354;;81;403;0;61;35;5;47;52;1;201;6
370;Bourget;2018-10-01;G;Montréal, v;354;;82;395;0;35;48;4;58;41;1;187;3
370;Bourget;2018-10-01;G;Montréal, v;354;;83;397;1;66;30;8;48;55;0;208;2
370;Bourget;2018-10-01;G;Montréal, v;354;;84;398;0;43;39;6;40;54;0;182;5
370;Bourget;2018-10-01;G;Montréal, v;354;;85;414;3;66;57;5;42;48;1;222;3
370;Bourget;2018-10-01;G;Montréal, v;354;;86A;197;1;31;26;2;18;21;0;99;2
370;Bourget;2018-10-01;G;Montréal, v;354;;86B;229;0;26;27;2;25;23;1;104;5
370;Bourget;2018-10-01;G;Montréal, v;355;;87;384;2;47;59;1;39;51;1;200;4
370;Bourget;2018-10-01;G;Montréal, v;355;;88;385;0;43;23;9;44;44;3;166;2
370;Bourget;2018-10-01;G;Montréal, v;355;;89;376;0;49;27;10;48;38;1;173;2
370;Bourget;2018-10-01;G;Montréal, v;355;;90;377;0;36;52;5;32;35;1;161;1
370;Bourget;2018-10-01;G;Montréal, v;355;;91;376;0;46;59;5;34;27;0;171;6
370;Bourget;2018-10-01;G;Montréal, v;355;;92;392;0;65;42;2;63;40;1;213;2
370;Bourget;2018-10-01;G;Montréal, v;355;;93;385;0;49;53;6;61;45;1;215;2
370;Bourget;2018-10-01;G;Montréal, v;355;;94;388;0;61;57;2;60;34;0;214;5
370;Bourget;2018-10-01;G;Montréal, v;355;;95;384;0;65;63;7;52;48;1;236;2
370;Bourget;2018-10-01;G;Montréal, v;356;;96A;217;0;28;39;4;15;21;1;108;4
370;Bourget;2018-10-01;G;Montréal, v;356;;96B;225;0;23;41;3;29;31;0;127;4
370;Bourget;2018-10-01;G;Montréal, v;356;;97;390;1;40;65;5;54;42;2;209;3
370;Bourget;2018-10-01;G;Montréal, v;356;;98;381;0;45;33;5;60;44;1;188;1
370;Bourget;2018-10-01;G;Montréal, v;356;;99;376;1;55;47;4;59;40;2;208;3
370;Bourget;2018-10-01;G;Montréal, v;356;;100;396;0;67;38;7;54;34;4;204;8
370;Bourget;2018-10-01;G;Montréal, v;356;;101;388;1;49;41;4;49;39;0;183;6
370;Bourget;2018-10-01;G;Montréal, v;356;;102;377;1;32;46;1;25;25;4;134;5
370;Bourget;2018-10-01;G;Montréal, v;356;;103;379;1;57;37;4;38;34;0;171;9
370;Bourget;2018-10-01;G;Montréal, v;356;;104;401;1;49;68;5;37;41;0;201;4
370;Bourget;2018-10-01;G;Montréal, v;356;;105A;241;0;66;65;1;43;11;1;187;6
370;Bourget;2018-10-01;G;Montréal, v;356;;105B;229;1;39;32;1;22;20;1;116;2
370;Bourget;2018-10-01;G;Montréal, v;357;;106;354;0;47;55;4;36;46;0;188;5
370;Bourget;2018-10-01;G;Montréal, v;357;;107;368;1;34;34;1;31;35;1;137;5
370;Bourget;2018-10-01;G;Montréal, v;357;;108;369;1;44;45;4;45;33;1;173;3
370;Bourget;2018-10-01;G;Montréal, v;357;;109;361;0;53;41;4;39;45;2;184;5
370;Bourget;2018-10-01;G;Montréal, v;357;;110;355;0;69;33;6;48;45;2;203;9
370;Bourget;2018-10-01;G;Montréal, v;357;;111;364;0;56;24;1;45;49;0;175;7
370;Bourget;2018-10-01;G;Montréal, v;358;;112;364;0;52;33;5;61;37;1;189;5
