Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Dupuis Sébastien C.P.Q.;Hivon Véronique P.Q.;Imbeault Emilie P.L.Q./Q.L.P.;Sicard Judith Q.S.;St-Jean Étienne P.V.Q./G.P.Q.;St-Louis François C.A.Q.-É.F.L.;B.V.;B.R.;
570;Joliette;2018-10-01;G;Joliette, v;7;;109;350;3;70;6;23;4;60;166;6;
570;Joliette;2018-10-01;G;Joliette, v;7;;110;347;2;97;10;21;1;30;161;1;
570;Joliette;2018-10-01;G;Joliette, v;7;;111;356;3;77;17;17;4;49;167;1;
570;Joliette;2018-10-01;G;Joliette, v;7;;112;328;1;50;8;21;0;22;102;0;
570;Joliette;2018-10-01;G;Joliette, v;7;;113;324;2;96;6;18;1;43;166;1;
570;Joliette;2018-10-01;G;Saint-Thomas, m;1;;114;375;1;91;7;14;7;73;193;5;
570;Joliette;2018-10-01;G;Saint-Thomas, m;1;;115;376;1;103;15;22;0;93;234;2;
570;Joliette;2018-10-01;G;Saint-Thomas, m;1;;116;364;1;115;14;36;3;63;232;4;
570;Joliette;2018-10-01;G;Saint-Thomas, m;1;;117;371;4;99;5;23;1;87;219;5;
570;Joliette;2018-10-01;G;Saint-Thomas, m;1;;118;363;4;86;18;22;5;65;200;4;
570;Joliette;2018-10-01;G;Saint-Thomas, m;1;;119;366;3;98;21;19;2;53;196;5;
570;Joliette;2018-10-01;G;Saint-Thomas, m;1;;120;377;7;87;22;19;1;68;204;5;
570;Joliette;2018-10-01;G;Saint-Paul, m;1;;121;357;2;72;5;24;2;73;178;0;
570;Joliette;2018-10-01;G;Saint-Paul, m;1;;122;370;2;89;10;23;2;86;212;1;
570;Joliette;2018-10-01;G;Saint-Paul, m;1;;123;359;1;86;5;26;2;71;191;5;
570;Joliette;2018-10-01;G;Saint-Paul, m;1;;124;375;1;84;4;30;1;97;217;3;
570;Joliette;2018-10-01;G;Saint-Paul, m;1;;125;367;5;76;11;25;5;78;200;3;
570;Joliette;2018-10-01;G;Saint-Paul, m;1;;126;341;1;73;15;20;3;73;185;3;
570;Joliette;2018-10-01;G;Saint-Paul, m;1;;127;365;1;101;10;22;0;61;195;1;
570;Joliette;2018-10-01;G;Saint-Paul, m;1;;128;359;1;68;12;21;6;63;171;6;
570;Joliette;2018-10-01;G;Saint-Paul, m;1;;129;363;1;75;11;31;2;50;170;4;
570;Joliette;2018-10-01;G;Saint-Paul, m;1;;130;391;3;87;7;31;5;70;203;3;
570;Joliette;2018-10-01;G;Saint-Paul, m;1;;131;362;3;76;11;22;5;63;180;6;
570;Joliette;2018-10-01;G;Saint-Paul, m;1;;132;372;1;82;12;11;2;88;196;3;
570;Joliette;2018-10-01;G;Saint-Paul, m;1;;133;364;0;108;11;18;4;61;202;5;
570;Joliette;2018-10-01;G;Crabtree, m;1;;134;383;2;88;11;32;2;70;205;6;
570;Joliette;2018-10-01;G;Crabtree, m;1;;135;395;2;129;2;36;2;72;243;4;
570;Joliette;2018-10-01;G;Crabtree, m;1;;136;373;1;73;16;35;2;60;187;4;
570;Joliette;2018-10-01;G;Crabtree, m;1;;137;365;4;98;12;30;2;64;210;4;
570;Joliette;2018-10-01;G;Crabtree, m;1;;138;379;1;86;7;25;1;79;199;7;
570;Joliette;2018-10-01;G;Crabtree, m;1;;139;370;0;117;12;20;5;68;222;14;
570;Joliette;2018-10-01;G;Crabtree, m;1;;140;371;3;88;9;27;7;91;225;6;
570;Joliette;2018-10-01;G;Crabtree, m;1;;141;383;0;91;7;37;8;80;223;5;
570;Joliette;2018-10-01;G;Saint-Charles-Borromée, m;1;Regr. BVDS-1;500;152;0;0;0;0;0;0;0;0;
570;Joliette;2018-10-01;G;Saint-Charles-Borromée, m;3;Regr. BVDS-1;501;156;0;0;0;0;0;0;0;0;
570;Joliette;2018-10-01;G;Saint-Charles-Borromée, m;3;Regr. BVDS-1;502;113;0;0;0;0;0;0;0;0;
570;Joliette;2018-10-01;G;Saint-Charles-Borromée, m;3;Regr. BVDS-1;503;161;0;0;0;0;0;0;0;0;
570;Joliette;2018-10-01;G;Saint-Charles-Borromée, m;3;Regr. BVDS-1;504;145;0;0;0;0;0;0;0;0;
