Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Alarco Jérémie P.V.Q./G.P.Q.;Birnbaum David P.L.Q./Q.L.P.;Cohn Mélodie C.A.Q.-É.F.L.;Johnston Diane P.M.L.Q.;Kumuyange Jean-Claude Q.S.;Loran Yaniv P.C.Q./C.P.Q.;Pion Eliane P.Q.;Smit Leigh N.P.D.Q.;B.V.;B.R.
320;D'Arcy-McGee;2018-10-01;G;Côte-Saint-Luc, v;2;;13;382;4;96;13;0;23;3;4;1;144;2
320;D'Arcy-McGee;2018-10-01;G;Côte-Saint-Luc, v;2;;14;369;4;62;6;1;1;11;3;2;90;3
320;D'Arcy-McGee;2018-10-01;G;Côte-Saint-Luc, v;2;;15;385;3;104;7;0;6;11;4;2;137;0
320;D'Arcy-McGee;2018-10-01;G;Côte-Saint-Luc, v;2;;16;404;5;93;6;0;3;9;1;2;119;1
320;D'Arcy-McGee;2018-10-01;G;Côte-Saint-Luc, v;2;;17;404;2;82;17;1;4;6;5;3;120;0
320;D'Arcy-McGee;2018-10-01;G;Côte-Saint-Luc, v;3;;18;366;3;69;4;0;0;16;3;0;95;0
320;D'Arcy-McGee;2018-10-01;G;Côte-Saint-Luc, v;3;;19;360;0;84;0;0;1;9;0;0;94;0
320;D'Arcy-McGee;2018-10-01;G;Côte-Saint-Luc, v;3;;20;354;1;77;4;0;3;8;0;1;94;0
320;D'Arcy-McGee;2018-10-01;G;Côte-Saint-Luc, v;3;;21;360;1;65;3;1;0;12;1;0;83;0
320;D'Arcy-McGee;2018-10-01;G;Côte-Saint-Luc, v;3;;22;357;5;66;4;0;1;8;0;0;84;0
320;D'Arcy-McGee;2018-10-01;G;Côte-Saint-Luc, v;3;;23;361;0;70;2;1;0;5;0;0;78;0
320;D'Arcy-McGee;2018-10-01;G;Côte-Saint-Luc, v;4;;24;369;2;86;7;1;0;12;0;0;108;0
320;D'Arcy-McGee;2018-10-01;G;Côte-Saint-Luc, v;4;;25;353;0;39;3;1;0;2;0;1;46;0
320;D'Arcy-McGee;2018-10-01;G;Côte-Saint-Luc, v;4;;26;370;0;70;2;0;1;8;2;1;84;0
320;D'Arcy-McGee;2018-10-01;G;Côte-Saint-Luc, v;4;;27;369;2;62;5;0;2;4;0;0;75;1
320;D'Arcy-McGee;2018-10-01;G;Côte-Saint-Luc, v;4;;28;376;1;63;6;0;1;5;1;0;77;0
320;D'Arcy-McGee;2018-10-01;G;Côte-Saint-Luc, v;4;;29;313;2;43;3;0;0;4;0;0;52;0
320;D'Arcy-McGee;2018-10-01;G;Côte-Saint-Luc, v;4;;30;365;3;84;4;0;0;6;0;0;97;0
320;D'Arcy-McGee;2018-10-01;G;Côte-Saint-Luc, v;4;;31;344;3;65;4;0;2;5;1;1;81;0
320;D'Arcy-McGee;2018-10-01;G;Côte-Saint-Luc, v;4;;32;356;0;76;1;0;1;4;0;0;82;1
320;D'Arcy-McGee;2018-10-01;G;Côte-Saint-Luc, v;4;;33;368;2;82;8;0;2;7;0;2;103;1
320;D'Arcy-McGee;2018-10-01;G;Côte-Saint-Luc, v;4;;34;352;2;92;2;0;1;6;0;0;103;1
320;D'Arcy-McGee;2018-10-01;G;Côte-Saint-Luc, v;5;;35;373;0;102;3;0;2;12;0;0;119;1
320;D'Arcy-McGee;2018-10-01;G;Côte-Saint-Luc, v;5;;36;364;0;74;3;0;0;10;1;0;88;1
320;D'Arcy-McGee;2018-10-01;G;Côte-Saint-Luc, v;5;;37;374;1;75;4;1;2;3;0;0;86;0
