Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Béchard Benoît P.Q.;Comeau Benoit Q.S.;Guay Simon B.P.;Lachance Stéphanie C.A.Q.-É.F.L.;Messner Dominique P.C.Q./C.P.Q.;Roy Sébastien A.P.Q.;Vien Dominique P.L.Q./Q.L.P.;B.V.;B.R.
822;Bellechasse;2018-10-01;G;Saint-Nérée-de-Bellechasse, m;1;;82;317;16;15;2;118;7;0;49;207;5
822;Bellechasse;2018-10-01;G;Saint-Raphaël, m;1;;83;371;10;26;1;129;6;1;38;211;1
822;Bellechasse;2018-10-01;G;Saint-Raphaël, m;1;;84;382;11;19;0;102;4;2;62;200;2
822;Bellechasse;2018-10-01;G;Saint-Raphaël, m;1;;85;376;16;23;1;113;7;4;47;211;4
822;Bellechasse;2018-10-01;G;Saint-Raphaël, m;1;;86;371;4;12;2;131;6;3;55;213;3
822;Bellechasse;2018-10-01;G;Saint-Raphaël, m;1;;87;361;21;15;1;101;5;1;51;195;10
822;Bellechasse;2018-10-01;G;La Durantaye, p;1;;88;295;13;16;1;94;3;0;40;167;2
822;Bellechasse;2018-10-01;G;La Durantaye, p;1;;89;306;11;16;8;96;10;1;42;184;6
822;Bellechasse;2018-10-01;G;Saint-Vallier, m;1;;90;418;24;24;0;101;7;1;71;228;5
822;Bellechasse;2018-10-01;G;Saint-Vallier, m;1;;91;410;17;30;2;123;6;1;64;243;1
822;Bellechasse;2018-10-01;G;Saint-Michel-de-Bellechasse, m;1;;92;371;30;28;2;88;4;0;62;214;3
822;Bellechasse;2018-10-01;G;Saint-Michel-de-Bellechasse, m;1;;93;366;17;15;0;104;3;1;42;182;4
822;Bellechasse;2018-10-01;G;Saint-Michel-de-Bellechasse, m;1;;94;353;28;22;1;79;5;1;50;186;3
822;Bellechasse;2018-10-01;G;Saint-Michel-de-Bellechasse, m;1;;95;375;18;20;2;117;3;3;45;208;2
822;Bellechasse;2018-10-01;G;Beaumont, m;1;;96;337;13;18;2;193;5;0;48;279;5
822;Bellechasse;2018-10-01;G;Beaumont, m;1;;97;353;22;23;1;128;16;0;55;245;7
822;Bellechasse;2018-10-01;G;Beaumont, m;1;;98;365;10;16;0;133;5;0;51;215;5
822;Bellechasse;2018-10-01;G;Beaumont, m;1;;99;338;15;32;0;130;6;1;34;218;3
822;Bellechasse;2018-10-01;G;Beaumont, m;1;;100;379;11;24;1;162;7;1;73;279;6
822;Bellechasse;2018-10-01;G;Beaumont, m;1;;101;340;16;21;0;122;10;0;55;224;2
822;Bellechasse;2018-10-01;G;Lévis, v;29;;102;381;8;34;0;104;9;0;25;180;4
822;Bellechasse;2018-10-01;G;Lévis, v;29;;103;391;15;19;3;152;13;0;36;238;2
822;Bellechasse;2018-10-01;G;Lévis, v;29;;104;371;11;15;2;126;13;2;40;209;4
822;Bellechasse;2018-10-01;G;Lévis, v;29;;105;379;21;20;4;141;6;0;29;221;2
822;Bellechasse;2018-10-01;G;Lévis, v;29;;106;383;19;19;1;174;10;0;27;250;3
822;Bellechasse;2018-10-01;G;Lévis, v;29;;107;369;23;11;0;105;6;0;27;172;5
822;Bellechasse;2018-10-01;G;Lévis, v;29;;108;376;15;17;0;145;7;1;39;224;3
