Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Champigny-Fortier William Q.S.;Daigle Jacques P.Q.;Guay Gaudreault Lisette P.C.Q./C.P.Q.;Landry Jean A.P.Q.;Lefebvre Éric C.A.Q.-É.F.L.;Pelland Jean-Charles P.V.Q./G.P.Q.;Poirier Pierre P.L.Q./Q.L.P.;B.V.;B.R.
144;Arthabaska;2018-10-01;G;BVA4: SV no 17 à 23;;;;0;37;39;5;1;171;2;48;303;4
144;Arthabaska;2018-10-01;G;BVA5: SV no 24 à 30;;;;0;37;34;4;4;256;2;52;389;3
144;Arthabaska;2018-10-01;G;BVA6: SV no 31 à 37;;;;0;29;33;6;2;157;4;38;269;2
144;Arthabaska;2018-10-01;G;BVA7: SV no 38 à 44;;;;0;29;29;5;3;148;2;39;255;3
144;Arthabaska;2018-10-01;G;BVA8: SV no 45 à 51;;;;0;23;29;1;1;166;4;19;243;4
144;Arthabaska;2018-10-01;G;BVA9: SV no 52 à 58;;;;0;24;37;3;4;275;0;38;381;4
144;Arthabaska;2018-10-01;G;BVA10: SV no 59 à 65;;;;0;37;25;5;2;229;1;30;329;5
144;Arthabaska;2018-10-01;G;BVA11: SV no 66 à 71, 149;;;;0;39;51;1;2;236;6;75;410;4
144;Arthabaska;2018-10-01;G;BVA12: SV no 72 à 76, 150 à 151;;;;0;39;39;0;1;265;5;51;400;0
144;Arthabaska;2018-10-01;G;BVA13: SV no 77 à 81, 152 à 153;;;;0;34;25;2;2;167;5;23;258;4
144;Arthabaska;2018-10-01;G;BVA14: SV no 82 à 86, 154 à 155;;;;0;40;61;4;7;252;5;84;453;1
144;Arthabaska;2018-10-01;G;BVA15: SV no 87 à 91, 156 à 157;;;;0;45;36;3;3;177;9;65;338;12
144;Arthabaska;2018-10-01;G;BVA16: SV no 97 à 103;;;;0;13;25;4;3;177;3;51;276;5
144;Arthabaska;2018-10-01;G;BVA17: SV no 104 à 110;;;;0;25;23;7;2;186;1;50;294;10
144;Arthabaska;2018-10-01;G;BVA18: SV no 111, 114 à 119;;;;0;22;19;3;1;186;2;36;269;3
144;Arthabaska;2018-10-01;G;BVA19: SV no 112 à 113, 120 à 125;;;;0;24;24;7;6;201;5;38;305;6
144;Arthabaska;2018-10-01;G;BVA20: SV no 126 à 131, 142 à 143;;;;0;23;14;4;0;199;2;38;280;3
144;Arthabaska;2018-10-01;G;BVA21: SV no 132 à 133, 139 à 140;;;;0;13;15;5;2;60;1;27;123;2
144;Arthabaska;2018-10-01;G;BVA22: SV no 134 à 138;;;;0;5;4;7;1;51;0;10;78;1
144;Arthabaska;2018-10-01;G;BVA23: SV no 141, 144 à 148;;;;0;27;26;7;1;241;5;38;345;2
144;Arthabaska;2018-10-01;G;Vote en installation d'hébergement;;;;0;32;74;24;42;511;3;295;981;30
144;Arthabaska;2018-10-01;G;Vote itinérant et au domicile de l'électeur;;;;0;4;7;1;0;18;0;22;52;1
144;Arthabaska;2018-10-01;G;Vote au bureau du directeur du scrutin;;;;0;417;332;63;36;1820;41;353;3062;56
144;Arthabaska;2018-10-01;G;Vote dans les établissements d'enseignement;;Regr. BVDS-1;;0;0;0;0;0;0;0;0;0;0
144;Arthabaska;2018-10-01;G;Vote hors circonscription;;;;0;171;44;8;1;83;3;23;333;6
144;Arthabaska;2018-10-01;G;Vote hors Québec;;Regr. VHC-1;;15;0;0;0;0;0;0;0;0;0
144;Arthabaska;2018-10-01;G;Vote des détenus;;Regr. VHC-1;;9;0;0;0;0;0;0;0;0;0
144;Arthabaska;2018-10-01;G;Total de la circonscription;;;;60808;5215;3897;968;418;25640;620;4707;41465;791
144;Arthabaska;2018-10-01;G;Majorité en faveur de Éric Lefebvre : 20425;;;;;;;;;;;;;
