Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Beaulieu Daniel P.C.Q./C.P.Q.;Bédard Jean P.M.L.Q.;Huot Alexandre P.Q.;Lamontagne Marie-Christine Q.S.;Lescarbeau Nicholas P.V.Q./G.P.Q.;Simard Jean-François Ind;Simard Jean-François C.A.Q.-É.F.L.;Trudel Marie France P.L.Q./Q.L.P.;B.V.;B.R.;
742;Montmorency;2018-10-01;G;Québec, v;131;;25;363;5;0;25;32;4;2;67;32;167;6;
742;Montmorency;2018-10-01;G;Québec, v;131;;26;376;5;0;22;28;5;2;85;44;191;3;
742;Montmorency;2018-10-01;G;Québec, v;131;;27;346;5;1;14;33;1;3;72;23;152;5;
742;Montmorency;2018-10-01;G;Québec, v;131;;28;351;2;0;14;24;6;0;42;25;113;1;
742;Montmorency;2018-10-01;G;Québec, v;131;;29A;225;4;0;12;9;2;1;63;24;115;5;
742;Montmorency;2018-10-01;G;Québec, v;131;;29B;204;5;1;8;9;1;0;39;15;78;0;
742;Montmorency;2018-10-01;G;Québec, v;131;;30;355;9;0;17;22;5;2;73;22;150;4;
742;Montmorency;2018-10-01;G;Québec, v;131;;31;353;7;0;18;15;3;2;51;29;125;2;
742;Montmorency;2018-10-01;G;Québec, v;131;;32A;212;1;0;7;10;0;2;31;24;75;2;
742;Montmorency;2018-10-01;G;Québec, v;131;;32B;218;2;0;11;7;0;0;43;11;74;4;
742;Montmorency;2018-10-01;G;Québec, v;132;;33;373;5;0;11;43;2;3;68;29;161;2;
742;Montmorency;2018-10-01;G;Québec, v;132;;34;380;10;0;13;23;3;0;93;40;182;2;
742;Montmorency;2018-10-01;G;Québec, v;132;;35;369;8;0;26;33;5;2;82;44;200;0;
742;Montmorency;2018-10-01;G;Québec, v;132;;36;376;5;2;18;41;6;1;68;23;164;5;
742;Montmorency;2018-10-01;G;Québec, v;132;;37;360;12;0;29;30;3;5;82;42;203;4;
742;Montmorency;2018-10-01;G;Québec, v;132;;38;372;4;0;25;28;0;2;101;32;192;4;
742;Montmorency;2018-10-01;G;Québec, v;132;;39;364;6;1;16;18;2;4;79;53;179;5;
742;Montmorency;2018-10-01;G;Québec, v;133;;40;390;7;1;26;13;5;3;104;25;184;4;
