Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Bruneau Jacynthe P.Q.;Cardin Christine Q.S.;Giguère Pierre P.L.Q./Q.L.P.;Gosselin Jacques C.P.Q.;Hamel Ugo P.C.Q./C.P.Q.;Tardif Marie-Louise C.A.Q.-É.F.L.;B.V.;B.R.
670;Laviolette-Saint-Maurice;2018-10-01;G;Shawinigan, v;14;;108;360;20;21;26;3;4;65;139;4
670;Laviolette-Saint-Maurice;2018-10-01;G;Shawinigan, v;14;;109;334;23;38;31;1;4;67;164;1
670;Laviolette-Saint-Maurice;2018-10-01;G;Shawinigan, v;14;;110;353;20;28;27;2;1;52;130;0
670;Laviolette-Saint-Maurice;2018-10-01;G;Shawinigan, v;14;;111;334;14;18;20;3;2;72;129;3
670;Laviolette-Saint-Maurice;2018-10-01;G;Shawinigan, v;15;;112;327;19;21;23;0;4;69;136;4
670;Laviolette-Saint-Maurice;2018-10-01;G;Shawinigan, v;15;;113;331;21;22;24;2;0;79;148;6
670;Laviolette-Saint-Maurice;2018-10-01;G;Shawinigan, v;16;;114;322;30;27;37;2;0;75;171;5
670;Laviolette-Saint-Maurice;2018-10-01;G;Shawinigan, v;16;;115;329;19;27;19;3;2;78;148;11
670;Laviolette-Saint-Maurice;2018-10-01;G;Shawinigan, v;16;;116;338;25;13;14;0;2;40;94;1
670;Laviolette-Saint-Maurice;2018-10-01;G;Shawinigan, v;16;;117;346;17;18;19;4;2;56;116;8
670;Laviolette-Saint-Maurice;2018-10-01;G;Shawinigan, v;16;;118;332;27;20;19;0;5;68;139;2
670;Laviolette-Saint-Maurice;2018-10-01;G;Shawinigan, v;17;;119;371;25;23;42;1;4;98;193;4
670;Laviolette-Saint-Maurice;2018-10-01;G;Shawinigan, v;17;;120;374;23;29;27;2;0;51;132;6
670;Laviolette-Saint-Maurice;2018-10-01;G;Shawinigan, v;17;;121;252;9;7;31;2;1;67;117;3
670;Laviolette-Saint-Maurice;2018-10-01;G;Shawinigan, v;17;;122;355;22;26;42;6;1;78;175;2
670;Laviolette-Saint-Maurice;2018-10-01;G;Shawinigan, v;17;;123;362;26;27;19;4;4;79;159;5
670;Laviolette-Saint-Maurice;2018-10-01;G;Shawinigan, v;17;;124;379;30;26;35;1;6;81;179;2
670;Laviolette-Saint-Maurice;2018-10-01;G;Shawinigan, v;18;;125;421;38;36;39;2;4;95;214;4
670;Laviolette-Saint-Maurice;2018-10-01;G;Shawinigan, v;18;;126;407;35;44;45;4;9;99;236;7
