Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Alarie Marc V.P.;Charest Isabelle C.A.Q.-É.F.L.;Dionne Elisabeth P.V.Q./G.P.Q.;Gamache Manon C.P.Q.;Larouche Andréanne P.Q.;Legault Alexandre Q.S.;Marini Ingrid P.L.Q./Q.L.P.;B.V.;B.R.
204;Brome-Missisquoi;2018-10-01;G;Shefford, ct;1;;139;403;1;101;3;0;29;47;34;215;4
204;Brome-Missisquoi;2018-10-01;G;Shefford, ct;1;;140;406;0;127;3;0;36;53;27;246;1
204;Brome-Missisquoi;2018-10-01;G;Shefford, ct;2;;141;413;1;95;5;1;22;28;22;174;2
204;Brome-Missisquoi;2018-10-01;G;Shefford, ct;2;;142;404;1;111;7;0;18;53;31;221;3
204;Brome-Missisquoi;2018-10-01;G;Shefford, ct;2;;143;406;1;93;6;1;28;36;39;204;2
204;Brome-Missisquoi;2018-10-01;G;Shefford, ct;2;;144;402;1;109;4;1;29;36;36;216;2
204;Brome-Missisquoi;2018-10-01;G;Shefford, ct;2;;145;404;1;110;8;1;30;48;26;224;3
204;Brome-Missisquoi;2018-10-01;G;Shefford, ct;2;;146;413;0;84;6;0;28;31;13;162;1
204;Brome-Missisquoi;2018-10-01;G;Shefford, ct;2;;147;398;0;79;6;2;24;23;55;189;2
204;Brome-Missisquoi;2018-10-01;G;Shefford, ct;2;;148;397;1;70;6;2;23;22;40;164;1
204;Brome-Missisquoi;2018-10-01;G;Waterloo, v;1;;149;386;1;60;2;3;14;34;34;148;5
204;Brome-Missisquoi;2018-10-01;G;Waterloo, v;1;;150;396;0;60;4;3;18;38;34;157;7
204;Brome-Missisquoi;2018-10-01;G;Waterloo, v;1;;151;374;1;68;6;2;14;20;28;139;11
204;Brome-Missisquoi;2018-10-01;G;Waterloo, v;1;;152;379;1;54;2;5;11;21;22;116;0
204;Brome-Missisquoi;2018-10-01;G;Waterloo, v;1;;153;372;3;97;6;1;14;28;37;186;5
204;Brome-Missisquoi;2018-10-01;G;Waterloo, v;1;;154;363;3;93;2;1;12;28;25;164;2
204;Brome-Missisquoi;2018-10-01;G;Waterloo, v;1;;155;391;8;95;8;1;12;36;37;197;0
204;Brome-Missisquoi;2018-10-01;G;Waterloo, v;1;;156;421;2;101;5;3;17;32;24;184;0
204;Brome-Missisquoi;2018-10-01;G;Waterloo, v;1;;157;405;0;108;3;0;36;43;36;226;0
204;Brome-Missisquoi;2018-10-01;G;Warden, vl;1;;158;281;0;70;1;6;22;29;29;157;3
