Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Anglade Dominique P.L.Q./Q.L.P.;Duford Jean-Pierre P.V.Q./G.P.Q.;Ella-Oyono Dieudonné P.Q.;Gagnon-Paquin Félix B.P.;Hamel Sylvie C.A.Q.-É.F.L.;Orchard Caroline P.C.Q./C.P.Q.;Racette Benoit Q.S.;Scott Steven N.P.D.Q.;Sullivan Linda P.M.L.Q.;Young Christopher C.I.N.Q.;B.V.;B.R.;
326;Saint-Henri-Sainte-Anne;2018-10-01;G;Montréal, v;105;;130;390;36;6;19;1;39;4;39;2;2;1;149;4;
326;Saint-Henri-Sainte-Anne;2018-10-01;G;Montréal, v;105;;131;364;62;5;22;2;35;1;38;3;1;0;169;4;
326;Saint-Henri-Sainte-Anne;2018-10-01;G;Montréal, v;105;;132;399;46;7;24;2;31;3;68;4;1;1;187;3;
326;Saint-Henri-Sainte-Anne;2018-10-01;G;Montréal, v;105;;133;393;49;5;13;3;30;0;51;7;0;1;159;1;
326;Saint-Henri-Sainte-Anne;2018-10-01;G;Montréal, v;106;;134;379;78;2;18;0;30;0;48;4;1;0;181;4;
326;Saint-Henri-Sainte-Anne;2018-10-01;G;Montréal, v;106;;135;385;82;8;16;1;23;3;55;6;0;1;195;4;
326;Saint-Henri-Sainte-Anne;2018-10-01;G;Montréal, v;106;;136;401;75;8;25;1;31;1;47;9;0;1;198;4;
326;Saint-Henri-Sainte-Anne;2018-10-01;G;Montréal, v;106;;137;394;48;1;19;2;28;3;30;4;0;1;136;1;
326;Saint-Henri-Sainte-Anne;2018-10-01;G;Montréal, v;106;;138;402;56;7;14;1;29;3;40;6;3;2;161;5;
326;Saint-Henri-Sainte-Anne;2018-10-01;G;Montréal, v;106;;139;387;76;1;13;1;20;1;42;5;0;0;159;1;
326;Saint-Henri-Sainte-Anne;2018-10-01;G;Montréal, v;106;;140;401;65;11;22;0;29;4;60;3;1;0;195;4;
326;Saint-Henri-Sainte-Anne;2018-10-01;G;Montréal, v;106;;141;381;45;7;15;0;15;0;44;8;1;1;136;1;
326;Saint-Henri-Sainte-Anne;2018-10-01;G;Montréal, v;106;;142;399;75;11;23;1;25;1;40;4;0;0;180;2;
326;Saint-Henri-Sainte-Anne;2018-10-01;G;Montréal, v;106;;143;381;42;5;19;1;17;4;47;8;0;0;143;4;
326;Saint-Henri-Sainte-Anne;2018-10-01;G;Montréal, v;106;;144;394;69;8;17;2;19;1;53;4;1;0;174;3;
326;Saint-Henri-Sainte-Anne;2018-10-01;G;Montréal, v;106;;145;404;73;13;17;0;14;4;57;4;1;0;183;1;
326;Saint-Henri-Sainte-Anne;2018-10-01;G;Montréal, v;106;;146;407;60;10;13;1;13;2;49;7;0;0;155;1;
326;Saint-Henri-Sainte-Anne;2018-10-01;G;Montréal, v;86;Regr. BVO-1;500;128;0;0;0;0;0;0;0;0;0;0;0;0;
326;Saint-Henri-Sainte-Anne;2018-10-01;G;Montréal, v;97;Regr. BVO-61;501;145;0;0;0;0;0;0;0;0;0;0;0;0;
326;Saint-Henri-Sainte-Anne;2018-10-01;G;Montréal, v;97;Regr. BVO-62;502;79;0;0;0;0;0;0;0;0;0;0;0;0;
