Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Beaudry Louise Q.S.;Bourdon Rémi C.P.Q.;Magnan Robert P.L.Q./Q.L.P.;Proulx Caroline C.A.Q.-É.F.L.;St-Jean Jérôme P.V.Q./G.P.Q.;Villeneuve André P.Q.;B.V.;B.R.
566;Berthier;2018-10-01;G;Saint-Damien, p;1;;135;349;42;0;15;72;2;62;193;2
566;Berthier;2018-10-01;G;Saint-Damien, p;1;;136;367;40;4;14;54;3;42;157;2
566;Berthier;2018-10-01;G;Saint-Damien, p;1;;137;352;43;1;14;82;7;50;197;11
566;Berthier;2018-10-01;G;Saint-Damien, p;1;;138;347;20;3;19;62;2;51;157;1
566;Berthier;2018-10-01;G;Saint-Damien, p;1;;139;340;25;1;14;73;0;42;155;2
566;Berthier;2018-10-01;G;Sainte-Émélie-de-l'Énergie, m;1;;140;355;40;4;13;76;2;51;186;3
566;Berthier;2018-10-01;G;Sainte-Émélie-de-l'Énergie, m;1;;141;355;51;3;23;68;4;66;215;0
566;Berthier;2018-10-01;G;Sainte-Émélie-de-l'Énergie, m;1;;142;357;40;8;17;98;3;57;223;5
566;Berthier;2018-10-01;G;Sainte-Émélie-de-l'Énergie, m;1;;143;358;32;2;10;95;2;50;191;9
566;Berthier;2018-10-01;G;Saint-Zénon, m;1;;144;341;26;3;27;96;3;29;184;2
566;Berthier;2018-10-01;G;Saint-Zénon, m;1;;145;330;28;4;27;104;3;44;210;2
566;Berthier;2018-10-01;G;Saint-Zénon, m;1;;146;333;32;1;21;78;2;41;175;5
566;Berthier;2018-10-01;G;Saint-Michel-des-Saints, m;1;;147;385;16;0;16;81;4;53;170;3
566;Berthier;2018-10-01;G;Saint-Michel-des-Saints, m;1;;148;398;22;2;15;75;4;53;171;2
566;Berthier;2018-10-01;G;Saint-Michel-des-Saints, m;1;;149;374;19;1;11;89;3;51;174;8
566;Berthier;2018-10-01;G;Saint-Michel-des-Saints, m;1;;150;378;20;1;16;86;5;53;181;3
566;Berthier;2018-10-01;G;Saint-Michel-des-Saints, m;1;;151;375;23;2;19;61;5;54;164;5
566;Berthier;2018-10-01;G;Saint-Guillaume-Nord, no;1;;152;62;7;1;1;18;3;10;40;0
566;Berthier;2018-10-01;G;Saint-Guillaume-Nord, no;1;Regr. BVO-106;153;11;0;0;0;0;0;0;0;0
566;Berthier;2018-10-01;G;Manawan, r;1;;154;1223;39;1;13;14;1;18;86;0
