Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Benoit Jeff P.C.Q./C.P.Q.;Chassé Marie-Chantal C.A.Q.-É.F.L.;Garcia-McDiarmid Sandrine Q.S.;Masucci-Lauzon Marie-Ève N.P.D.Q.;Moreau Pierre P.L.Q./Q.L.P.;Stevenson Stephanie P.V.Q./G.P.Q.;Thériault Jean-Philippe P.Q.;B.V.;B.R.
226;Châteauguay;2018-10-01;G;Châteauguay, v;4;;28;388;8;70;9;2;111;4;10;214;0
226;Châteauguay;2018-10-01;G;Châteauguay, v;4;;29;380;1;68;26;0;69;3;30;197;6
226;Châteauguay;2018-10-01;G;Châteauguay, v;4;;30;377;3;67;15;0;80;5;11;181;2
226;Châteauguay;2018-10-01;G;Châteauguay, v;4;;31;378;4;56;15;3;93;1;13;185;4
226;Châteauguay;2018-10-01;G;Châteauguay, v;4;;32;376;3;54;17;1;100;5;20;200;4
226;Châteauguay;2018-10-01;G;Châteauguay, v;5;;33;378;4;35;25;1;85;2;18;170;2
226;Châteauguay;2018-10-01;G;Châteauguay, v;5;;34;354;2;49;10;2;100;6;9;178;5
226;Châteauguay;2018-10-01;G;Châteauguay, v;5;;35;373;4;58;23;4;76;1;17;183;5
226;Châteauguay;2018-10-01;G;Châteauguay, v;5;;36;366;4;52;17;0;72;3;13;161;3
226;Châteauguay;2018-10-01;G;Châteauguay, v;5;;37;367;2;55;18;1;51;3;12;142;6
226;Châteauguay;2018-10-01;G;Châteauguay, v;5;;38;362;3;48;13;2;75;3;16;160;6
226;Châteauguay;2018-10-01;G;Châteauguay, v;5;;39;377;1;75;20;5;68;2;16;187;3
226;Châteauguay;2018-10-01;G;Châteauguay, v;5;;40;368;11;51;20;0;82;4;14;182;2
226;Châteauguay;2018-10-01;G;Châteauguay, v;5;;41;363;2;58;17;0;70;5;36;188;4
226;Châteauguay;2018-10-01;G;Châteauguay, v;5;;42;372;0;70;36;0;58;4;30;198;4
226;Châteauguay;2018-10-01;G;Châteauguay, v;6;;43;374;3;66;28;4;31;4;15;151;2
226;Châteauguay;2018-10-01;G;Châteauguay, v;6;;44;358;2;80;28;2;39;7;20;178;3
226;Châteauguay;2018-10-01;G;Châteauguay, v;6;;45;366;4;37;14;1;77;6;7;146;5
226;Châteauguay;2018-10-01;G;Châteauguay, v;6;;46;373;3;46;26;2;75;5;15;172;3
226;Châteauguay;2018-10-01;G;Châteauguay, v;6;;47;375;2;47;21;0;110;8;11;199;1
226;Châteauguay;2018-10-01;G;Châteauguay, v;6;;48;361;8;57;29;3;111;5;12;225;3
226;Châteauguay;2018-10-01;G;Châteauguay, v;6;;49;356;6;38;18;1;109;1;16;189;2
226;Châteauguay;2018-10-01;G;Châteauguay, v;6;;50;351;3;45;23;0;44;6;16;137;4
226;Châteauguay;2018-10-01;G;Châteauguay, v;7;;51;396;1;54;21;5;66;3;13;163;0
226;Châteauguay;2018-10-01;G;Châteauguay, v;7;;52A;222;1;30;7;0;41;4;5;88;1
226;Châteauguay;2018-10-01;G;Châteauguay, v;7;;52B;224;4;13;10;2;63;0;10;102;2
226;Châteauguay;2018-10-01;G;Châteauguay, v;7;;53;410;3;36;22;1;127;5;22;216;4
226;Châteauguay;2018-10-01;G;Châteauguay, v;7;;54;398;3;50;16;2;95;6;21;193;1
226;Châteauguay;2018-10-01;G;Châteauguay, v;7;;55;390;5;64;25;5;97;4;13;213;1
226;Châteauguay;2018-10-01;G;Châteauguay, v;7;;56;403;2;28;19;4;109;5;15;182;4
226;Châteauguay;2018-10-01;G;Châteauguay, v;7;;57;400;2;51;30;0;94;6;26;209;3
226;Châteauguay;2018-10-01;G;Châteauguay, v;8;;58;376;6;59;26;2;44;8;34;179;0
226;Châteauguay;2018-10-01;G;Châteauguay, v;8;;59;376;3;68;30;2;55;7;27;192;6
226;Châteauguay;2018-10-01;G;Châteauguay, v;8;;60;372;4;83;26;5;36;9;25;188;4
226;Châteauguay;2018-10-01;G;Châteauguay, v;8;;61;372;3;40;15;0;115;6;12;191;0
226;Châteauguay;2018-10-01;G;Châteauguay, v;8;;62;380;1;60;29;1;90;8;24;213;5
226;Châteauguay;2018-10-01;G;Châteauguay, v;8;;63;380;1;53;17;1;86;3;16;177;4
226;Châteauguay;2018-10-01;G;Châteauguay, v;8;;64;380;3;70;21;3;101;3;26;227;2
226;Châteauguay;2018-10-01;G;Châteauguay, v;8;;65;385;3;67;17;3;94;5;12;201;1
226;Châteauguay;2018-10-01;G;Châteauguay, v;9;;66;405;7;67;21;2;100;8;20;225;2
226;Châteauguay;2018-10-01;G;Châteauguay, v;9;;67;405;9;36;23;1;88;5;9;171;2
226;Châteauguay;2018-10-01;G;Châteauguay, v;9;;68;414;3;47;23;1;80;2;27;183;4
