Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;B-Godbout Anne Q.S.;Dubois Carole P.V.Q./G.P.Q.;Fitzgibbon Pierre C.A.Q.-É.F.L.;Goyette Mathieu C.P.Q.;Néron Jules P.C.Q./C.P.Q.;Selam Margaux P.L.Q./Q.L.P.;Traversy Mathieu P.Q.;B.V.;B.R.;
542;Terrebonne;2018-10-01;G;Terrebonne, v;12;;87;367;27;3;91;1;2;19;74;217;1;
542;Terrebonne;2018-10-01;G;Terrebonne, v;12;;88;372;36;3;69;1;0;20;83;212;2;
542;Terrebonne;2018-10-01;G;Terrebonne, v;13;;89;383;33;3;75;2;0;19;86;218;4;
542;Terrebonne;2018-10-01;G;Terrebonne, v;13;;90;395;25;3;85;3;0;25;80;221;2;
542;Terrebonne;2018-10-01;G;Terrebonne, v;13;;91;389;24;3;75;0;2;25;67;196;3;
542;Terrebonne;2018-10-01;G;Terrebonne, v;13;;92;370;28;2;53;2;2;15;52;154;4;
542;Terrebonne;2018-10-01;G;Terrebonne, v;13;;93;413;17;6;73;1;1;18;75;191;2;
542;Terrebonne;2018-10-01;G;Terrebonne, v;13;;94;405;43;2;72;1;2;23;62;205;6;
542;Terrebonne;2018-10-01;G;Terrebonne, v;13;;95;400;34;2;66;2;1;22;81;208;1;
542;Terrebonne;2018-10-01;G;Terrebonne, v;14;;96;350;22;3;70;0;3;5;50;153;6;
542;Terrebonne;2018-10-01;G;Terrebonne, v;14;;97;344;18;2;80;2;1;20;52;175;0;
542;Terrebonne;2018-10-01;G;Terrebonne, v;14;;98;349;25;0;62;0;1;16;41;145;4;
542;Terrebonne;2018-10-01;G;Terrebonne, v;14;;99;361;20;0;76;2;1;17;57;173;6;
542;Terrebonne;2018-10-01;G;Terrebonne, v;14;;100;343;24;1;58;1;0;13;38;135;6;
542;Terrebonne;2018-10-01;G;Terrebonne, v;14;;101;360;24;2;61;2;2;15;67;173;2;
542;Terrebonne;2018-10-01;G;Terrebonne, v;14;;102;291;28;0;44;3;0;14;45;134;3;
