Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Bachand André C.A.Q.-É.F.L.;Brousseau Karl P.C.Q./C.P.Q.;Gendron Déitane C.P.Q.;Godbout Annie P.L.Q./Q.L.P.;La Madeleine Yves P.V.Q./G.P.Q.;Landry Colombe Q.S.;Vigneault Véronique P.Q.;B.V.;B.R.;
132;Richmond;2018-10-01;G;Saint-Denis-de-Brompton, m;1;;62;345;60;3;2;37;0;51;53;206;7;
132;Richmond;2018-10-01;G;Saint-Denis-de-Brompton, m;1;;63;354;88;2;1;40;5;46;35;217;4;
132;Richmond;2018-10-01;G;Saint-Denis-de-Brompton, m;1;;64;358;87;0;1;40;2;45;50;225;3;
132;Richmond;2018-10-01;G;Saint-Denis-de-Brompton, m;1;;65;348;93;2;1;30;2;55;48;231;4;
132;Richmond;2018-10-01;G;Saint-Denis-de-Brompton, m;1;;66;378;107;8;3;23;1;50;31;223;5;
132;Richmond;2018-10-01;G;Saint-Denis-de-Brompton, m;1;;67;365;99;2;5;36;2;54;36;234;7;
132;Richmond;2018-10-01;G;Saint-Denis-de-Brompton, m;1;;68;367;72;8;2;42;6;40;43;213;4;
132;Richmond;2018-10-01;G;Saint-Denis-de-Brompton, m;1;;69;361;81;4;3;26;6;41;45;206;7;
132;Richmond;2018-10-01;G;Sherbrooke, v;1;;70;347;95;1;0;34;2;51;31;214;3;
132;Richmond;2018-10-01;G;Sherbrooke, v;1;;71;372;88;4;0;32;3;46;39;212;7;
132;Richmond;2018-10-01;G;Sherbrooke, v;1;;72;375;71;4;1;28;2;36;49;191;1;
132;Richmond;2018-10-01;G;Sherbrooke, v;1;;73;354;80;4;0;27;1;52;32;196;1;
132;Richmond;2018-10-01;G;Sherbrooke, v;1;;74;350;78;4;1;32;2;41;35;193;2;
132;Richmond;2018-10-01;G;Sherbrooke, v;1;;75;373;84;2;1;22;4;52;33;198;2;
132;Richmond;2018-10-01;G;Sherbrooke, v;1;;76;357;66;4;3;40;3;31;34;181;3;
132;Richmond;2018-10-01;G;Sherbrooke, v;1;;77;367;68;3;3;32;4;36;35;181;2;
132;Richmond;2018-10-01;G;Sherbrooke, v;1;;78;363;100;2;0;39;1;27;24;193;6;
132;Richmond;2018-10-01;G;Sherbrooke, v;1;;79;370;74;1;4;30;6;40;35;190;3;
132;Richmond;2018-10-01;G;Sherbrooke, v;1;;80;354;69;2;2;25;3;36;37;174;5;
132;Richmond;2018-10-01;G;Sherbrooke, v;2;;81;387;78;6;0;26;4;48;41;203;5;
132;Richmond;2018-10-01;G;Sherbrooke, v;2;;82;256;50;2;0;17;1;23;26;119;1;
132;Richmond;2018-10-01;G;Sherbrooke, v;2;;83;393;69;6;3;33;3;35;40;189;2;
132;Richmond;2018-10-01;G;Sherbrooke, v;2;;84;397;79;2;2;24;2;51;25;185;7;
132;Richmond;2018-10-01;G;Sherbrooke, v;2;;85;390;78;6;3;31;3;53;40;214;4;
132;Richmond;2018-10-01;G;Sherbrooke, v;2;;86;385;74;6;0;29;1;36;32;178;5;
132;Richmond;2018-10-01;G;Sherbrooke, v;2;;87;391;81;5;1;34;5;34;45;205;1;
132;Richmond;2018-10-01;G;Sherbrooke, v;2;;88;400;87;5;2;45;5;58;37;239;8;
132;Richmond;2018-10-01;G;Sherbrooke, v;2;;89;394;103;6;4;35;7;37;32;224;3;
132;Richmond;2018-10-01;G;Sherbrooke, v;2;;90;392;65;11;3;44;5;46;49;223;1;
132;Richmond;2018-10-01;G;Sherbrooke, v;3;;91;370;66;6;1;28;3;35;50;189;1;
132;Richmond;2018-10-01;G;Sherbrooke, v;3;;92;389;88;6;2;29;7;32;31;195;4;
132;Richmond;2018-10-01;G;Sherbrooke, v;3;;93;401;79;4;1;58;5;30;45;222;2;
132;Richmond;2018-10-01;G;Sherbrooke, v;3;;94;387;81;0;4;44;1;29;25;184;5;
132;Richmond;2018-10-01;G;Sherbrooke, v;3;;95;377;83;3;1;26;2;43;33;191;3;
132;Richmond;2018-10-01;G;Sherbrooke, v;3;;96;351;61;3;5;22;8;40;33;172;5;
132;Richmond;2018-10-01;G;Sherbrooke, v;3;;97;400;80;1;3;34;5;45;37;205;6;
132;Richmond;2018-10-01;G;Sherbrooke, v;3;;98;405;83;2;1;46;1;47;41;221;1;
132;Richmond;2018-10-01;G;Sherbrooke, v;4;;99;378;54;1;0;55;7;31;40;188;1;
132;Richmond;2018-10-01;G;Sherbrooke, v;4;;100;397;70;0;4;29;1;44;29;177;1;
132;Richmond;2018-10-01;G;Sherbrooke, v;4;;101;381;69;5;2;25;10;48;45;204;6;
132;Richmond;2018-10-01;G;Sherbrooke, v;4;;102;390;79;1;0;31;13;51;47;222;1;
132;Richmond;2018-10-01;G;Sherbrooke, v;4;;103;384;77;3;1;33;3;40;41;198;2;
132;Richmond;2018-10-01;G;Sherbrooke, v;4;;104;399;66;0;3;40;4;44;33;190;2;
132;Richmond;2018-10-01;G;Sherbrooke, v;4;;105;368;70;0;5;30;3;30;42;180;5;
132;Richmond;2018-10-01;G;Sherbrooke, v;4;;106A;214;52;1;2;29;1;15;19;119;2;
132;Richmond;2018-10-01;G;Sherbrooke, v;4;;106B;215;42;3;2;25;2;25;16;115;2;
132;Richmond;2018-10-01;G;Sherbrooke, v;4;;107;391;78;2;3;38;5;46;46;218;3;
132;Richmond;2018-10-01;G;Sherbrooke, v;4;;108;378;89;0;2;50;2;48;29;220;5;
132;Richmond;2018-10-01;G;Sherbrooke, v;4;;109;389;66;1;0;34;4;46;56;207;2;
132;Richmond;2018-10-01;G;Sherbrooke, v;4;;110;385;97;3;0;34;5;51;38;228;8;
132;Richmond;2018-10-01;G;Sherbrooke, v;4;;111;379;82;1;0;44;7;29;40;203;3;
132;Richmond;2018-10-01;G;Sherbrooke, v;4;;112;399;87;3;0;28;2;41;33;194;8;
132;Richmond;2018-10-01;G;Sherbrooke, v;5;;113;389;92;7;0;30;4;47;21;201;7;
132;Richmond;2018-10-01;G;Sherbrooke, v;5;;114;390;82;1;1;39;1;50;25;199;11;
132;Richmond;2018-10-01;G;Sherbrooke, v;5;;115;403;73;0;4;26;4;45;24;176;4;
132;Richmond;2018-10-01;G;Sherbrooke, v;5;;116;393;73;6;0;39;0;68;29;215;6;
132;Richmond;2018-10-01;G;Sherbrooke, v;5;;117;391;79;3;2;49;4;51;46;234;1;
132;Richmond;2018-10-01;G;Sherbrooke, v;5;;118;378;66;4;0;32;4;54;44;204;2;
132;Richmond;2018-10-01;G;Sherbrooke, v;5;;119;396;70;3;4;54;4;48;27;210;3;
132;Richmond;2018-10-01;G;Sherbrooke, v;5;;120;387;86;1;0;47;4;41;52;231;1;
132;Richmond;2018-10-01;G;Sherbrooke, v;5;;121;414;71;2;2;54;4;64;42;239;5;
132;Richmond;2018-10-01;G;Sherbrooke, v;5;;122;409;103;1;2;67;3;40;47;263;5;
132;Richmond;2018-10-01;G;Sherbrooke, v;5;;123;387;92;6;2;41;4;50;40;235;3;
132;Richmond;2018-10-01;G;Sherbrooke, v;5;;124;399;91;2;1;59;1;41;52;247;3;
132;Richmond;2018-10-01;G;Sherbrooke, v;5;;125;392;68;1;2;35;3;55;25;189;3;
132;Richmond;2018-10-01;G;Sherbrooke, v;5;;126;419;65;4;2;19;2;66;30;188;3;
132;Richmond;2018-10-01;G;Sherbrooke, v;6;;127;374;88;2;2;41;0;56;28;217;2;
132;Richmond;2018-10-01;G;Sherbrooke, v;6;;128;395;82;2;0;69;3;60;39;255;1;
132;Richmond;2018-10-01;G;Sherbrooke, v;6;;129;382;77;0;2;40;5;65;35;224;7;
132;Richmond;2018-10-01;G;Sherbrooke, v;6;;130;382;73;0;3;24;2;70;32;204;7;
132;Richmond;2018-10-01;G;Sherbrooke, v;6;;131;376;78;2;0;56;3;42;53;234;3;
132;Richmond;2018-10-01;G;Sherbrooke, v;6;;132;383;83;2;0;33;2;50;40;210;2;
132;Richmond;2018-10-01;G;Sherbrooke, v;6;;133;385;80;2;2;50;2;51;52;239;3;
132;Richmond;2018-10-01;G;Sherbrooke, v;6;;134;338;57;5;2;22;3;60;33;182;4;
132;Richmond;2018-10-01;G;Sherbrooke, v;6;;135;360;86;0;1;40;2;38;27;194;0;
132;Richmond;2018-10-01;G;Sherbrooke, v;6;;136;380;82;1;1;33;1;65;36;219;1;
132;Richmond;2018-10-01;G;Sherbrooke, v;6;;137;365;51;0;0;41;6;45;30;173;3;
132;Richmond;2018-10-01;G;Sherbrooke, v;6;;138;382;63;5;1;41;4;32;32;178;4;
132;Richmond;2018-10-01;G;Sherbrooke, v;6;;139;373;52;3;3;13;4;24;19;118;4;
132;Richmond;2018-10-01;G;Sherbrooke, v;6;;140;382;66;4;2;28;6;47;22;175;2;
132;Richmond;2018-10-01;G;Sherbrooke, v;6;;141;378;70;1;2;44;2;46;40;205;3;
132;Richmond;2018-10-01;G;Sherbrooke, v;6;;142;391;67;4;2;39;2;57;15;186;7;
132;Richmond;2018-10-01;G;Sherbrooke, v;6;;143A;211;45;1;2;22;2;23;30;125;0;
132;Richmond;2018-10-01;G;Sherbrooke, v;6;;143B;218;51;0;0;14;0;26;24;115;3;
132;Richmond;2018-10-01;G;Saint-François-Xavier-de-Brompton, m;1;;144;351;94;5;5;20;8;44;39;215;3;
132;Richmond;2018-10-01;G;Saint-François-Xavier-de-Brompton, m;1;;145;359;86;2;0;37;3;31;49;208;2;
132;Richmond;2018-10-01;G;Saint-François-Xavier-de-Brompton, m;1;;146;365;79;4;0;20;6;45;57;211;4;
132;Richmond;2018-10-01;G;Saint-François-Xavier-de-Brompton, m;1;;147;365;97;2;2;22;1;36;42;202;8;
132;Richmond;2018-10-01;G;Saint-François-Xavier-de-Brompton, m;1;;148;380;105;1;2;26;12;38;41;225;3;
132;Richmond;2018-10-01;G;Val-Joli, m;1;;149;324;71;0;3;24;2;30;41;171;4;
132;Richmond;2018-10-01;G;Val-Joli, m;1;;150;324;63;4;2;28;4;41;25;167;0;
132;Richmond;2018-10-01;G;Val-Joli, m;1;;151;327;82;3;3;15;3;23;38;167;2;
132;Richmond;2018-10-01;G;Val-Joli, m;1;;152;322;71;5;2;35;4;29;23;169;3;
132;Richmond;2018-10-01;G;Windsor, v;1;;153;375;78;6;1;25;3;41;48;202;0;
132;Richmond;2018-10-01;G;Windsor, v;1;;154;345;53;0;1;25;4;38;31;152;6;
132;Richmond;2018-10-01;G;Windsor, v;1;;155;361;58;2;0;36;5;41;56;198;1;
132;Richmond;2018-10-01;G;Windsor, v;1;;156;362;86;4;2;27;5;39;53;216;2;
132;Richmond;2018-10-01;G;Windsor, v;1;;157;353;57;2;0;33;5;44;32;173;4;
132;Richmond;2018-10-01;G;Windsor, v;1;;158;350;51;1;1;21;3;29;35;141;6;
132;Richmond;2018-10-01;G;Windsor, v;1;;159;360;46;2;1;12;9;40;38;148;2;
132;Richmond;2018-10-01;G;Windsor, v;1;;160;370;59;5;3;20;2;25;55;169;2;
132;Richmond;2018-10-01;G;Windsor, v;1;;161;358;81;1;3;19;5;32;50;191;1;
132;Richmond;2018-10-01;G;Windsor, v;1;;162;361;75;2;1;26;11;25;42;182;7;
132;Richmond;2018-10-01;G;Windsor, v;1;;163;350;66;4;2;31;3;22;31;159;2;
