Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Dostie Pierre Q.S.;Gagnon Léonard P.C.Q./C.P.Q.;Jean Mireille P.Q.;Laforest Andrée C.A.Q.-É.F.L.;Morency Marie-Josée P.L.Q./Q.L.P.;Philippe Tommy P.V.Q./G.P.Q.;B.V.;B.R.
918;Chicoutimi;2018-10-01;G;Saguenay, v;33;;50;397;20;2;33;87;35;0;177;3
918;Chicoutimi;2018-10-01;G;Saguenay, v;34;;51;397;30;7;52;82;25;7;203;3
918;Chicoutimi;2018-10-01;G;Saguenay, v;34;;52;398;22;2;59;95;37;4;219;2
918;Chicoutimi;2018-10-01;G;Saguenay, v;34;;53;377;19;5;56;83;32;6;201;0
918;Chicoutimi;2018-10-01;G;Saguenay, v;34;;54;410;26;2;38;89;28;1;184;5
918;Chicoutimi;2018-10-01;G;Saguenay, v;34;;55A;202;10;4;18;59;28;0;119;1
918;Chicoutimi;2018-10-01;G;Saguenay, v;34;;55B;234;12;1;22;57;30;0;122;1
918;Chicoutimi;2018-10-01;G;Saguenay, v;34;;56;373;40;4;61;75;39;1;220;10
918;Chicoutimi;2018-10-01;G;Saguenay, v;34;;57;381;25;1;62;84;26;1;199;3
918;Chicoutimi;2018-10-01;G;Saguenay, v;34;;58;388;29;1;48;112;49;4;243;7
918;Chicoutimi;2018-10-01;G;Saguenay, v;34;;59;388;22;3;60;99;45;2;231;6
918;Chicoutimi;2018-10-01;G;Saguenay, v;35;;60;407;23;2;70;97;29;1;222;3
918;Chicoutimi;2018-10-01;G;Saguenay, v;35;;61;397;25;1;48;106;43;5;228;1
918;Chicoutimi;2018-10-01;G;Saguenay, v;35;;62;405;43;1;52;99;42;1;238;4
918;Chicoutimi;2018-10-01;G;Saguenay, v;35;;63;402;18;4;43;101;32;6;204;1
918;Chicoutimi;2018-10-01;G;Saguenay, v;35;;64;415;35;0;56;83;50;6;230;2
918;Chicoutimi;2018-10-01;G;Saguenay, v;35;;65;398;32;0;43;63;31;7;176;6
918;Chicoutimi;2018-10-01;G;Saguenay, v;35;;66;366;37;3;22;52;17;5;136;6
918;Chicoutimi;2018-10-01;G;Saguenay, v;35;;67;378;27;2;48;72;25;3;177;5
918;Chicoutimi;2018-10-01;G;Saguenay, v;36;;68;380;26;2;41;62;28;5;164;4
918;Chicoutimi;2018-10-01;G;Saguenay, v;36;;69;396;20;2;48;67;34;4;175;4
918;Chicoutimi;2018-10-01;G;Saguenay, v;36;;70;379;26;2;54;71;32;7;192;1
918;Chicoutimi;2018-10-01;G;Saguenay, v;36;;71;370;25;1;55;82;60;2;225;3
918;Chicoutimi;2018-10-01;G;Saguenay, v;36;;72;372;25;1;45;107;51;3;232;1
918;Chicoutimi;2018-10-01;G;Saguenay, v;36;;73;377;14;1;41;92;82;9;239;7
918;Chicoutimi;2018-10-01;G;Saguenay, v;36;;74;378;30;2;44;87;67;0;230;1
918;Chicoutimi;2018-10-01;G;Saguenay, v;37;;75A;225;18;1;23;29;18;5;94;2
918;Chicoutimi;2018-10-01;G;Saguenay, v;37;;75B;204;7;2;14;35;23;3;84;2
918;Chicoutimi;2018-10-01;G;Saguenay, v;37;;76;380;26;4;43;89;68;4;234;3
918;Chicoutimi;2018-10-01;G;Saguenay, v;37;;77;390;13;0;34;71;59;0;177;2
918;Chicoutimi;2018-10-01;G;Saguenay, v;37;;78;425;18;2;55;79;46;1;201;3
918;Chicoutimi;2018-10-01;G;Saguenay, v;37;;79A;198;11;1;31;48;28;2;121;2
918;Chicoutimi;2018-10-01;G;Saguenay, v;37;;79B;229;7;1;25;40;22;1;96;1
918;Chicoutimi;2018-10-01;G;Saguenay, v;37;;80;387;26;1;41;97;46;7;218;7
918;Chicoutimi;2018-10-01;G;Saguenay, v;37;;81;406;24;1;63;93;58;2;241;1
918;Chicoutimi;2018-10-01;G;Saguenay, v;37;;82;406;18;1;43;51;43;3;159;8
918;Chicoutimi;2018-10-01;G;Saguenay, v;37;;83;393;16;4;46;75;28;7;176;2
918;Chicoutimi;2018-10-01;G;Saguenay, v;37;;84;405;25;1;64;80;36;1;207;1
918;Chicoutimi;2018-10-01;G;Saguenay, v;37;;85;399;10;2;37;61;51;0;161;0
918;Chicoutimi;2018-10-01;G;Saguenay, v;37;;86;408;30;3;55;57;52;0;197;4
918;Chicoutimi;2018-10-01;G;Saguenay, v;37;;87;398;25;0;57;87;43;3;215;4
918;Chicoutimi;2018-10-01;G;Saguenay, v;37;;88;384;44;4;45;64;21;0;178;2
918;Chicoutimi;2018-10-01;G;Saguenay, v;37;;89;388;22;2;64;69;39;3;199;2
918;Chicoutimi;2018-10-01;G;Saguenay, v;38;;90;354;44;2;35;33;18;5;137;2
918;Chicoutimi;2018-10-01;G;Saguenay, v;38;;91;358;39;1;49;63;38;6;196;3
918;Chicoutimi;2018-10-01;G;Saguenay, v;38;;92;384;39;4;55;72;32;7;209;3
918;Chicoutimi;2018-10-01;G;Saguenay, v;38;;93;359;35;0;56;62;59;2;214;3
918;Chicoutimi;2018-10-01;G;Saguenay, v;38;;94;390;24;2;41;88;44;5;204;5
918;Chicoutimi;2018-10-01;G;Saguenay, v;38;;95;377;38;0;42;47;45;1;173;0
918;Chicoutimi;2018-10-01;G;Saguenay, v;39;;96;329;23;3;28;23;39;4;120;2
918;Chicoutimi;2018-10-01;G;Saguenay, v;39;;97;368;16;1;20;34;29;2;102;1
918;Chicoutimi;2018-10-01;G;Saguenay, v;39;;98;336;34;3;45;29;28;3;142;2
918;Chicoutimi;2018-10-01;G;Saguenay, v;39;;99;348;40;2;50;29;7;2;130;0
918;Chicoutimi;2018-10-01;G;Saguenay, v;39;;100;347;30;4;36;52;28;4;154;4
918;Chicoutimi;2018-10-01;G;Saguenay, v;39;;101;335;39;1;29;36;15;4;124;3
918;Chicoutimi;2018-10-01;G;Saguenay, v;39;;102;351;25;2;36;46;13;2;124;3
918;Chicoutimi;2018-10-01;G;Saguenay, v;40;;103;388;24;0;38;26;24;4;116;0
918;Chicoutimi;2018-10-01;G;Saguenay, v;40;;104;377;27;4;41;69;17;4;162;6
918;Chicoutimi;2018-10-01;G;Saguenay, v;40;;105;388;26;3;50;77;25;3;184;9
918;Chicoutimi;2018-10-01;G;Saguenay, v;40;;106;370;25;7;47;108;43;4;234;5
918;Chicoutimi;2018-10-01;G;Saguenay, v;40;;107;377;38;2;55;83;33;4;215;6
