Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Campeau Yannick P.C.Q./C.P.Q.;Mantion François N.P.D.Q.;Mathieu Tommy C.P.Q.;Reid Claude C.A.Q.-É.F.L.;Rhéaume Félix P.L.Q./Q.L.P.;St-Onge Pierre-Paul Q.S.;Théorêt Mireille P.Q.;B.V.;B.R.
218;Beauharnois;2018-10-01;G;Salaberry-de-Valleyfield, v;6;;29A;235;0;0;6;54;20;18;17;115;0
218;Beauharnois;2018-10-01;G;Salaberry-de-Valleyfield, v;6;;29B;237;1;0;1;54;28;8;19;111;1
218;Beauharnois;2018-10-01;G;Salaberry-de-Valleyfield, v;6;;30;359;1;1;3;72;15;23;42;157;3
218;Beauharnois;2018-10-01;G;Salaberry-de-Valleyfield, v;6;;31;359;0;3;1;64;26;26;48;168;7
218;Beauharnois;2018-10-01;G;Salaberry-de-Valleyfield, v;6;;32;345;5;6;3;68;14;36;33;165;3
218;Beauharnois;2018-10-01;G;Salaberry-de-Valleyfield, v;7;;33;366;6;1;5;97;10;32;45;196;3
218;Beauharnois;2018-10-01;G;Salaberry-de-Valleyfield, v;7;;34;398;0;2;5;68;32;29;32;168;12
218;Beauharnois;2018-10-01;G;Salaberry-de-Valleyfield, v;7;;35;391;4;4;10;77;16;30;34;175;4
218;Beauharnois;2018-10-01;G;Salaberry-de-Valleyfield, v;7;;36;402;2;4;4;76;18;33;42;179;2
218;Beauharnois;2018-10-01;G;Salaberry-de-Valleyfield, v;7;;37;370;1;4;5;53;17;26;29;135;1
218;Beauharnois;2018-10-01;G;Salaberry-de-Valleyfield, v;7;;38;370;0;1;3;40;17;27;22;110;4
218;Beauharnois;2018-10-01;G;Salaberry-de-Valleyfield, v;7;;39;366;0;1;2;43;24;30;22;122;4
218;Beauharnois;2018-10-01;G;Salaberry-de-Valleyfield, v;8;;40;404;2;4;3;50;13;24;27;123;0
218;Beauharnois;2018-10-01;G;Salaberry-de-Valleyfield, v;8;;41;400;0;5;1;44;20;30;41;141;1
218;Beauharnois;2018-10-01;G;Salaberry-de-Valleyfield, v;8;;42;379;0;3;1;54;11;43;36;148;5
218;Beauharnois;2018-10-01;G;Salaberry-de-Valleyfield, v;8;;43;419;0;7;1;75;8;38;35;164;6
218;Beauharnois;2018-10-01;G;Salaberry-de-Valleyfield, v;8;;44;398;0;3;1;57;16;21;28;126;1
218;Beauharnois;2018-10-01;G;Salaberry-de-Valleyfield, v;9;;45;391;0;5;2;70;26;12;28;143;6
218;Beauharnois;2018-10-01;G;Salaberry-de-Valleyfield, v;9;;46;397;0;3;2;110;15;25;43;198;4
218;Beauharnois;2018-10-01;G;Salaberry-de-Valleyfield, v;9;;47;388;0;2;1;90;32;27;40;192;6
218;Beauharnois;2018-10-01;G;Salaberry-de-Valleyfield, v;9;;48;399;3;1;0;93;46;31;41;215;5
218;Beauharnois;2018-10-01;G;Salaberry-de-Valleyfield, v;9;;49;406;0;1;2;110;31;38;51;233;2
218;Beauharnois;2018-10-01;G;Salaberry-de-Valleyfield, v;9;;50;353;3;1;2;82;24;33;47;192;4
218;Beauharnois;2018-10-01;G;Salaberry-de-Valleyfield, v;9;;51;352;1;4;0;87;27;26;59;204;1
218;Beauharnois;2018-10-01;G;Salaberry-de-Valleyfield, v;9;;52;387;2;1;1;84;13;36;42;179;1
218;Beauharnois;2018-10-01;G;Salaberry-de-Valleyfield, v;9;;53;410;3;1;2;82;25;57;41;211;1
218;Beauharnois;2018-10-01;G;Salaberry-de-Valleyfield, v;10;;54;377;5;2;5;83;26;30;42;193;7
218;Beauharnois;2018-10-01;G;Salaberry-de-Valleyfield, v;10;;55;365;0;0;2;71;17;36;47;173;1
218;Beauharnois;2018-10-01;G;Salaberry-de-Valleyfield, v;10;;56;395;1;4;3;54;23;18;31;134;0
218;Beauharnois;2018-10-01;G;Salaberry-de-Valleyfield, v;10;;57;391;4;2;3;62;14;26;34;145;4
218;Beauharnois;2018-10-01;G;Salaberry-de-Valleyfield, v;10;;58;379;0;2;2;55;17;35;30;141;3
218;Beauharnois;2018-10-01;G;Salaberry-de-Valleyfield, v;11;;59;321;3;5;5;52;16;22;24;127;3
218;Beauharnois;2018-10-01;G;Salaberry-de-Valleyfield, v;11;;60;336;1;1;0;76;29;32;33;172;7
218;Beauharnois;2018-10-01;G;Salaberry-de-Valleyfield, v;11;;61;324;1;1;2;64;10;22;26;126;3
218;Beauharnois;2018-10-01;G;Salaberry-de-Valleyfield, v;11;;62;345;5;3;1;67;13;31;27;147;1
218;Beauharnois;2018-10-01;G;Salaberry-de-Valleyfield, v;11;;63;326;1;2;1;71;18;27;45;165;2
218;Beauharnois;2018-10-01;G;Salaberry-de-Valleyfield, v;12;;64;353;6;2;4;109;21;28;38;208;5
218;Beauharnois;2018-10-01;G;Salaberry-de-Valleyfield, v;12;;65;346;0;3;1;81;23;30;48;186;9
218;Beauharnois;2018-10-01;G;Salaberry-de-Valleyfield, v;12;;66;336;2;2;3;51;17;20;28;123;6
218;Beauharnois;2018-10-01;G;Salaberry-de-Valleyfield, v;12;;67;351;1;3;1;84;8;24;36;157;4
218;Beauharnois;2018-10-01;G;Salaberry-de-Valleyfield, v;12;;68;404;0;3;3;79;16;27;45;173;8
218;Beauharnois;2018-10-01;G;Salaberry-de-Valleyfield, v;12;;69;350;2;1;4;68;22;32;28;157;1
218;Beauharnois;2018-10-01;G;Salaberry-de-Valleyfield, v;13;;70;399;2;1;1;87;9;29;43;172;3
218;Beauharnois;2018-10-01;G;Salaberry-de-Valleyfield, v;13;;71;394;3;6;3;109;15;28;49;213;4
218;Beauharnois;2018-10-01;G;Salaberry-de-Valleyfield, v;13;;72;387;4;1;8;104;12;38;42;209;3
218;Beauharnois;2018-10-01;G;Salaberry-de-Valleyfield, v;13;;73;383;0;0;3;94;23;41;21;182;0
218;Beauharnois;2018-10-01;G;Salaberry-de-Valleyfield, v;13;;74;389;5;2;5;105;17;33;46;213;0
218;Beauharnois;2018-10-01;G;Salaberry-de-Valleyfield, v;13;;75;386;4;6;2;82;22;37;69;222;5
218;Beauharnois;2018-10-01;G;Salaberry-de-Valleyfield, v;13;;76;385;0;2;5;93;22;35;43;200;5
218;Beauharnois;2018-10-01;G;Salaberry-de-Valleyfield, v;13;;77;371;0;3;3;92;23;39;48;208;4
218;Beauharnois;2018-10-01;G;Salaberry-de-Valleyfield, v;13;;78;380;2;7;2;103;26;25;22;187;0
218;Beauharnois;2018-10-01;G;Salaberry-de-Valleyfield, v;13;;79;425;1;1;1;97;27;31;49;207;3
218;Beauharnois;2018-10-01;G;Salaberry-de-Valleyfield, v;14;;80;388;2;0;1;75;19;45;31;173;0
218;Beauharnois;2018-10-01;G;Salaberry-de-Valleyfield, v;14;;81;392;1;2;2;95;22;44;47;213;7
218;Beauharnois;2018-10-01;G;Salaberry-de-Valleyfield, v;14;;82;389;2;2;1;85;19;29;36;174;5
218;Beauharnois;2018-10-01;G;Salaberry-de-Valleyfield, v;14;;83;367;2;3;1;63;20;19;35;143;7
218;Beauharnois;2018-10-01;G;Salaberry-de-Valleyfield, v;14;;84;387;0;3;4;90;18;28;50;193;6
218;Beauharnois;2018-10-01;G;Salaberry-de-Valleyfield, v;14;;85;388;4;1;2;93;25;41;39;205;5
218;Beauharnois;2018-10-01;G;Salaberry-de-Valleyfield, v;14;;86;378;1;3;1;101;21;18;48;193;2
218;Beauharnois;2018-10-01;G;Salaberry-de-Valleyfield, v;14;;87;363;0;8;2;74;24;22;46;176;0
218;Beauharnois;2018-10-01;G;Beauharnois, v;1;;88;353;1;3;7;89;13;39;56;208;6
218;Beauharnois;2018-10-01;G;Beauharnois, v;1;;89;355;0;4;2;85;15;36;45;187;8
218;Beauharnois;2018-10-01;G;Beauharnois, v;1;;90;360;4;1;5;97;21;51;51;230;7
218;Beauharnois;2018-10-01;G;Beauharnois, v;1;;91;358;3;0;3;85;26;26;47;190;3
218;Beauharnois;2018-10-01;G;Beauharnois, v;1;;92;354;1;4;5;135;21;8;20;194;3
218;Beauharnois;2018-10-01;G;Beauharnois, v;1;;93;355;1;4;7;110;28;35;39;224;2
218;Beauharnois;2018-10-01;G;Beauharnois, v;1;;94;347;6;2;3;91;26;21;40;189;7
218;Beauharnois;2018-10-01;G;Beauharnois, v;2;;95;362;2;5;5;62;14;50;39;177;0
218;Beauharnois;2018-10-01;G;Beauharnois, v;2;;96;367;1;5;4;69;11;27;34;151;11
218;Beauharnois;2018-10-01;G;Beauharnois, v;2;;97;369;1;2;4;92;14;38;55;206;4
218;Beauharnois;2018-10-01;G;Beauharnois, v;2;;98;343;2;3;3;89;8;32;32;169;3
218;Beauharnois;2018-10-01;G;Beauharnois, v;2;;99;368;0;2;0;102;24;41;57;226;4
218;Beauharnois;2018-10-01;G;Beauharnois, v;2;;100;369;1;2;4;122;18;38;55;240;2
218;Beauharnois;2018-10-01;G;Beauharnois, v;2;;101;372;3;2;2;127;10;34;52;230;0
218;Beauharnois;2018-10-01;G;Beauharnois, v;3;;102;369;4;3;2;121;15;30;48;223;3
218;Beauharnois;2018-10-01;G;Beauharnois, v;3;;103;372;5;1;1;93;20;48;40;208;4
218;Beauharnois;2018-10-01;G;Beauharnois, v;3;;104;381;3;1;6;93;18;41;49;211;8
218;Beauharnois;2018-10-01;G;Beauharnois, v;3;;105;379;4;1;2;84;13;35;43;182;3
218;Beauharnois;2018-10-01;G;Beauharnois, v;3;;106;378;1;2;6;75;12;31;41;168;1
218;Beauharnois;2018-10-01;G;Beauharnois, v;3;;107;361;3;4;4;54;23;28;36;152;2
218;Beauharnois;2018-10-01;G;Beauharnois, v;3;;108;376;2;2;3;69;26;17;24;143;1
218;Beauharnois;2018-10-01;G;Beauharnois, v;4;;109;357;3;4;2;117;27;31;42;226;5
218;Beauharnois;2018-10-01;G;Beauharnois, v;4;;110;357;1;3;4;91;30;25;41;195;2
218;Beauharnois;2018-10-01;G;Beauharnois, v;4;;111;372;3;4;2;105;18;24;35;191;5
218;Beauharnois;2018-10-01;G;Beauharnois, v;4;;112;378;1;2;1;114;13;37;33;201;6
218;Beauharnois;2018-10-01;G;Beauharnois, v;4;;113;372;2;2;3;103;19;32;50;211;7
