Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Baland Eric-Abel N.P.D.Q.;Beaudoin Mathieu P.C.Q./C.P.Q.;Beaumier Sarah C.A.Q.-É.F.L.;Boily Gabriel C.P.Q.;Dandenault Christine P.M.L.Q.;Leduc Alexandre Q.S.;Mallette Etienne B.P.;Poirier Carole P.Q.;Provencher-Proulx Julien P.L.Q./Q.L.P.;B.V.;B.R.;
352;Hochelaga-Maisonneuve;2018-10-01;G;Montréal, v;330;;29;373;5;0;31;0;0;94;0;27;15;172;2;
352;Hochelaga-Maisonneuve;2018-10-01;G;Montréal, v;330;;30;381;0;0;21;1;0;73;3;54;13;165;4;
352;Hochelaga-Maisonneuve;2018-10-01;G;Montréal, v;330;;31;364;5;0;18;0;1;88;1;28;20;161;3;
352;Hochelaga-Maisonneuve;2018-10-01;G;Montréal, v;331;;32;410;2;2;21;2;0;113;4;40;26;210;4;
352;Hochelaga-Maisonneuve;2018-10-01;G;Montréal, v;331;;33;410;1;0;32;2;1;144;3;44;10;237;3;
352;Hochelaga-Maisonneuve;2018-10-01;G;Montréal, v;331;;34;419;3;1;19;0;0;107;0;52;19;201;5;
352;Hochelaga-Maisonneuve;2018-10-01;G;Montréal, v;331;;35;404;3;0;18;2;0;100;1;46;17;187;0;
352;Hochelaga-Maisonneuve;2018-10-01;G;Montréal, v;331;;36;399;5;1;32;3;0;70;0;52;15;178;4;
352;Hochelaga-Maisonneuve;2018-10-01;G;Montréal, v;331;;37;410;4;4;20;1;0;102;0;45;18;194;7;
352;Hochelaga-Maisonneuve;2018-10-01;G;Montréal, v;332;;38;389;2;4;20;0;0;101;0;35;19;181;1;
352;Hochelaga-Maisonneuve;2018-10-01;G;Montréal, v;332;;39;401;2;1;26;0;0;119;0;44;18;210;0;
352;Hochelaga-Maisonneuve;2018-10-01;G;Montréal, v;332;;40;396;3;0;33;2;0;87;0;47;21;193;2;
352;Hochelaga-Maisonneuve;2018-10-01;G;Montréal, v;332;;41;401;1;1;32;0;0;69;2;27;31;163;7;
352;Hochelaga-Maisonneuve;2018-10-01;G;Montréal, v;332;;42;416;2;0;28;1;0;82;2;40;29;184;2;
352;Hochelaga-Maisonneuve;2018-10-01;G;Montréal, v;332;;43;413;3;1;37;2;3;92;0;55;22;215;1;
352;Hochelaga-Maisonneuve;2018-10-01;G;Montréal, v;333;;44;360;1;1;30;1;1;62;1;37;9;143;4;
352;Hochelaga-Maisonneuve;2018-10-01;G;Montréal, v;333;;45;370;0;1;15;0;0;105;1;39;8;169;0;
352;Hochelaga-Maisonneuve;2018-10-01;G;Montréal, v;333;;46;342;0;0;22;0;0;80;0;46;19;167;1;
352;Hochelaga-Maisonneuve;2018-10-01;G;Montréal, v;333;;47;358;4;4;12;2;1;102;2;38;4;169;2;
352;Hochelaga-Maisonneuve;2018-10-01;G;Montréal, v;333;;48;363;2;3;11;1;1;105;1;27;13;164;3;
352;Hochelaga-Maisonneuve;2018-10-01;G;Montréal, v;333;;49;355;0;0;24;0;0;74;3;41;9;151;1;
352;Hochelaga-Maisonneuve;2018-10-01;G;Montréal, v;333;;50;354;0;0;10;0;0;83;0;31;12;136;3;
352;Hochelaga-Maisonneuve;2018-10-01;G;Montréal, v;334;;51;385;3;1;11;1;1;87;0;37;15;156;3;
352;Hochelaga-Maisonneuve;2018-10-01;G;Montréal, v;334;;52;375;0;1;17;0;0;96;0;38;12;164;3;
352;Hochelaga-Maisonneuve;2018-10-01;G;Montréal, v;334;;53;379;2;0;10;1;0;98;1;34;12;158;2;
352;Hochelaga-Maisonneuve;2018-10-01;G;Montréal, v;334;;54;379;1;0;22;1;1;73;1;25;10;134;3;
352;Hochelaga-Maisonneuve;2018-10-01;G;Montréal, v;334;;55;393;0;0;22;0;1;73;0;48;23;167;0;
352;Hochelaga-Maisonneuve;2018-10-01;G;Montréal, v;334;;56;390;1;0;18;0;0;83;3;27;11;143;5;
352;Hochelaga-Maisonneuve;2018-10-01;G;Montréal, v;334;;57;375;1;1;19;1;0;97;0;21;8;148;2;
352;Hochelaga-Maisonneuve;2018-10-01;G;Montréal, v;334;;58;376;2;3;22;0;0;52;2;26;20;127;2;
352;Hochelaga-Maisonneuve;2018-10-01;G;Montréal, v;335;;59;383;3;1;25;0;1;83;1;42;8;164;1;
352;Hochelaga-Maisonneuve;2018-10-01;G;Montréal, v;335;;60;379;1;1;18;0;0;85;4;40;20;169;1;
352;Hochelaga-Maisonneuve;2018-10-01;G;Montréal, v;335;;61;375;4;2;11;1;0;76;1;21;5;121;3;
352;Hochelaga-Maisonneuve;2018-10-01;G;Montréal, v;335;;62;372;1;1;19;3;0;91;1;25;9;150;3;
352;Hochelaga-Maisonneuve;2018-10-01;G;Montréal, v;335;;63;375;1;0;12;1;1;105;2;35;10;167;2;
352;Hochelaga-Maisonneuve;2018-10-01;G;Montréal, v;335;;64;364;2;1;24;0;0;68;1;38;25;159;3;
352;Hochelaga-Maisonneuve;2018-10-01;G;Montréal, v;335;;65;381;0;4;34;1;0;76;0;42;17;174;5;
352;Hochelaga-Maisonneuve;2018-10-01;G;Montréal, v;335;;66;375;3;0;15;1;0;83;1;40;15;158;1;
352;Hochelaga-Maisonneuve;2018-10-01;G;Montréal, v;336;;67;399;0;1;21;0;0;81;4;29;4;140;0;
352;Hochelaga-Maisonneuve;2018-10-01;G;Montréal, v;336;;68;402;1;0;15;0;0;111;1;34;9;171;4;
352;Hochelaga-Maisonneuve;2018-10-01;G;Montréal, v;336;;69;382;4;0;27;2;0;71;1;47;26;178;0;
352;Hochelaga-Maisonneuve;2018-10-01;G;Montréal, v;336;;70;398;1;1;29;0;0;67;2;56;14;170;4;
352;Hochelaga-Maisonneuve;2018-10-01;G;Montréal, v;336;;71;375;2;0;12;0;0;80;2;39;7;142;6;
352;Hochelaga-Maisonneuve;2018-10-01;G;Montréal, v;336;;72;389;1;0;10;0;1;105;3;51;19;190;2;
352;Hochelaga-Maisonneuve;2018-10-01;G;Montréal, v;337;;73;407;4;0;22;1;1;95;1;57;15;196;2;
352;Hochelaga-Maisonneuve;2018-10-01;G;Montréal, v;337;;74;405;0;0;19;0;1;112;2;59;11;204;4;
352;Hochelaga-Maisonneuve;2018-10-01;G;Montréal, v;337;;75;415;0;1;23;0;0;91;1;49;16;181;1;
352;Hochelaga-Maisonneuve;2018-10-01;G;Montréal, v;337;;76;402;2;2;23;0;0;117;3;70;8;225;3;
