Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Blais Stéphane C.P.Q.;Bolduc Olivier Q.S.;Bonin Serge P.Q.;Gaboury Philippe P.C.Q./C.P.Q.;Henry Evelyne N.P.D.Q.;Picard Marc C.A.Q.-É.F.L.;Vaillancourt Ghyslain P.L.Q./Q.L.P.;B.V.;B.R.
814;Chutes-de-la-Chaudière;2018-10-01;G;Lévis, v;8;;74;386;1;24;17;5;3;148;29;227;11
814;Chutes-de-la-Chaudière;2018-10-01;G;Lévis, v;8;;75;391;2;34;23;15;3;111;21;209;3
814;Chutes-de-la-Chaudière;2018-10-01;G;Lévis, v;8;;76;396;7;28;28;5;0;146;31;245;0
814;Chutes-de-la-Chaudière;2018-10-01;G;Lévis, v;8;;77;405;1;23;24;10;4;156;44;262;3
814;Chutes-de-la-Chaudière;2018-10-01;G;Lévis, v;8;;78;405;1;22;20;5;0;107;36;191;2
814;Chutes-de-la-Chaudière;2018-10-01;G;Lévis, v;8;;79;381;1;29;18;9;0;156;43;256;4
814;Chutes-de-la-Chaudière;2018-10-01;G;Lévis, v;8;;80;388;0;30;28;15;4;159;38;274;1
814;Chutes-de-la-Chaudière;2018-10-01;G;Lévis, v;8;;81;408;0;29;30;5;2;132;27;225;3
814;Chutes-de-la-Chaudière;2018-10-01;G;Lévis, v;9;;82;382;2;24;6;3;3;83;16;137;3
814;Chutes-de-la-Chaudière;2018-10-01;G;Lévis, v;9;;83;373;1;36;27;9;6;102;25;206;4
814;Chutes-de-la-Chaudière;2018-10-01;G;Lévis, v;9;;84;371;3;39;19;2;6;88;27;184;5
814;Chutes-de-la-Chaudière;2018-10-01;G;Lévis, v;9;;85;363;2;39;31;7;4;84;26;193;5
814;Chutes-de-la-Chaudière;2018-10-01;G;Lévis, v;9;;86;358;7;46;16;6;2;90;17;184;3
814;Chutes-de-la-Chaudière;2018-10-01;G;Lévis, v;9;;87;372;3;44;19;7;1;98;19;191;5
814;Chutes-de-la-Chaudière;2018-10-01;G;Lévis, v;9;;88;366;3;35;26;6;0;77;15;162;4
814;Chutes-de-la-Chaudière;2018-10-01;G;Lévis, v;9;;89;380;1;30;21;4;1;86;30;173;4
814;Chutes-de-la-Chaudière;2018-10-01;G;Lévis, v;10;;90;395;1;19;24;6;1;101;33;185;5
814;Chutes-de-la-Chaudière;2018-10-01;G;Lévis, v;10;;91;360;0;37;30;4;0;97;33;201;6
814;Chutes-de-la-Chaudière;2018-10-01;G;Lévis, v;10;;92;375;1;29;32;8;0;118;26;214;4
814;Chutes-de-la-Chaudière;2018-10-01;G;Lévis, v;10;;93;380;1;34;23;6;0;139;26;229;3
814;Chutes-de-la-Chaudière;2018-10-01;G;Lévis, v;10;;94;380;0;29;17;12;4;115;14;191;3
814;Chutes-de-la-Chaudière;2018-10-01;G;Lévis, v;10;;95;372;2;30;22;1;1;101;38;195;4
814;Chutes-de-la-Chaudière;2018-10-01;G;Lévis, v;10;;96;383;7;41;16;8;3;112;23;210;5
