Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Benoit Lisette P.C.Q./C.P.Q.;Bergeron Stéphane P.Q.;Dansereau Suzanne C.A.Q.-É.F.L.;Downey Pierre-Olivier P.V.Q./G.P.Q.;Hillel Vincent N.P.D.Q.;Péloquin Jean-René Q.S.;Wnorowska Agnieszka P.L.Q./Q.L.P.;B.V.;B.R.;
256;Verchères;2018-10-01;G;Sainte-Julie, v;6;;117;356;2;73;86;5;1;38;20;225;3;
256;Verchères;2018-10-01;G;Sainte-Julie, v;6;;118;357;0;74;84;2;2;35;22;219;3;
256;Verchères;2018-10-01;G;Sainte-Julie, v;6;;119;348;2;68;69;4;5;35;22;205;3;
256;Verchères;2018-10-01;G;Sainte-Julie, v;7;;120;357;1;93;98;4;2;22;15;235;0;
256;Verchères;2018-10-01;G;Sainte-Julie, v;7;;121;358;1;80;98;3;3;40;12;237;4;
256;Verchères;2018-10-01;G;Sainte-Julie, v;7;;122;355;2;88;106;5;1;32;23;257;0;
256;Verchères;2018-10-01;G;Sainte-Julie, v;8;;123;353;3;89;100;4;1;33;11;241;2;
256;Verchères;2018-10-01;G;Sainte-Julie, v;8;;124;362;4;79;79;9;3;50;22;246;6;
256;Verchères;2018-10-01;G;Sainte-Julie, v;8;;125;355;2;72;91;6;1;35;21;228;2;
256;Verchères;2018-10-01;G;Sainte-Julie, v;8;;126;347;2;61;69;3;0;47;28;210;5;
256;Verchères;2018-10-01;G;Sainte-Julie, v;8;;127;352;0;65;80;1;4;34;21;205;2;
256;Verchères;2018-10-01;G;Sainte-Julie, v;8;;128;354;2;38;76;1;4;26;22;169;1;
256;Verchères;2018-10-01;G;Saint-Amable, m;1;;129;371;2;57;70;1;3;34;10;177;7;
256;Verchères;2018-10-01;G;Saint-Amable, m;1;;130;377;1;74;63;4;2;18;14;176;3;
256;Verchères;2018-10-01;G;Saint-Amable, m;1;;131;388;2;84;71;7;1;21;11;197;3;
256;Verchères;2018-10-01;G;Saint-Amable, m;1;;132;367;1;73;71;1;4;20;4;174;3;
256;Verchères;2018-10-01;G;Saint-Amable, m;1;;133;387;4;67;79;2;3;32;16;203;3;
256;Verchères;2018-10-01;G;Saint-Amable, m;1;;134;375;4;74;67;2;1;16;15;179;5;
256;Verchères;2018-10-01;G;Saint-Amable, m;1;;135;381;0;77;78;3;2;22;5;187;6;
256;Verchères;2018-10-01;G;Saint-Amable, m;1;;136;392;1;62;85;1;0;30;22;201;8;
256;Verchères;2018-10-01;G;Saint-Amable, m;2;;137;418;1;98;79;0;1;30;11;220;4;
256;Verchères;2018-10-01;G;Saint-Amable, m;2;;138;398;2;57;78;3;2;28;6;176;7;
